,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
current-ratio,15.2832,13.4616,17.4813,15.8859,1.551,,,
long-term-debt-capital,0.0573,0.0505,0.0486,0.0467,0.0957,,,
debt-equity-ratio,,,,,,,,
roe,-8.1868,-6.2905,-4.6366,-4.3388,25.823,,,
return-on-tangible-equity,-8.1908,-6.2949,-4.6407,-4.3435,-17.9959,,,
roa,-7.2943,-5.619,-4.215,-3.9425,-9.9939,,,
roi,-7.7175,-5.9729,-4.4112,-4.1361,-16.2139,,,
book-value-per-share,5.084,5.3904,5.6056,5.7882,7.7583,,,
operating-cash-flow-per-share,-0.8522,-0.5523,-0.3109,-1.5425,-5.7074,-1.9623,0.0002,
free-cash-flow-per-share,-1.2111,-0.7354,-0.418,-1.7267,-6.6953,-2.8178,0.0002,
