,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
current-ratio,54.8672,49.7977,33.2801,43.3937,27.5684,60.224,105.4624,77.9906,21.2598,,,,
long-term-debt-capital,0.0136,0.0145,0.0265,,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,
roe,-2.0573,-2.6971,-3.7548,-3.2749,-5.2685,-5.0275,-4.536,-2.8176,-10.5044,,,,
return-on-tangible-equity,-2.0573,-2.6971,-3.7548,-3.2749,-5.2685,-5.0275,-4.536,-2.8176,-10.5044,,,,
roa,-1.9941,-2.6068,-3.553,-3.1934,-5.0594,-4.9446,-4.4931,-2.7817,-10.0108,,,,
roi,-2.0294,-2.6578,-3.6555,-3.2749,-5.2685,-5.0275,-4.536,-2.8176,-10.5044,,,,
book-value-per-share,11.9971,11.702,7.58,7.8471,4.7629,4.3723,4.5974,4.8,4.9036,,,,
operating-cash-flow-per-share,-0.6747,-0.5112,-0.223,-0.8431,-0.5579,-0.3867,-0.2298,-0.7256,-0.4215,-0.1905,-0.0736,,-11.8477
free-cash-flow-per-share,-0.913,-0.714,-0.3414,-1.0425,-0.6454,-0.3962,-0.2298,-0.7648,-0.4337,-0.2017,-0.0756,,-12.0057
