,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
current-ratio,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0023,0.0031,0.0041,,,,,,,,,,,,,,,,,,,,
gross-margin,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,
operating-margin,,,,-144.2016,-192.414,-293.5834,-348.9026,-363.7779,-557.946,-525.4915,-621.7012,54.1377,-260.9577,-275.7397,-237.7465,-222.0844,-152.7324,-143.0262,-136.0845,,-143.2375,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,-126.4193,-171.8437,-277.346,-334.2712,-340.7581,-543.4189,-515.1949,-612.5311,54.3739,-260.0282,-275.007,-237.1831,-222.7887,-153.8591,-142.998,-126.7606,,-162.3415,,
net-profit-margin,,,,-126.4193,-171.8437,-277.346,-334.2712,-340.7581,-543.4189,-515.1949,-612.5311,54.3739,-260.0282,-275.007,-237.1831,-240.5633,-208.1127,-191.0961,-154.507,,-199.8732,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,3.5821,,,2.9161,,,,0.696,,,,,,,,,,,
days-sales-in-receivables,,,,,25.1252,,,30.8632,,,,129.3021,,,,,,,,,,,
roe,-31.3476,-6.5346,-6.1231,-4.2303,-4.1623,-4.7575,-8.2054,-4.3637,-6.7764,-12.449,-10.9148,11.7147,-13.4471,-12.6661,-9.8012,-8.4252,9.7166,10.3555,,,,,
return-on-tangible-equity,-31.3476,-6.5346,-6.1231,-4.2303,-4.1623,-4.7575,-8.2054,-4.3637,-6.7764,-12.449,-10.9148,11.7147,-13.4471,-12.6661,-9.8012,-8.4252,-11.918,-9.9298,,,,,
roa,-28.4402,-6.1965,-5.8246,-3.8492,-3.724,-4.2411,-6.6949,-3.5593,-5.8101,-9.1074,-8.0047,8.4603,-11.3457,-10.6202,-8.0934,-6.7842,-7.7958,-6.5346,,,,,
roi,-31.3476,-6.5346,-6.1231,-4.2303,-4.1623,-4.7575,-8.2054,-4.3637,-6.7764,-12.449,-10.9149,11.7147,-13.4471,-12.6661,-9.8012,-8.4252,-11.918,-9.9298,,,,,
book-value-per-share,9.7872,12.6727,13.3025,9.1977,9.4266,9.664,6.0455,6.4411,6.9055,3.9482,4.3038,4.6257,2.5396,2.8527,3.1799,3.47,11.6349,13.4568,,,,,
operating-cash-flow-per-share,-4.0949,-1.4138,-0.9393,-1.6885,-1.1723,-0.8604,-0.4637,-0.2996,-0.0957,0.4409,0.9012,-0.7591,-1.2982,-0.9091,-0.4607,-5.1011,-8.7317,-6.2285,-3.4662,,11.5999,,
free-cash-flow-per-share,-4.1378,-1.4505,-0.9593,-1.7763,-1.2475,-0.9233,-0.4958,-0.3455,-0.123,0.4211,0.8953,-0.7985,-1.3305,-0.9382,-0.4821,-5.3096,-9.1988,-6.6982,-3.6589,,11.2589,,
