,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,2.5397,2.0387,2.3455,21.3711,5.4256,0.6165,0.9673,0.247,,,,
long-term-debt-capital,0.5125,0.5467,0.5305,0.6844,0.0446,0.1925,0.1642,2.3019,,,,
debt-equity-ratio,1.0518,1.2069,1.1309,2.1711,0.097,0.5031,0.4206,-3.7902,,,,
gross-margin,31.0229,26.7362,23.3744,20.179,30.5365,42.8674,49.8975,57.5273,54.8835,54.2468,55.0627,
operating-margin,-42.005,-70.8435,-120.9914,-147.4921,-199.1838,-112.7976,-47.8996,-51.4236,-40.3626,-46.3942,-7.7183,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-64.6778,-81.1433,-148.9626,-228.8777,-185.8864,-131.055,-66.355,-57.5078,-32.6859,-48.778,-13.5071,
net-profit-margin,-69.8186,-76.3615,-131.5262,-199.6587,-186.1252,-131.7016,-66.355,-57.5078,-32.6859,-48.778,-13.5071,
asset-turnover,0.0491,0.0448,0.0214,0.0237,0.0449,0.0915,0.0732,0.0951,,,,
inventory-turnover,0.319,0.4465,0.3624,0.7647,0.5764,0.8247,0.519,0.2966,,,,
receiveable-turnover,1.3128,1.7787,1.147,0.8878,0.9622,1.7869,2.243,2.4257,,,,
days-sales-in-receivables,68.5572,50.5976,78.4678,101.3753,93.5384,50.3664,40.1242,37.1022,,,,
roe,-8.5816,-9.7324,-7.9339,-15.6886,-9.9413,-36.4232,-12.1494,60.7791,,,,
return-on-tangible-equity,46.203,27.6509,21.8773,-16.053,-10.0146,-37.9237,-12.4552,50.9679,,,,
roa,-3.4299,-3.4227,-2.8145,-4.7222,-8.3556,-12.0523,-4.8581,-5.4664,,,,
roi,-4.1832,-4.4114,-3.725,-4.9511,-9.4971,-29.4119,-10.1546,-79.1253,,,,
book-value-per-share,4.4622,3.6994,3.9455,2.1214,2.0192,0.4698,0.5686,,,,,
operating-cash-flow-per-share,-1.7044,-1.1336,-0.2618,-0.5571,-0.2839,-0.0387,-0.023,-0.08,-0.092,-0.0375,-0.0027,
free-cash-flow-per-share,-2.2182,-1.4038,-0.3569,-1.1533,-0.6923,-0.4151,-0.1944,-0.2251,-0.1357,-0.0483,-0.007,
