,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
current-ratio,8.9643,10.6193,9.5966,13.9418,11.9877,17.8441,6.7995,14.4941,8.1175,11.9066,3.4431,3.0263,,,,
long-term-debt-capital,,,,,,,,,,,0.0287,-0.5094,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,
roe,-89.234,-113.0282,-64.2237,-36.2775,-93.3569,-33.0464,-79.2665,-20.5212,-27.4756,-19.9324,35.0248,56.5563,,,,
return-on-tangible-equity,-89.234,-113.0282,-64.2237,-36.2775,-93.3569,-33.0464,-79.2665,-20.5212,-27.4756,-19.9324,-92.1161,1444.64,,,,
roa,-24.179,-42.9958,-25.4219,-18.8785,-31.4935,-16.4106,-67.7544,-18.4372,-23.2388,-17.9412,-31.1558,-94.2703,,,,
roi,-89.234,-113.0282,-64.2237,-36.2775,-93.3569,-33.0464,-79.2665,-20.5212,-27.4756,-19.9324,-89.4704,2180.565,,,,
book-value-per-share,2.2784,3.6259,2.1907,3.4146,1.6346,2.9638,2.7927,3.66,4.347,5.3673,1.5516,-0.1347,,,,
operating-cash-flow-per-share,-5.3168,-4.5716,-1.0594,-5.0306,-4.078,-2.9525,-2.216,-3.405,-1.5042,-1.2559,-0.5846,-2.3398,-1.0306,-0.3822,-0.1312,
free-cash-flow-per-share,-5.3483,-4.6036,-1.0828,-5.1369,-4.1436,-2.9911,-2.2257,-3.4244,-1.5113,-1.2578,-0.5862,-2.3414,-1.031,-0.3826,-0.1312,
