,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
current-ratio,2.5427,2.2998,2.1276,3.0978,5.5203,5.5913,5.4869,4.8492,7.3713,6.9898,7.2249,4.8199,4.3515,5.0843,5.8389,5.3951,5.3366,5.0078,5.0539,4.6502,4.7119,4.52,4.5241,4.821,4.1322,5.0875,5.445,4.2539,5.0015,5.4698,5.5714,3.5806,3.4348,3.0873,3.0479,3.2157,4.2287,4.2788,3.9801,3.5432,3.41,2.7942,3.024,2.8301,2.9471,2.6738,2.8276,2.5927,3.0234,3.0876,3.4036,2.2897,,,
long-term-debt-capital,0.44,0.4564,0.4258,0.437,0.0138,0.0142,0.0151,0.0146,0.2728,0.2861,0.2892,0.2938,0.3115,0.2689,0.2704,0.2722,0.2948,0.3103,0.3182,0.3121,0.3285,0.3398,0.3445,0.1125,0.1053,0.111,0.116,0.1165,0.1208,0.121,0.1226,0.1149,0.1128,0.0709,0.0763,0.0749,0.1149,0.1235,0.1506,0.1556,0.0795,0.0844,0.142,0.1527,0.1706,0.1831,0.1893,0.1992,0.2326,0.1765,0.1822,0.1847,,,
debt-equity-ratio,0.7956,0.8397,0.7519,0.786,0.014,0.0144,0.0153,0.0148,0.3752,0.4007,0.4069,0.4497,0.489,0.3678,0.3706,0.3741,0.418,0.45,0.4666,0.4537,0.494,0.5146,0.5257,0.1267,0.1273,0.1348,0.1415,0.142,0.1471,0.1472,0.1477,0.1427,0.1399,0.1031,0.1298,0.127,0.173,0.1874,0.2608,0.2695,0.1668,0.2411,0.2656,0.2868,0.3028,0.3275,0.3372,0.3385,0.3274,0.2329,0.2419,0.3088,,,
gross-margin,65.3624,58.5526,51.8363,58.1241,60.0807,61.2625,53.9049,67.8847,70.219,65.6413,60.3604,78.0632,72.319,67.7064,76.6899,81.4231,77.7494,78.3795,70.5373,84.325,76.4972,68.7224,64.7446,80.2043,77.4831,79.4447,86.7796,83.9862,84.6378,81.2643,85.0709,86.7269,81.7808,81.769,94.2373,83.5366,84.4133,82.1752,83.9573,78.102,79.9316,85.7523,76.1807,80.7832,81.4149,80.0345,81.25,80.4277,73.8635,74.8038,79.144,85.6368,82.75,86.8164,76.5933
operating-margin,22.6748,-2.8783,-14.2707,4.1359,12.2696,30.3361,-8.0645,27.3902,31.9666,8.4637,12.7591,33.5619,24.8247,-2.238,20.548,60.3458,39.8786,17.0103,-44.4895,74.0467,22.4945,7.1262,-47.2459,23.7425,20.3665,17.8466,-30.9745,25.4054,14.742,12.2949,-24.921,42.6039,2.3961,22.9258,-191.5826,33.8635,27.8499,23.8357,6.7906,7.6667,-9.1306,31.0284,26.7611,2.3944,27.0994,5.8825,26.1587,48.1487,10.132,-37.3372,-22.047,50.5231,23.0498,-54.115,-76.8878
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,18.8903,-6.2089,-19.8321,1.3294,12.3848,29.8819,-7.9796,26.7855,30.993,6.6695,11.6766,32.3719,23.4778,-3.6267,19.2825,59.3153,39.2397,15.5417,-46.8138,73.7417,21.5296,6.7927,-52.7819,24.1145,20.5304,17.8769,-30.9072,25.6665,14.8006,13.6248,-23.1798,42.3926,2.4965,22.9019,-191.3991,33.8819,26.5456,24.4472,7.5919,8.3581,-8.1415,31.4233,27.1827,3.2587,27.9422,7.3773,27.6802,49.0846,11.1653,-34.84,-18.1715,50.6025,22.3384,-52.5598,-76.5606
net-profit-margin,13.855,-3.9063,-13.6411,-1.2555,12.0392,22.752,-4.1596,17.5138,22.4521,4.5806,8.9724,24.6676,14.9321,-11.9979,3.8761,23.6155,23.3258,11.1805,-33.8189,29.438,15.8256,4.5584,-37.5548,15.5157,15.1411,12.7177,-18.7053,17.0222,9.9366,10.8441,-13.5736,26.547,2.6361,16.1219,-115.4535,25.4216,17.7331,15.7842,5.391,7.8693,2.1931,20.2785,17.2337,4.0755,18.3502,4.1739,16.442,30.9493,6.5187,-21.3965,-10.1709,30.0717,10.3239,-26.6818,-37.9285
asset-turnover,0.1336,0.1048,0.0885,0.1215,0.1479,0.1933,0.1103,0.1811,0.1459,0.1038,0.1228,0.1564,0.1533,0.0864,0.0994,0.1361,0.1622,0.1337,0.0693,0.109,0.1587,0.1318,0.0655,0.1566,0.1496,0.1484,0.0801,0.1677,0.1233,0.1335,0.0978,0.1974,0.1146,0.1784,0.0393,0.2064,0.202,0.1797,0.1365,0.1561,0.1366,0.2242,0.2124,0.1229,0.1969,0.1565,0.1561,0.3277,0.1925,0.112,0.1297,0.3647,,,
inventory-turnover,0.4692,0.4345,0.4351,0.551,0.5511,0.612,0.3499,0.4359,0.646,0.4909,0.6549,0.4496,0.4874,0.3048,0.2721,0.4308,0.4401,0.3219,0.2283,0.2442,0.5185,0.5226,0.2666,1.3263,1.229,0.9119,0.2573,0.9993,0.5607,0.8237,0.4337,0.9773,0.5955,0.9309,0.0482,1.3361,0.6658,0.6471,0.4396,0.8714,0.5491,0.7426,1.0859,0.3749,0.6005,0.4599,0.4263,1.0383,0.4452,0.2023,0.2052,0.5048,,,
