,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31
current-ratio,3.7997,4.378,5.1628,5.9237,5.503,5.3847,6.5462,5.0444,12.8706,7.0356,8.7475,10.231,14.7585,20.7466,23.2653,22.6774,28.1627,11.0456,13.3504,5.2207,2.7684,3.8333,,,,,,,,
long-term-debt-capital,1.1411,1.0007,0.871,0.7478,0.6496,0.558,0.4645,0.4068,0.3473,,,,,,,,,0.0945,0.0962,0.2777,0.488,0.3381,,,,,,,,
debt-equity-ratio,-8.1661,-1452.112,6.8305,2.9655,1.8535,1.2626,0.8673,0.6859,0.5322,,,,,,,,,0.1304,0.1182,0.3844,1.0397,0.5107,,,,,,,,
gross-margin,91.0811,90.2344,89.1771,91.4536,91.342,92.0324,91.1459,89.8604,96.6367,89.5918,,,,,,,,,,,,,,,,,,,,
operating-margin,-53.0578,-73.7294,-126.7625,-105.5921,-163.6058,-286.7029,-396.0748,-871.0035,-413.5719,-7030.408,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-64.2433,-86.4334,-143.2784,-119.3877,-180.1874,-304.397,-423.1457,-926.7522,-429.4528,-6983.469,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-64.2433,-86.4334,-143.2784,-119.3876,-180.1874,-304.397,-423.1457,-926.7519,-429.4528,-6983.469,,,,,,,,,,,,,,,,,,,,
asset-turnover,0.2056,0.168,0.1127,0.12,0.0865,0.0633,0.036,0.0166,0.0266,0.0041,,,,,,,,,,,,,,,,,,,,
inventory-turnover,0.8493,0.7772,0.5721,0.4738,0.4315,0.2899,0.2369,0.1773,0.1474,0.0642,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.1723,1.7355,1.4383,2.0542,2.1412,2.0653,1.8075,1.7255,1.153,0.8092,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,41.4301,51.8593,62.5754,43.813,42.0319,43.5782,49.7917,52.1584,78.0593,111.2143,,,,,,,,,,,,,,,,,,,,
roe,123.8928,26475.26,-152.6923,-67.7826,-52.395,-50.3674,-31.5379,-29.3415,-18.9128,-33.0108,-21.7246,-17.1627,-13.1064,-11.1408,-9.4944,-7.206,-5.7855,-12.2092,-8.2422,-28.3027,-74.4636,-31.7223,,,,,,,,
return-on-tangible-equity,96.8131,498.5113,-205.3597,-77.1794,-56.9361,-53.406,-32.8825,-30.3678,-19.4456,-34.4358,-21.7246,-17.1627,-13.1064,-11.1408,-9.4944,-7.206,-5.7855,-12.2092,-8.2422,-28.3027,-74.4636,-31.7224,,,,,,,,
roa,-13.2066,-14.5209,-16.144,-14.3218,-15.5923,-19.2793,-15.2364,-15.383,-11.4103,-28.5843,-19.2779,-15.493,-12.2153,-10.6082,-9.091,-6.8896,-5.5806,-10.0601,-6.9143,-16.5675,-24.5574,-15.5417,,,,,,,,
roi,-17.4802,-18.4357,-19.6945,-17.093,-18.3615,-22.2607,-16.8893,-17.4043,-12.3438,-33.0108,-21.7246,-17.1627,-13.1064,-11.1408,-9.4944,-7.206,-5.7855,-11.0558,-7.4496,-20.4444,-38.1273,-20.9986,,,,,,,,
book-value-per-share,-0.5252,-0.0029,0.6092,1.3307,2.0872,3.0073,4.3168,5.4247,6.8679,4.7658,6.0606,7.1203,8.1743,9.054,9.9078,10.7316,11.4082,4.9581,5.4628,1.9275,0.7864,1.3371,,,,,,,,
operating-cash-flow-per-share,-1.6257,-1.165,-0.7546,-4.5138,-3.6154,-2.677,-1.5629,-4.7181,-3.7976,-2.6019,-1.2218,-3.245,-2.3919,-1.6875,-0.7844,-2.1972,-1.4533,-1.0344,-0.5605,-2.7315,-1.0748,-2.5695,-18.6847,,-77.3549,-51.5812,,,,
free-cash-flow-per-share,-1.6257,-1.165,-0.7546,-4.5178,-3.6169,-2.6786,-1.5642,-4.7716,-4.0627,-2.8287,-1.2312,-3.3132,-2.4412,-1.7089,-0.7932,-2.2282,-1.4588,-1.0393,-0.5621,-2.7799,-1.0988,-2.5733,-18.6847,,-77.3549,-51.5812,,,,
