,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
current-ratio,6.1952,7.0899,7.3334,6.3988,9.1232,10.8799,4.2076,5.5963,6.3236,2.3935,2.7027,3.0648,2.5897,2.7054,2.6156,2.9423,6.6932,21.5962,7.1949,7.658,6.3105,7.1097,7.8422,8.4388,7.4794,7.7434,10.9834,11.3185,11.3269,5.9323,6.4895,3.4612,4.1017,5.2198,6.0139,6.7608,7.4224,9.9548,9.4972,7.1907,5.478,6.7653,8.8444,9.2381,9.2552,9.5843,10.5087,10.3236,12.6061,18.2563,,,
long-term-debt-capital,0.2663,0.236,0.3121,0.4841,0.4369,0.2317,0.2423,0.3175,0.2829,0.3736,0.3354,0.3002,0.0613,0.0614,,,,,0.0813,0.0792,0.2144,0.2652,0.3138,0.2365,,0.0025,0.0037,0.0043,0.0052,0.0068,0.0073,,0.0028,0.0093,0.0136,0.0158,0.0262,0.0253,0.0263,0.0316,0.0676,0.0423,0.0037,0.0044,0.0058,0.0077,0.0093,0.0114,0.0136,0.0157,,,
debt-equity-ratio,0.3745,0.3133,0.4593,0.9383,0.7758,0.3016,0.3197,0.4653,0.3945,0.5964,0.5047,0.4289,0.0653,0.0654,,,,,0.1384,0.1175,0.3305,0.3954,0.4637,0.3163,0.015,0.0126,0.0112,0.0101,0.0117,0.018,0.0214,0.0353,0.0369,0.0375,0.0374,0.036,0.0534,0.0476,0.047,0.0543,0.1141,0.0745,0.0152,0.0168,0.0189,0.0218,0.0239,0.0263,0.0272,0.0282,,,
gross-margin,88.5253,87.8382,88.0896,86.6928,79.0736,85.2879,84.3376,82.2799,83.5387,85.1774,81.4104,82.727,83.827,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
operating-margin,-117.5053,-173.1929,-238.7329,-212.8506,-758.3074,-220.2403,-336.4998,-459.4811,-2531.102,-657.4602,-1247.661,-1603.921,-2112.835,,,,,,,,-5739.249,-3003.368,-3425.658,-4873.456,-38807.7,,,,,-87.8725,-138.2171,-231.4388,-226.5264,-364.4554,-167.5997,,,,,66.5831,-274.252,-258.366,-281.5675,-342.2361,-254.5852,-275.5713,-293.924,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-127.2556,-189.9705,-352.8491,-236.1015,-773.0336,-288.5823,-307.3072,-473.5488,-2541.374,-671.7938,-1317.726,-2178.736,-2205.313,,,,,,,,-5852.901,-3076.631,-3496.271,-4860.802,-37407.7,,,,,-87.8349,-168.9864,-218.3127,-168.3167,-312.896,-223.768,,,,,66.6094,-273.336,-254.113,-270.7773,-325.5118,-228.0318,-242.1592,-242.2785,,,,,,
net-profit-margin,-126.7409,-191.5953,-353.3425,-239.1955,-772.7859,-290.1732,-298.9698,-469.8759,-1026.908,-672.4784,-1319.069,-2071.6,-2193.418,,,,,,,,-5852.901,-3076.632,-3496.272,-3776.852,-37407.69,,,,,-87.8349,-168.9864,-153.8544,-168.3167,-312.896,-223.768,,,,,66.6094,-273.336,-254.113,-270.7773,-325.5119,-223.9255,-244.1292,-244.6519,,,,,,
asset-turnover,0.0553,0.0481,0.0445,0.0413,0.0246,0.0258,0.0192,0.0235,0.016,0.0076,0.0042,0.0027,0.0023,,,,,,,,0.0023,0.004,0.0041,0.0025,0.0006,,,0.0,,0.0953,0.0644,0.0807,0.0735,0.0447,0.0582,,,,,0.5796,0.0497,0.0493,0.0396,0.0338,0.0255,0.0252,0.0198,,,,,,
inventory-turnover,0.6113,0.5163,0.4965,0.5178,0.6829,0.4035,0.324,0.5646,0.2461,0.2687,0.2096,0.1431,0.1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
