,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,4.6655,5.5643,5.9401,9.0955,10.7084,18.4725,11.365,9.931,15.7944,6.0915,8.8574,10.4873,12.8242,18.0179,15.2777,14.0899,11.5118,16.8052,21.1297,4.8797,,,,
long-term-debt-capital,0.2587,0.2326,0.153,0.0849,0.0798,0.0013,0.0017,0.0018,0.0017,0.0047,0.0039,0.0037,0.0036,,,,,,,,,,,
debt-equity-ratio,0.3958,0.3436,0.208,0.1025,0.0927,0.0018,0.0024,0.0024,0.0023,0.006,0.005,0.0046,0.0044,,,,,,,,,,,
gross-margin,77.5337,90.3947,83.1737,84.0693,97.03,82.0886,93.6846,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.3485,,,100.0,
operating-margin,-305.8671,-492.0758,-273.6797,-443.741,-483.282,-137.3794,-312.0184,-847.7664,-3464.842,-5192.245,-4150.236,-229.5347,-2543.104,-2251.203,-2005.011,-36.2226,-1301.465,-1116.572,-428.431,-1474.918,,,-21919.28,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-296.5919,-475.4277,-261.687,-495.3866,-442.3181,318.3522,-295.7578,-822.8776,-3406.316,-5156.372,-4104.317,-225.9576,-2499.438,-2225.32,-1984.802,-35.7887,-1297.26,-1112.565,-427.9467,-1470.684,,,-21919.28,
net-profit-margin,-296.7078,-475.6721,-261.7014,-495.987,-442.2994,318.3046,-295.8217,-834.4041,-3421.684,-5014.161,-4104.317,-225.9576,-2499.438,-2225.32,-1984.802,-35.7887,-1297.26,-1112.565,-455.8563,-1468.404,,,-21919.28,
asset-turnover,0.0319,0.018,0.0275,0.0162,0.0133,0.0326,0.0228,0.012,0.0031,0.0054,0.0038,0.0436,0.0033,0.0031,0.0041,0.0522,0.0057,0.0054,0.0091,0.0068,,,,
inventory-turnover,0.1583,0.0419,0.1161,0.0818,0.0153,0.3559,0.1781,,,,,,,,,,,,,,,,,
receiveable-turnover,0.6326,0.2255,1.0148,0.2777,0.7928,0.9979,0.7401,0.9371,0.3167,0.296,0.2142,0.9715,1.276,1.0448,1.5854,1.0149,1.0412,1.3811,3.3978,2.5123,,,,
days-sales-in-receivables,142.2631,399.0647,88.6871,324.1355,113.5276,90.193,121.5999,96.0373,284.2162,304.0276,420.1037,92.6386,70.5307,86.1396,56.7685,88.6749,86.4389,65.1666,26.4879,35.8231,,,,
roe,-19.2486,-15.9934,-12.052,-13.1431,-8.6123,13.733,-9.6677,-12.0362,-11.3975,-32.5913,-18.0584,-11.1536,-9.0572,-7.4361,-9.1616,-2.1184,-8.8162,-6.977,-4.4871,33.1087,,,,
return-on-tangible-equity,-19.3124,-16.0409,-12.0835,-13.1749,-8.6314,13.7618,-9.6938,-12.0657,-11.4223,-32.763,-19.1195,-11.7457,-9.523,-7.7915,-9.7774,-2.1184,-8.8162,-6.977,-4.4871,-16.3316,,,,
roa,-9.4672,-8.5611,-7.1949,-8.0134,-5.8654,10.3637,-6.7432,-10.0229,-10.6113,-26.8804,-15.605,-9.8533,-8.1501,-6.8222,-8.1214,-1.8664,-7.3831,-5.9989,-3.8986,-9.9684,,,,
roi,-14.2691,-12.2731,-10.2082,-12.0267,-7.9252,13.7153,-9.6509,-12.0149,-11.3778,-32.4393,-17.9872,-11.1124,-9.0245,-7.4361,-9.1616,-2.1184,-8.8162,-6.977,-4.4871,-16.3316,,,,
book-value-per-share,8.9828,10.4367,11.7639,13.175,14.6205,15.576,12.8864,13.8402,15.4468,7.3081,9.3173,10.701,11.6891,12.6143,10.2,10.7316,7.8022,8.3722,8.8381,8.7767,,,,
operating-cash-flow-per-share,-2.5923,-2.1215,-0.8468,-1.8884,-0.7476,0.1094,1.4307,-4.6488,-3.7303,-2.4502,-1.0762,-2.7927,-1.7073,-1.131,-0.2879,-2.0906,-1.2319,-0.8024,-0.4987,2.0035,-0.8658,-0.7593,-0.672,
free-cash-flow-per-share,-3.0485,-2.386,-0.9599,-2.7935,-1.1455,-0.1006,1.3189,-4.9392,-3.99,-2.6834,-1.1487,-3.0889,-1.9531,-1.3369,-0.4548,-2.2897,-1.3594,-0.9067,-0.5928,-0.2528,-1.7632,-0.8518,-0.6793,
