,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-01-31,2011-01-31
current-ratio,4.2326,3.7273,3.5744,4.9984,3.9108,3.3806,3.3067,3.9471,3.2607,2.933,2.8846,3.5189,2.821,2.6479,2.6893,3.1334,3.8895,3.7171,3.703,4.1715,4.0966,4.1369,4.0839,4.6752,,,,,,
long-term-debt-capital,0.0106,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0154,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,73.6913,73.237,72.2258,72.69,71.7445,69.2376,68.3247,69.9257,69.9634,69.4083,70.3355,69.2357,67.8752,65.69,65.2192,65.3838,65.8811,64.4307,64.1935,63.7149,62.8145,61.1067,61.2152,61.0906,61.3905,58.6122,,55.7045,,
operating-margin,27.6718,29.078,27.1166,28.0754,25.1983,22.4785,20.7029,24.0074,22.6866,24.324,28.8857,23.68,18.1367,14.8676,13.3115,18.7989,22.7843,23.2699,23.7703,23.7888,22.1836,18.8202,18.0055,18.1615,19.8423,19.1012,,24.5391,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,30.4189,31.5953,29.5657,30.1249,26.7927,23.5723,22.3342,24.7752,24.3899,24.6939,28.7306,24.0477,17.0997,17.1613,12.9614,18.9018,22.3307,24.1184,21.8625,22.609,22.0501,18.7752,17.4243,18.3888,19.7112,17.9349,,24.7458,,
net-profit-margin,29.6898,30.0096,30.6259,28.5163,23.9904,22.6595,21.8589,19.7308,23.0055,23.1555,19.4527,15.1493,9.8647,10.4447,15.3741,9.7951,13.6484,14.4368,15.0336,12.2374,12.6586,10.8227,-4.4218,4.2544,12.0974,11.3233,,16.0605,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.5997,1.3055,0.7224,2.0422,1.656,1.1338,0.7814,2.3201,1.7271,1.4124,0.8569,2.1749,1.4764,1.4645,0.7892,1.4199,1.4432,1.2806,0.939,1.6773,1.1338,1.0154,1.0748,1.1287,,,,,,
days-sales-in-receivables,56.2616,68.9378,124.5801,44.0695,54.3463,79.3812,115.1789,38.7918,52.1098,63.7231,105.0318,41.3809,60.9582,61.4529,114.0441,63.3841,62.3598,70.2771,95.843,53.6564,79.3816,88.6376,83.7376,79.7361,,,,,,
roe,5.4838,5.5014,5.7484,5.6299,4.7874,4.5472,4.486,4.2671,5.0355,5.2188,4.6694,3.5699,2.293,2.3578,3.4815,2.2115,2.9552,3.0265,3.2755,2.6909,2.68,2.1863,2.2303,2.4109,,,,,,
return-on-tangible-equity,5.968,6.0385,6.3674,6.3056,5.4262,5.2191,5.2191,5.0669,6.0742,6.4248,5.8881,4.6142,3.0424,3.2132,4.8599,3.1767,3.0795,3.1657,3.356,2.7646,2.7617,2.2615,2.3249,2.5196,,,,,,
roa,4.2607,4.1354,4.3024,4.5864,3.6851,3.3628,3.3043,3.3382,3.7265,3.7157,3.322,2.7433,1.646,1.6639,2.4922,1.677,2.2659,2.2829,2.4456,2.0826,2.0632,1.6595,1.687,1.8897,,,,,,
roi,5.4255,5.4466,5.7484,5.6299,4.7874,4.5472,4.486,4.2671,5.0355,5.2188,4.6694,3.5699,2.293,2.3578,3.4815,2.2115,2.9552,3.0265,3.2755,2.6909,2.68,2.1863,2.2303,2.4109,,,,,,
book-value-per-share,9.7736,9.0804,8.4667,7.8467,7.2869,6.8058,6.3788,5.7972,5.4597,5.0876,4.7333,4.43,4.1561,3.9478,3.7834,3.5695,3.4288,3.2586,3.104,2.9232,2.7617,2.589,2.2445,2.172,,,,,,
operating-cash-flow-per-share,2.1223,1.4964,1.991,1.7879,1.5275,0.9719,1.519,1.504,1.2991,0.9411,0.9758,0.9909,0.823,0.7505,0.5529,0.5288,0.3933,0.2887,0.4686,0.4782,0.2423,0.1269,0.6138,0.1934,0.547,0.3948,,0.7841,,
free-cash-flow-per-share,2.1035,1.4861,1.9281,1.7458,1.5152,0.9659,1.445,1.4426,1.2501,0.9097,0.925,0.9596,0.8017,0.7355,0.404,0.3961,0.2919,0.256,0.2818,0.2954,0.0644,0.1233,0.57,0.1739,0.5094,0.3882,,0.7411,,
