,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
current-ratio,4.7929,5.8059,6.4714,4.4899,5.9478,6.7057,5.4256,6.4777,6.4574,8.3681,9.4534,10.4002,14.3427,17.8424,17.3677,14.1469,16.5496,10.1659,11.1269,6.0802,7.1941,6.6537,6.8881,4.1446,1.4626,1.3537,,,,,
long-term-debt-capital,0.1007,0.0762,0.0724,,,,,,,,,0.0011,0.0024,0.0034,0.0074,0.0085,0.0094,0.0173,0.025,0.0499,0.0465,0.0483,0.0473,0.0921,1.935,-3.9944,,,,,
debt-equity-ratio,0.1236,0.0948,0.0898,,,,,,0.0038,0.0048,0.0064,0.007,0.0075,0.0078,0.0148,0.015,0.0152,0.0266,0.0329,0.066,0.0602,0.0616,0.0594,0.1197,-2.3732,-0.8935,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,
operating-margin,-202.4652,-500.0377,-492.8276,-263.885,-168.3046,-235.2872,-1069.436,68.8957,-2869.754,-2471.729,-1859.27,-690.1287,-1052.688,49.6994,-1076.353,-349.4868,-105.1904,-317.0042,63.3174,-347.3156,-21.3687,-132.9718,-21.1156,-21.509,35.3796,-2.0654,-31.4366,,16.1611,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-238.1463,-299.8867,-465.9181,-282.6642,-163.6167,-229.606,-1055.08,69.3931,-2828.804,-2440.216,-1832.36,-681.2177,-1039.816,50.158,-1066.866,-347.8971,-105.1836,-318.2847,63.3132,-347.2974,-21.3687,-132.9609,-21.1156,-21.5007,32.6414,-2.3906,-31.7597,,16.1708,,
net-profit-margin,-238.1463,-299.8867,-465.918,-282.6644,-163.6167,-229.606,-1055.08,69.3931,-2828.803,-2440.216,-1832.36,-681.2177,-1039.816,50.1581,-1066.866,-347.8971,-105.1836,-318.2847,63.3132,-347.2973,-21.3687,-132.961,-21.1156,21.6671,0.8353,-2.3906,-31.7597,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.9721,1.8872,1.58,0.5339,0.9918,1.056,0.6448,11.1675,0.758,0.8368,0.9818,1.8473,1.0821,1.0293,1.133,6.6814,5.3502,1.5496,41.4654,1.8658,3.4585,3.4858,8.4314,7.4386,8.8687,2.9612,,,,,
days-sales-in-receivables,45.6363,47.689,56.9603,168.5748,90.7443,85.231,139.5719,8.0591,118.7372,107.557,91.6642,48.7191,83.1705,87.4363,79.4378,13.4703,16.8217,58.0792,2.1705,48.2378,26.0227,25.8189,10.6744,12.099,10.1481,30.3932,,,,,
roe,-17.4888,-10.7886,-14.0407,-18.3813,-12.0395,-13.8587,-20.0327,35.3317,-24.8294,-17.5727,-16.0481,-12.9425,-11.2782,12.2627,-10.607,-9.08,-4.5508,-10.0978,19.537,-15.6803,-2.8241,-8.6344,-2.0285,-4.0615,-94.4019,2.1185,,,,,
return-on-tangible-equity,-17.4888,-10.7886,-14.0407,-18.3813,-12.0395,-13.8587,-20.0327,35.3318,-24.8294,-17.5727,-16.0481,-12.9425,-11.2782,12.2627,-10.607,-9.08,-4.5508,-10.0978,19.537,-15.6803,-2.8241,-8.6344,-2.0285,-4.0615,-163.1255,2.6898,,,,,
roa,-12.6991,-8.2796,-10.8569,-13.4417,-9.576,-11.1773,-15.1915,28.2778,-19.4517,-14.7916,-13.7066,-11.1748,-9.9587,10.9703,-9.3236,-7.9191,-4.0204,-8.409,16.2294,-10.9371,-2.0287,-5.9591,-1.4788,-2.5481,15.7328,-0.697,,,,,
roi,-15.7273,-9.9668,-13.0235,-18.3813,-12.0395,-13.8587,-20.0327,35.3318,-24.8294,-17.5727,-16.0481,-12.9281,-11.2514,12.2212,-10.5282,-9.0026,-4.5081,-9.9232,19.0493,-14.8986,-2.6927,-8.2174,-1.9325,-3.6874,152.5254,13.4338,,,,,
book-value-per-share,5.2173,6.0224,6.5693,5.7346,6.6901,7.3891,6.6786,8.1185,5.1475,6.307,6.7078,7.707,8.6204,9.511,8.2884,9.123,9.9079,7.0275,7.6934,4.3323,5.0082,5.1212,5.5718,3.1342,-1.9187,-5.571,,,,,
operating-cash-flow-per-share,-1.9677,-1.614,-0.6578,-3.7443,-2.9832,-2.1119,-0.8473,0.3991,-2.6493,-1.8468,-1.0107,-1.2593,-0.4415,-1.8085,-0.9248,-0.4296,0.3148,0.6031,1.3759,-1.1962,-0.4539,0.0628,0.2241,-2.0695,-0.6114,-11.3074,-3.3495,,-1.1293,,
free-cash-flow-per-share,-2.0299,-1.6604,-0.6945,-4.354,-3.557,-2.5869,-1.2403,-0.4155,-3.1563,-2.0925,-1.0534,-1.5874,-0.7383,-2.04,-1.0069,-0.7188,0.1223,0.4764,1.3444,-1.3267,-0.5228,0.0179,0.2071,-2.5019,-0.7073,-12.0254,-3.7195,,-1.1539,,
