,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
current-ratio,1.6565,1.7389,1.8194,1.8953,,,,,
long-term-debt-capital,0.4619,0.3393,0.3372,0.0158,,,,,
debt-equity-ratio,0.8939,0.5278,0.5244,0.0167,,,,,
gross-margin,19.3517,19.8216,19.1286,17.6205,17.9848,18.209,18.585,,
operating-margin,-94.1061,-0.4955,-0.9564,3.6654,3.6836,3.7811,3.3791,,
ebit-margin,,,,,,,,,
pre-tax-profit-margin,-95.1866,-0.4955,-1.9129,4.0063,3.792,3.7811,3.5903,,
net-profit-margin,-88.998,-0.9911,-1.3815,3.6391,1.7335,2.8856,2.4287,,
asset-turnover,0.3059,0.2408,0.2204,0.4044,,,,,
inventory-turnover,1.3729,1.455,1.2811,1.3189,,,,,
receiveable-turnover,2.1845,2.2031,2.0412,2.0951,,,,,
days-sales-in-receivables,41.1984,40.8523,44.0914,42.9571,,,,,
roe,-68.3973,-0.445,-0.6103,2.1689,,,,,
return-on-tangible-equity,179.6443,1.7483,2.5974,6.0527,,,,,
roa,-27.3137,-0.2387,-0.3279,1.4502,,,,,
roi,-36.8016,-0.294,-0.4045,2.1346,,,,,
book-value-per-share,11.8604,20.0747,20.56,,,,,,
operating-cash-flow-per-share,0.2946,0.0268,-0.3481,2.1939,0.8611,0.6667,-0.4168,,
free-cash-flow-per-share,0.0268,-0.1518,-0.3798,1.8994,0.6528,0.4861,-0.5002,,
