,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31
current-ratio,5.8805,3.6287,4.8066,5.1203,6.6091,6.6903,7.5857,5.9352,8.3125,4.945,6.8053,5.0093,6.3609,7.6001,8.3208,9.1029,7.6583,8.4979,9.8902,7.6603,5.7233,6.602,8.3318,10.6714,7.6782,7.3227,,,,,,
long-term-debt-capital,0.5553,0.9978,0.8373,0.6921,0.5472,0.4764,0.2572,0.2307,0.1967,0.473,0.3751,0.2054,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,1.3624,486.4142,5.4433,2.3779,1.2649,0.937,0.3463,0.2999,0.2449,0.8975,0.6003,0.2585,,,,,,,,,,,,,,,,,,,,
gross-margin,92.7063,82.4409,67.7478,18.9371,69.7256,73.7721,94.9428,97.3478,95.9509,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,
operating-margin,-118.4326,-225.0211,-331.9907,-569.885,-487.7195,-2585.266,-1283.865,-875.7626,-2101.776,-1738.421,-790.5226,-403.1254,-980.9376,-1362.231,-790.821,-1501.586,-1908.104,-2466.541,-1971.344,-1628.37,-1474.124,-1304.555,-1307.926,-1233.268,-695.1915,-843.5217,-567.9858,,-1638.889,75.8514,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-134.8596,-240.9126,-352.2757,-581.0302,-502.0597,-2642.01,-1271.975,-933.3983,-2166.693,-1832.955,-814.4307,-399.9414,-976.5717,-1355.212,-786.8006,-1505.89,-1894.162,-2445.66,-1988.682,-1628.204,-1474.784,-1298.136,-1295.363,-1218.969,-670.6434,-830.3729,-583.7194,,-1556.64,74.4216,,
net-profit-margin,-134.8596,-232.9158,-352.5463,-578.8206,-502.9484,-2647.569,-1266.978,-936.2542,-2166.562,-1839.292,-813.5532,-393.2007,-996.4493,-1355.212,-786.8006,-1497.622,-1894.162,-2445.66,-1988.682,-1628.204,-1474.784,-1298.137,-1295.363,-1218.969,-670.6435,-830.3729,-583.7194,,-1556.64,3.4682,,
asset-turnover,0.0638,0.0776,0.0554,0.0396,0.0317,0.0078,0.0134,0.0171,0.0061,0.0124,0.0151,0.0399,0.0294,0.0104,0.0178,0.0088,0.0074,0.0054,0.0049,0.0058,0.0087,0.0082,0.0074,0.0063,0.0123,0.0106,,,,,,
inventory-turnover,1.1387,3.2262,2.6759,1.5751,0.701,0.1485,0.1034,0.2366,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.0179,2.0368,1.8808,2.6155,1.9828,1.1725,3.9244,2.6141,,,,,1.8644,,1.1011,4.414,,,196.5833,42.2982,33.2466,13.2692,0.3559,6.6537,12.185,0.7444,,,,,,
days-sales-in-receivables,44.6001,44.1863,47.852,34.4104,45.3904,76.7614,22.9335,34.4282,,,,,48.2729,,81.7389,20.3897,,,0.4578,2.1277,2.707,6.7826,252.8499,13.5263,7.3861,120.8997,,,,,,
roe,-23.3113,-11529.38,-154.1877,-98.1439,-42.6394,-48.1553,-27.2465,-26.1811,-19.3611,-61.2295,-25.5083,-28.4209,-37.7272,-17.702,-17.3941,-15.3617,-17.0817,-15.8489,-11.1971,-11.2869,-17.1069,-12.9601,-11.4142,-8.4573,-9.3711,-10.0645,,,,,,
return-on-tangible-equity,-23.7235,2106.981,-179.4774,-106.7212,-44.6237,-49.8701,-27.9411,-26.7827,-19.7294,-65.9729,-26.0089,-28.8934,-38.2263,-17.8759,-17.5421,-15.475,-17.0817,-15.8489,-11.1971,-11.2869,-17.1069,-12.9601,-11.4142,-8.4573,-9.3711,-10.0645,,,,,,
