,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,
operating-margin,-1328.514,-1666.286,-1072.743,-863.2521,-283.0343,-1271.92,-1066.48,-1066.321,-14192.64,,,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-1277.257,-1605.143,-1009.714,-787.132,-251.9692,-1082.64,-1036.32,-1054.429,-14185.28,,,
net-profit-margin,-1277.257,-1605.143,-1009.714,-787.132,-251.9692,-1082.64,-1036.32,-1054.429,-14185.28,,,
asset-turnover,,,,,,,,,,,,
receiveable-turnover,0.3317,28.2258,,18.8193,0.8391,6.4767,23.1482,50.12,,,,
days-sales-in-receivables,271.3372,3.1886,,4.7823,107.2617,13.896,3.888,1.7957,,,,
roe,-12.6121,-14.2846,-7.975,-5.2332,-4.4109,-5.3159,-4.8591,18.2668,,,,
return-on-tangible-equity,-12.6121,-14.2846,-7.975,-5.2332,-4.4109,-5.3159,-4.8591,-8.5866,,,,
roa,-10.3025,-11.7544,-6.8348,-4.4721,-3.7709,-4.6052,-4.2417,-6.9359,,,,
roi,-12.6121,-14.2846,-7.975,-5.2332,-4.4109,-5.3159,-4.8591,-8.5866,,,,
book-value-per-share,3.866,4.2885,4.9751,5.2751,5.514,5.7263,5.997,37.6113,,,,
operating-cash-flow-per-share,-1.4564,-0.8355,-0.387,-1.242,-0.8378,-0.5672,-1.3961,-13.7084,-20.8548,-9.694,-6.6095,
free-cash-flow-per-share,-1.4957,-0.8624,-0.4015,-1.3501,-0.9191,-0.6226,-1.5072,-16.7248,-23.5331,-12.2818,-8.0826,
