,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
current-ratio,3.4531,4.2526,4.2529,4.3791,4.5376,4.4744,4.4581,4.652,4.2969,3.8821,3.9284,3.7973,3.3527,2.9545,3.051,4.0325,4.1309,4.4799,4.1858,4.7709,4.9049,5.4731,6.1372,7.0287,3.6735,4.0079,4.6451,2.9831,2.7942,3.2361,2.7419,3.2523,2.8291,2.7017,2.431,2.5408,2.1333,2.8704,1.8219,1.7445,1.8584,1.2731,1.4558,,7.5504,,9.8278,,12.589,17.1728,1.9695,,14.4788,8.8045,,6.4487,,
long-term-debt-capital,0.1284,0.1242,0.1292,0.1317,0.1358,0.1354,0.1429,0.1454,0.1494,0.1513,0.156,,,,,,,,,,,,,,0.0809,0.1006,0.1123,0.2629,0.2862,0.2852,0.421,0.4129,0.2656,0.278,0.3632,0.3645,,0.3365,,,,0.1262,,,,,,,,,,,,,,,,
debt-equity-ratio,0.1474,0.1418,0.1483,0.1517,0.1571,0.1566,0.1667,0.1701,0.1756,0.1782,0.1848,,,,,,,,,,0.0081,0.0158,0.023,0.0324,0.1657,0.188,0.1969,0.5171,0.5623,0.5443,0.907,0.81,0.5289,0.5613,0.7916,0.7821,0.298,0.6371,1.1272,1.1331,0.9686,0.9957,0.7242,,,,,,,,0.8701,,,,,0.003,,
gross-margin,80.3505,80.2708,80.7838,80.9371,81.2054,81.7183,82.066,81.9507,81.476,81.7211,78.638,81.6898,80.992,79.6657,80.3761,80.5011,80.0073,77.5601,77.8402,79.1067,78.5148,76.9614,77.8252,77.385,76.9401,75.9585,76.4259,76.459,77.4439,77.3956,75.7982,76.8739,76.7095,80.5823,80.4039,78.8228,77.2034,76.947,76.7117,76.7172,77.0496,72.9867,74.0655,,66.6753,,67.1806,,,,100.0,,100.0,100.0,100.0,,100.0,
operating-margin,-9.1999,1.8349,0.8008,0.6378,-5.2749,6.3768,0.8797,-0.5225,-3.5269,1.8935,-3.3733,2.1621,-3.749,-10.26,-51.1145,-36.5844,-30.1703,-17.6518,-22.6406,-11.741,-19.8046,-24.1482,-27.4517,-23.1778,-23.0028,-23.181,-20.4351,-20.2379,-22.3501,-17.4008,-17.5477,-18.5566,-16.6131,-4.1738,-9.8849,-10.7539,-21.4368,-23.8245,-37.3449,-43.1278,-38.9986,-35.4613,-42.911,,-116.8985,,-121.3875,,,100.0,-343.8291,,-200.1087,-196.6626,-279.6663,,-4648.851,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-8.9037,2.2086,1.1973,0.872,-5.0741,6.3734,0.716,-0.722,-3.9134,1.4966,-3.3197,2.1322,-3.6827,-10.0062,-51.0672,-36.5771,-30.1748,-17.6559,-22.6704,-11.788,-19.8868,-24.3353,-27.7923,-26.7743,-24.4978,-23.7362,-23.491,-22.7864,-22.3672,-20.103,-19.7642,-20.9707,-20.6806,-11.4387,-11.8301,-10.6099,-23.4957,-24.4296,-39.4576,-44.9427,-40.7948,-16.8068,-25.3325,,-117.6284,,-138.6334,,,,-292.3761,,-155.5314,-153.4734,-267.7094,,-4633.333,
net-profit-margin,-8.9626,2.1529,1.0614,0.8172,-5.1328,6.2855,0.6566,-0.7848,-3.9798,1.4588,-3.3542,2.0842,-3.7309,-10.0784,-51.092,-36.6327,-30.2273,-17.8912,-22.6704,-11.788,-19.8868,-24.3353,-27.7923,-26.7743,-24.4978,-23.7362,-23.491,-22.7864,-22.3672,-20.103,-19.7642,-20.9707,-20.6806,-11.4387,-11.8301,-10.6099,-23.4957,-24.4296,-39.4576,-44.9427,-40.7948,-35.9009,145.2134,,-117.6284,,-324.3664,,,81.7475,-292.3761,,-157.8418,-219.0853,-359.9235,,-5759.195,
asset-turnover,0.2971,0.3122,0.2997,0.2906,0.2809,0.2909,0.2854,0.2769,0.261,0.2729,0.2791,0.3153,0.36,0.3403,0.3066,0.2737,0.2702,0.2828,0.2631,0.2477,0.2268,0.2175,0.1884,0.1787,0.3129,0.2974,0.2673,0.4468,0.3877,0.3629,0.4256,0.3791,0.3863,0.4642,0.4609,0.4198,0.4281,0.4217,0.2666,0.2364,0.2157,0.2169,0.1995,,0.2235,,0.094,,,0.4768,0.0232,,0.0258,0.0381,,,,
inventory-turnover,0.6502,0.7455,0.6302,0.5832,0.5844,0.6512,0.5863,0.5459,0.5402,0.5725,0.6708,0.5667,0.5605,0.565,0.4787,0.4426,0.5678,0.7785,0.788,0.6696,0.6067,0.7071,0.6518,0.7112,0.8304,1.1099,0.9183,0.832,0.7547,0.7333,0.6559,0.5726,0.616,0.7245,0.8117,0.9192,0.9293,0.9616,0.8433,0.8683,0.8545,1.2585,1.4322,,,,,,,,,,,,,,,
receiveable-turnover,1.8626,1.8946,1.8104,2.0132,1.8557,1.8944,1.7403,1.8889,1.8186,1.8586,1.8705,1.9704,2.0487,2.0953,1.9291,1.6073,1.6331,1.5717,1.5056,1.7162,1.8481,1.8503,1.7927,2.0315,1.9492,1.9566,1.7432,1.9439,1.7296,1.6789,1.6324,1.5825,1.5865,1.6378,1.5104,1.7465,1.7171,1.9177,1.6854,1.7009,1.8577,1.8523,1.8679,,,,,,,,1.3265,,1.4326,1.3791,,,,
days-sales-in-receivables,48.3201,47.5035,49.7117,44.7055,48.4982,47.509,51.7152,47.6456,49.4895,48.4227,48.1154,45.6771,43.9301,42.9534,46.6548,55.9934,55.1107,57.2646,59.7779,52.4403,48.6976,48.6419,50.2038,44.3028,46.1732,45.9977,51.6291,46.2997,52.0341,53.6063,55.1332,56.8719,56.7299,54.9528,59.5861,51.5307,52.4145,46.9309,53.3985,52.9138,48.4465,48.5895,48.1826,,,,,,,,67.8462,,62.8214,65.2584,,,,
roe,-4.0683,0.9929,0.4745,0.355,-2.1556,2.7791,0.2886,-0.3332,-1.6461,0.6521,-1.5412,0.9306,-1.8049,-4.8406,-22.3207,-12.503,-10.153,-6.2172,-7.4654,-3.5591,-5.54,-6.3319,-6.2132,-5.5473,-11.1719,-10.2361,-8.8862,-19.7785,-17.9742,-14.3061,-21.6712,-18.8813,-16.5303,-11.4768,-14.1669,-11.4086,-27.6496,-24.8433,-35.6643,-29.9268,-23.275,-8.6971,-11.1085,,-30.2828,,-14.4787,,-12.4845,,-13.4894,,-7.1302,6.1055,,15.828,,
