,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.0872,0.9629,0.9714,1.027,1.2324,1.6972,1.5408,5.5754,5.5643,1.2173,1.135,1.447,1.5487,1.5096,1.2455,1.2917,1.3954,1.5557,5.8198,2.7432,2.8882,2.9494,2.8758,2.7573,3.2103,2.9286,2.7336,2.6906,2.7966,3.269,3.5447,2.5605,3.0599,3.0759,3.0706,2.6951,2.6923,2.6846,2.6364,2.6149,2.728,2.2558,2.1152,2.5517,2.4888,2.4821,2.2348,2.117,2.0931,2.1165,1.9189,2.0207,2.0662,2.1802,2.0271,2.2898,2.3353,2.5402
long-term-debt-capital,0.456,0.4517,0.4543,0.4737,0.4879,0.5164,0.5098,0.5904,0.5959,0.5328,0.5439,0.5802,0.568,0.5863,0.6005,0.6135,0.6105,0.6288,0.6623,0.4272,0.412,0.4146,0.4257,0.4273,0.4437,0.4505,0.457,0.4763,0.4704,0.4697,0.4566,0.3398,0.3193,0.3276,0.3375,0.2158,0.2247,0.2244,0.2205,0.2245,0.2216,0.1347,0.1356,0.1619,0.1584,0.165,0.1747,0.1797,0.184,0.188,0.1956,0.1997,0.2115,0.2142,0.2197,0.2442,0.2446,0.2353
debt-equity-ratio,0.9389,0.9673,0.9844,1.0239,1.0418,1.0775,1.073,1.4574,1.5108,1.2942,1.4529,1.5133,1.4829,1.6325,1.7734,1.7898,1.8159,1.933,2.0012,0.7859,0.7388,0.7462,0.7816,0.7872,0.8417,0.9086,0.933,1.0073,0.9851,0.9317,0.8834,0.5633,0.5143,0.5345,0.5577,0.3125,0.329,0.3283,0.3219,0.3678,0.3625,0.2401,0.2426,0.2339,0.2285,0.2404,0.2577,0.2667,0.2741,0.282,0.2956,0.3608,0.3551,0.3598,0.4007,0.3859,0.398,0.3489
gross-margin,47.6782,47.056,47.4279,47.3995,47.1248,38.0389,50.4221,49.1001,49.5222,48.2317,49.692,48.0507,48.374,48.3534,47.1534,46.732,37.6282,50.9995,50.9508,50.0454,51.5067,50.8205,51.3648,51.7373,51.6318,50.9,52.9474,50.8867,52.1646,51.2077,50.8405,50.9482,52.7303,52.1031,53.0169,51.6345,51.7489,51.9569,52.1449,52.0772,52.7504,51.9208,53.6489,51.8599,51.0426,51.1252,51.3506,51.1921,51.5025,51.4862,52.7858,51.5226,50.6284,50.9366,52.2224,52.2725,50.2816,50.3476
operating-margin,14.3908,3.242,21.2981,12.8095,11.9448,4.4292,7.6299,14.1459,-7.3806,14.9882,27.7207,3.0012,16.1351,15.1614,11.7884,9.6405,4.391,14.2857,17.0161,18.2107,20.6769,18.388,18.7593,3.6649,19.7272,19.05,20.6316,19.7731,22.6716,19.8724,18.3847,19.5062,22.9107,22.9102,22.4255,19.4492,23.1012,22.988,22.9915,21.9855,23.7199,20.9088,24.3499,21.0387,22.0736,21.8419,21.2618,20.6598,20.08,20.1827,14.2408,20.0276,19.6637,17.6523,22.2774,22.6973,18.9401,18.6876
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,10.5747,0.0715,17.1635,9.4254,15.1239,0.1421,3.4091,10.2937,-13.3114,12.1927,23.6824,0.3094,13.1958,12.2595,8.9082,6.2092,1.25,10.9703,13.8957,17.1208,19.6106,17.5193,17.8164,2.8558,18.4608,18.0,19.2632,18.3798,21.1328,19.1567,17.6032,18.5333,22.2948,22.2922,22.158,19.6708,22.5775,22.8159,22.6409,21.8301,23.5679,20.3938,24.5384,20.8041,22.109,21.8839,21.4902,20.3093,20.2096,20.3904,14.2993,19.7999,19.275,17.4231,22.0441,22.4684,18.611,18.1898
net-profit-margin,9.4943,-0.4291,13.5096,-3.9291,12.9967,-1.1843,-5.6494,9.1254,-5.4366,11.5864,19.2334,0.5879,12.1951,11.0205,7.6691,5.915,1.9872,10.5315,11.5066,13.6694,15.1136,13.8514,13.4491,4.2837,14.7102,13.8,32.8947,14.6999,16.504,15.0876,14.3573,16.0585,17.5757,16.2339,17.1518,24.4083,16.7626,16.5405,16.9292,18.4047,18.7351,15.1475,18.1655,17.6846,16.0646,15.8098,15.9194,16.5041,15.0083,15.3899,9.5156,11.8951,14.1609,10.8178,15.6302,11.4193,13.7311,13.7785
asset-turnover,0.0833,0.0798,0.0786,0.0817,0.0793,0.0774,0.0556,0.0839,0.0817,0.1231,0.1202,0.1263,0.1229,0.1169,0.1146,0.1156,0.1152,0.0725,0.1108,0.1769,0.1743,0.1691,0.1674,0.1729,0.1772,0.172,0.1634,0.1731,0.1796,0.1723,0.1605,0.1791,0.1838,0.1858,0.1829,0.1684,0.2027,0.2012,0.2055,0.1852,0.2057,0.2277,0.2243,0.2016,0.2275,0.2239,0.2254,0.2148,0.229,0.2267,0.2205,0.2143,0.2346,0.2326,0.2237,0.2129,0.2298,0.2275
inventory-turnover,0.8657,0.8455,0.8672,0.9449,0.8829,1.0287,0.5147,0.8867,0.8376,0.8798,0.8688,0.9767,0.8997,0.8581,0.795,0.8321,0.9634,0.4412,0.6653,0.7358,0.6735,0.6739,0.668,0.7233,0.7047,0.7055,0.6574,0.7784,0.7646,0.7127,0.7137,0.736,0.6931,0.7209,0.7239,0.6863,0.7876,0.7414,0.7683,0.7141,0.7126,0.7024,0.6805,0.7109,0.7911,0.7444,0.7684,0.7304,0.773,0.7837,0.7651,0.8096,0.821,0.8292,0.8207,0.8031,0.8613,0.8399
