,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
current-ratio,10.6118,12.145,20.0909,33.002,15.9448,19.7279,20.6076,15.5591,20.0932,15.286,27.7291,34.1208,56.5297,41.7608,54.2945,63.7896,38.6659,60.398,58.3076,27.0608,13.6895,16.0139,16.285,8.7429,0.0395,0.1718,0.0007,0.0006,0.0003,0.0015,0.002,0.0393,0.3613,0.1744,1.0223,1.581,1.4,13.5902,9.0047,,0.0675,0.1321,0.2077,0.918,5.3319,8.8564,
long-term-debt-capital,0.0167,0.0115,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-13.9377,-11.965,-8.4957,-6.9875,-13.3108,-11.3319,-9.0634,-17.7722,-13.3885,-18.1015,-13.8006,-9.3997,-10.4721,-6.1204,-6.9579,-8.0367,-6.981,-5.6408,-4.7462,-10.8537,-17.3163,-12.1422,-13.4447,-65.311,281.6699,123.7407,8.5232,-30.6219,4.0641,1.9694,33.4484,65.3442,102.2449,780.6384,-354.7002,-116.2732,-159.3161,-20.2485,-13.5025,,31.1406,43.5944,152.7725,-627.7589,-14.8658,-78.7462,-74.121
return-on-tangible-equity,-13.9375,-11.9649,-8.4956,-6.9874,-13.3105,-11.3317,-9.0632,-17.7714,-13.3879,-18.1004,-13.7998,-9.3992,-10.4717,-6.1201,-6.9579,-8.0367,-6.981,-5.6408,-4.7462,-10.8537,-17.3163,-12.1422,-13.4446,-65.3109,281.6698,123.7408,8.5232,-30.6219,4.0641,1.9694,33.4484,65.3442,100.3807,717.3793,-3286.142,-155.1979,-311.86,-42.6051,-24.0212,10.1427,27.3207,34.9749,100.9158,-627.7583,-17.9945,-94.7385,-82.7424
roa,-12.5047,-10.9081,-8.0065,-6.7749,-12.4911,-10.7673,-8.6298,-16.64,-12.7315,-16.9384,-13.3111,-9.1276,-10.2882,-5.9744,-6.8315,-7.9127,-6.8034,-5.5491,-4.6663,-10.4658,-16.0649,-11.3846,-12.4955,-57.8512,-5579.842,-573.6948,-3693.675,11784.72,-2348.725,-498.8249,-7511.912,-1469.237,-169.2108,-2351.038,-60.6636,-50.7835,-69.9601,-19.512,-12.6166,,-140.0888,-99.9403,-167.7321,-255.4882,-12.4848,-71.212,-70.3527
roi,-13.7053,-11.8276,-8.4109,-6.9874,-13.3105,-11.3317,-9.0632,-17.7714,-13.3879,-18.1004,-13.7998,-9.3992,-10.4717,-6.1201,-6.9579,-8.0367,-6.981,-5.6408,-4.7462,-10.8537,-17.3163,-12.1422,-13.4446,-65.3109,281.6698,123.7408,8.5232,-30.6219,4.0641,1.9694,33.4484,65.3442,102.2449,780.6389,-354.7002,-116.2732,-159.3161,-20.2485,-13.5025,,31.1406,43.5944,152.7727,-627.7583,-14.8658,-78.7461,-74.121
book-value-per-share,2.8137,3.2096,3.5247,3.7774,2.6087,2.9174,3.2646,1.9884,2.2992,2.0605,2.4039,2.6815,2.8916,3.2358,2.0392,2.1427,2.2877,2.3944,2.4877,1.3287,0.5846,0.6383,0.7607,0.8791,-0.2216,-0.2079,-14.9922,-13.8211,-21.1789,-21.2259,-22.0434,-16.3871,-7.204,-1.8077,0.2251,0.8665,0.6155,0.5816,0.6975,,-0.2202,-0.1516,-0.0855,0.0019,0.3285,0.3773,0.6745
operating-cash-flow-per-share,-0.8471,-0.5089,-0.2357,-1.0408,-0.7331,-0.4629,-0.2116,-1.2064,-0.9118,-0.5812,-0.3019,-0.5911,-0.3469,-0.1625,-0.0938,-0.4139,-0.2496,-0.1765,-0.0918,-0.3455,-0.1997,-0.1487,-0.109,-0.375,-0.0996,-1.1989,-0.3663,-2.8053,-2.8627,-2.5041,-0.9734,-8.1518,-4.4478,-2.4706,-0.7846,-0.9515,-0.3489,-0.1919,-0.1272,0.0,-0.0067,-0.0047,-0.0027,-0.0492,-0.8588,-0.8393,-0.5525
free-cash-flow-per-share,-0.8752,-0.5272,-0.2424,-1.0531,-0.7426,-0.4678,-0.2119,-1.2222,-0.9289,-0.5944,-0.3147,-0.6186,-0.3602,-0.1636,-0.0938,-0.4396,-0.2706,-0.1969,-0.1126,-0.4092,-0.2059,-0.1489,-0.1092,-0.3763,-0.1005,-1.1989,-0.3663,-2.8053,-2.8627,-2.5041,-0.9734,-8.1927,-4.4738,-2.4933,-0.7846,-0.9515,-0.353,-0.196,-0.1272,0.0,-0.0067,-0.0047,-0.0027,-0.0492,-0.8588,-0.8393,-0.5525
