,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
current-ratio,11.4924,14.5774,14.2068,15.2378,20.207,17.4017,17.6605,11.6366,12.8488,14.4667,14.943,9.6567,6.7181,10.7014,18.2633,27.2293,40.5963,,,,,
long-term-debt-capital,0.0091,0.0093,0.0111,0.0114,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0146,0.014,0.0162,0.0115,,,,,,,,,,,,,,,,,,
gross-margin,83.034,75.5488,96.7195,93.028,90.2563,90.3275,98.1811,118.7255,48.8772,79.9299,80.0,80.5425,72.0,79.0316,75.5725,80.1171,77.4561,77.2561,91.7702,,97.5155,
operating-margin,-244.1905,-467.8594,-4061.765,6.0082,-428.2887,15.8627,77.0634,-813.6277,-1594.985,-229.4422,-5037.802,-1206.898,-14934.4,-629.5579,-2862.85,-123.8685,-644.4736,-461.9222,-620.0311,,-352.1739,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-236.3878,-20.1244,-3653.62,14.5352,-386.242,36.082,78.7357,-784.1669,-1549.85,-220.5578,-4833.626,-1181.78,-14523.2,-607.8737,-2739.949,-116.5954,-643.1578,-461.482,-622.8261,,-371.2215,
net-profit-margin,-235.2653,-18.4875,-3645.702,10.5599,-361.8922,26.4645,78.7357,-784.1667,-1549.85,-220.5578,-4833.626,-1156.132,-14523.2,-607.8737,-2739.949,-116.5954,-643.1578,-645.0477,-387.7329,,-397.3085,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.7666,0.8142,0.1056,4.7487,2.0206,54.1691,5.0967,4.3129,1.5113,131.24,1.9956,1.6434,0.1841,3.0332,0.193,2.0791,1.8719,,,,,
days-sales-in-receivables,117.398,110.5329,852.3529,18.9526,44.542,1.6615,17.6586,20.8677,59.5509,0.6858,45.0989,54.7641,488.88,29.6716,466.2595,43.2876,48.079,,,,,
roe,-7.3835,-0.2946,-6.6169,0.8462,-3.8866,3.3396,34.8229,-8.7401,-10.6375,-6.8367,-10.3303,-12.1234,-10.0729,-7.3592,-5.162,-2.3883,-3.3056,,,,,
return-on-tangible-equity,-7.3835,-0.2946,-6.6169,0.8462,-3.8866,3.3396,34.8229,-8.7401,-10.6375,-6.8367,-10.3303,-12.1234,-10.0729,-7.3592,-5.162,-2.3883,-3.3056,,,,,
roa,-6.7913,-0.2754,-6.2093,0.7918,-3.7287,3.1531,32.8605,-8.0518,-9.8951,-6.4503,-9.8127,-11.3517,-9.2634,-7.0058,-5.0087,-2.339,-3.2255,,,,,
roi,-7.316,-0.2918,-6.5433,0.8366,-3.8866,3.3396,34.8229,-8.7401,-10.6375,-6.8367,-10.3303,-12.1234,-10.0729,-7.3592,-5.162,-2.3883,-3.3056,,,,,
book-value-per-share,12.7143,13.4576,13.3035,14.0877,13.8376,9.8287,9.3837,5.8485,6.2571,6.8615,7.0393,6.1086,6.8074,7.4132,7.9202,8.2396,8.4318,,,,,
operating-cash-flow-per-share,-2.2329,-1.4466,-0.8056,2.8555,3.2008,3.6387,1.6961,-1.941,-1.4275,-0.8815,-0.6554,-1.8387,-1.0629,-0.619,-0.2996,-2.4545,-3.758,-3.5682,-0.6333,,-0.9599,
free-cash-flow-per-share,-2.5232,-1.6651,-0.8731,2.4932,2.954,3.4965,1.6277,-2.1806,-1.591,-1.0319,-0.7652,-2.1473,-1.2033,-0.6755,-0.3154,-2.5114,-3.8399,-3.6844,-0.6733,,-0.9599,
