,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
current-ratio,12.883,14.9453,27.8541,28.9019,19.3384,10.7092,15.1077,11.408,11.9482,12.9226,15.2673,9.528,11.2615,13.4684,20.7494,16.9879,21.2079,30.1873,29.8008,24.8449,30.9717,27.1434,22.2666,24.0645,13.3426,12.5062,23.7497,72.1565,,,,,
long-term-debt-capital,0.0621,0.0633,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0836,0.0837,0.0849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.8696,100.0,100.0,100.0,,
operating-margin,-10230.24,-11076.05,-12340.86,-11729.38,-9538.432,-22605.38,-21457.27,-20662.54,-24444.75,-67.6264,-14004.25,-28816.97,-14925.87,-12060.06,-10343.4,-7886.646,-5282.284,-6487.41,-2534.401,-651.0181,-883.7147,10.3763,55.9006,-6408.384,-5594.152,-6701.797,-5243.859,-2127.826,-918.2203,-1321.224,-2675.99,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-9258.536,-9560.479,-11111.29,-11293.82,-9253.726,-22160.57,-21488.99,-20729.79,-24702.74,-70.819,-14303.09,-28391.82,-14971.33,-12088.89,-10316.98,-7868.08,-5300.233,-6504.317,-2518.718,-645.1563,-870.8615,10.4887,55.851,-6530.541,-5585.965,-6693.414,-5230.994,-2125.218,-918.2203,-1321.224,-2675.99,,
net-profit-margin,-9486.829,-9467.066,-11217.74,-11577.83,-9630.98,-21463.08,-21472.69,-20855.12,-23924.2,-66.0189,-13661.78,-28598.26,-15118.53,-12145.65,-10385.28,-7868.731,-5355.711,-6574.46,-2563.575,-651.2665,-887.0794,8.5312,55.3825,-6619.161,-5666.082,-6767.665,-5234.503,-2125.391,-918.2203,-1321.224,-2675.99,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,34.875,0.0023,0.9542,0.9955,0.8866,0.9557,0.9607,0.6993,0.9148,0.2642,0.6031,0.527,0.2893,0.4275,1.1444,1.4032,9.838,14.6054,2.8793,3.1667,3.0364,0.6552,2.5785,,,,,
days-sales-in-receivables,,,,,,2.5806,39652.34,94.3236,90.411,101.5068,94.1699,93.6842,128.7063,98.3784,340.6415,149.2182,170.7692,311.1151,210.5059,78.6438,64.1386,9.1482,6.1621,31.2575,28.4211,29.6407,137.3684,34.9044,,,,,
roe,-6.7253,-5.2211,-6.6847,-6.9539,-7.2307,-16.8205,-11.9029,-11.7287,-11.7409,-3.6349,-7.1303,-13.3833,-10.7801,-9.3869,-5.9086,-6.6978,-6.0791,-4.6245,-5.4797,-4.5224,-4.3713,0.4323,9.2492,-6.3796,-9.8086,-10.5401,-7.5992,-9.6621,,,,,
return-on-tangible-equity,-6.7253,-5.2211,-6.6847,-6.9539,-7.2307,-16.8205,-11.9029,-11.7287,-11.7409,-3.6349,-7.1303,-13.3833,-10.7801,-9.3869,-5.9086,-6.6978,-6.0791,-4.6245,-5.4797,-4.5224,-4.3713,0.4323,9.2492,-6.3796,-9.8086,-10.5401,-7.602,-9.6621,,,,,
roa,-4.3132,-3.4215,-4.5405,-4.503,-4.6812,-10.6306,-8.0348,-9.6222,-9.7445,-3.0572,-6.0802,-10.6316,-9.016,-8.0478,-5.6016,-6.2707,-5.7594,-4.4452,-5.2496,-4.3109,-4.2035,0.4139,8.7591,-6.06,-8.9766,-9.5837,-7.203,-9.4529,,,,,
roi,-6.3074,-4.8908,-6.2501,-6.9539,-7.2307,-16.8205,-11.9029,-11.7287,-11.7409,-3.6349,-7.1303,-13.3833,-10.7801,-9.3869,-5.9086,-6.6978,-6.0791,-4.6245,-5.4797,-4.5224,-4.3713,0.4323,9.2492,-6.3796,-9.8086,-10.5401,-7.5992,-9.6621,,,,,
book-value-per-share,7.248,7.5897,7.8297,8.1025,8.5202,8.9377,10.2834,10.581,11.6082,12.7624,13.0736,10.5146,11.6409,12.5317,13.5638,11.3618,11.9901,12.5947,10.1007,10.5845,11.0131,11.1923,8.8113,7.9278,5.5875,6.0653,6.6627,7.1545,,,,,
operating-cash-flow-per-share,-0.9645,-0.7408,-0.4374,-0.7148,-0.1763,0.6667,-0.8165,-3.4839,-2.3937,-1.9416,-1.0583,-3.3842,-2.3957,-1.5246,-0.7364,-1.9323,-1.3605,-0.8398,-0.5372,-0.0277,0.4326,1.0527,0.78,-1.7243,-1.2592,-0.6764,-0.2886,-2.8261,-1.8236,-1.3098,-0.5949,,
free-cash-flow-per-share,-0.9756,-0.7456,-0.4404,-0.7585,-0.1871,0.6596,-0.8211,-3.5774,-2.4758,-2.01,-1.1254,-3.8687,-2.6717,-1.552,-0.7434,-1.9779,-1.3731,-0.842,-0.5382,-0.0479,0.4158,1.0373,0.7788,-1.753,-1.2897,-0.694,-0.2949,-2.9135,-1.8425,-1.3216,-0.6043,,
