,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
current-ratio,7.035,8.4223,7.1345,8.6993,5.2936,4.7766,5.172,5.2831,4.6813,24.4279,20.3341,8.1159,9.5302,11.948,7.2518,8.3887,11.6118,9.4793,10.3776,8.8699,6.6,,,,,
long-term-debt-capital,0.9617,0.8319,0.8133,1.0297,0.8391,0.7137,0.6864,0.6512,0.584,0.4278,,,,,,,0.0081,0.0153,0.0136,0.0124,0.0472,,,,,
debt-equity-ratio,25.3714,5.0143,4.4115,-34.715,5.2141,2.4928,2.1885,1.867,1.4036,0.7477,,,,,,,0.0091,0.0155,0.0138,0.0126,0.0495,,,,,
gross-margin,83.2481,97.9969,62.2349,58.1365,66.9456,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,,,,,,,,
operating-margin,-478.3751,-24.461,-2557.994,-3142.978,-9110.46,-54.3373,-19039.46,-3996.725,-16700.84,-3611.539,-2825.516,-35.1064,-21799.16,,,,-222.9315,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-499.6185,-26.9518,-2644.046,-3201.516,-9280.893,-61.2385,-19882.28,-4170.662,-16808.07,-3617.824,-2768.199,-32.863,-21436.97,,,,-219.9178,,,,,,,,,
net-profit-margin,-499.6185,-26.9518,-2644.046,-3201.516,-9280.893,-61.2385,-19817.39,-4170.662,-16808.07,-3617.824,-2768.199,-32.863,-21436.97,,,,-219.9178,,,,,,,,,
asset-turnover,0.0264,0.149,0.0053,0.0065,0.0017,0.0802,0.0006,0.0024,0.0016,0.0015,0.0023,0.0719,0.0004,,,,0.0295,,,,,,,,,
inventory-turnover,0.0822,0.0757,0.0693,0.1122,0.0812,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.0431,1.1146,0.2902,0.3919,0.3392,697.8572,5.2456,25.8269,,,0.0996,1.0498,0.0048,,,,1.0,,,,,,,,,
days-sales-in-receivables,86.2854,80.7495,310.155,229.6746,265.3557,0.129,17.1572,3.4847,,,903.3771,85.7296,18907.56,,,,90.0,,,,,,,,,
roe,-397.9353,-27.3995,-86.9131,794.4409,-123.5798,-21.2829,-46.3382,-37.4289,-90.1609,-10.3558,-7.2844,-2.9846,-10.1687,-10.2446,-17.7874,-16.7953,-7.4755,-13.7052,-9.9639,-4.3802,10.5598,,,,,
return-on-tangible-equity,-449.111,-28.1175,-88.9376,667.257,-127.7236,-21.6235,-46.6193,-37.9095,-91.0298,-10.4088,-7.3187,-3.0077,-10.2461,-10.3169,-18.001,-16.9688,-7.6279,-14.1916,-10.2769,-4.5061,-22.5404,,,,,
roa,-13.2085,-4.016,-14.0458,-20.8555,-16.2333,-4.9097,-11.7136,-9.988,-26.566,-5.4488,-6.4745,-2.3618,-8.1894,-9.0517,-14.449,-14.0363,-6.4943,-11.3303,-8.4747,-3.7745,-13.1626,,,,,
roi,-15.2597,-4.605,-16.2291,-23.5636,-19.887,-6.0934,-14.533,-13.0553,-37.5104,-5.9252,-7.2844,-2.9846,-10.1687,-10.2447,-17.7874,-16.7953,-7.4151,-13.4956,-9.8285,-4.3256,-19.1199,,,,,
book-value-per-share,0.2656,1.2051,1.3899,-0.2135,1.2784,2.6757,3.0557,3.5803,4.7686,8.9541,9.7564,6.9385,7.0461,7.6575,5.3255,6.1881,7.178,5.0607,5.7095,6.2357,43.0661,,,,,
operating-cash-flow-per-share,-2.5133,-2.4205,-1.5746,-5.0734,-3.2045,-1.8577,-1.31,-2.5631,-1.7375,-0.9617,-0.671,-2.2427,-2.1112,-1.7274,-0.868,-1.8125,-1.2378,-0.7787,-0.2075,-4.887,-27.6803,-19.2423,-8.4898,,-8.0502,
free-cash-flow-per-share,-2.5154,-2.4211,-1.5749,-5.0881,-3.2186,-1.8714,-1.3108,-2.5699,-1.7387,-0.9627,-0.672,-2.2655,-2.1141,-1.7307,-0.8712,-1.82,-1.2407,-0.7808,-0.2075,-4.9113,-27.7322,-19.2834,-8.4988,,-8.086,
