,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31
current-ratio,5.4945,6.5413,3.7179,4.2242,5.9821,6.5132,4.5798,4.3092,5.9541,6.6068,8.7367,9.016,14.5723,4.9461,5.7928,13.5455,21.8295,31.1483,22.6074,16.1294,16.9186,25.7244,0.4838,16.615,21.0828,22.8159,10.9818,8.6222,6.3162,,,,,
long-term-debt-capital,0.8007,0.7567,1.1717,0.951,0.7931,0.7125,1.1702,0.956,0.7592,0.6724,0.5894,0.5201,0.4488,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,4.0601,3.1567,-6.8924,19.7974,3.872,2.5296,-6.9476,22.1623,3.1856,2.0968,1.4509,1.107,0.8233,,,,,,,,,,,,,,,,,,,,,
gross-margin,99.2139,98.9789,98.9015,98.11,98.8954,98.3637,99.2214,97.8162,99.5839,99.0967,99.5392,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,103.7037,100.0,100.0,100.0,,100.0,
operating-margin,-121.9258,-96.0166,-160.6541,-153.8495,-124.0497,-160.1308,-209.8156,-278.5284,-160.0886,-260.6566,-398.912,-825.5992,-1603.94,-1414.765,-28629.21,-19885.67,-11636.85,-10971.69,-2744.567,-7866.284,-8106.067,-5040.225,-4819.505,-3427.368,-2738.561,-1879.116,-1683.256,-1628.395,-723.6709,-685.7458,-442.8356,,100.0,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-136.9379,-107.7225,-172.7589,-165.1745,-137.177,-172.56,-226.872,-295.2531,-175.6448,-280.2603,-427.2615,-869.3027,-1715.569,-1400.344,-28466.07,-19743.39,-11437.08,-10762.7,-2725.744,-7797.452,-8054.831,7521.348,-60687.48,-3048.162,-7828.447,-3324.293,-2518.505,-7582.716,-991.4139,-670.3069,-353.17,,100.0,
net-profit-margin,-136.9379,-107.7225,-172.7589,-165.1746,-137.177,-172.56,-226.872,-295.2531,-175.6447,-280.2603,-427.2615,-869.3024,-1715.569,-1400.344,-28466.07,-19743.62,-11437.08,-10762.7,-2725.675,-7797.681,-8054.606,7521.349,-60687.47,-3047.915,-7828.447,-3324.293,-2518.505,-7578.024,-1182.549,-769.153,-452.0163,,-443.2137,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.8875,1.8234,1.7749,2.0736,2.128,2.2336,2.1225,2.2839,2.8532,2.3346,1.981,1.5131,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,47.6833,49.3575,50.7081,43.402,42.2935,40.294,42.4036,39.4059,31.5438,38.5502,45.4319,59.4786,,,,,,,,,,,,,,,,,,,,,,
roe,-64.8893,-40.7642,164.1242,-460.0356,-67.2735,-51.2997,156.0782,-679.0676,-65.0156,-51.0088,-37.4337,-38.1168,-21.4041,-18.5514,-25.9401,-14.6563,-7.5079,-6.6249,-9.9483,-15.0822,-13.7301,11.5438,160.0252,-15.0097,-34.8903,-11.5909,-16.7929,-46.5637,-33.2648,,,,,
return-on-tangible-equity,-64.8893,-40.7641,164.1243,-460.0364,-67.2734,-51.2997,156.0784,-679.0681,-65.0156,-51.0088,-37.4337,-38.1168,-21.4041,-18.5514,-25.9401,-14.6563,-7.5079,-6.6249,-9.9483,-15.0821,-13.7301,11.5438,160.0252,-15.0097,-34.8903,-11.5909,-16.7929,-46.5637,-33.1649,,,,,
roa,-10.5764,-8.3731,-20.5975,-17.2841,-11.5726,-12.4304,-20.7177,-22.9736,-12.9546,-14.0584,-13.4622,-16.2383,-10.9342,-14.7468,-21.3481,-13.4582,-7.1008,-6.3532,-9.3413,-13.7019,-12.532,10.7701,-173.3891,-8.2284,-19.9741,-8.2242,-9.6144,-27.3591,-13.4482,,,,,
roi,-12.9304,-9.9165,-28.1786,-22.5434,-13.9197,-14.7473,-26.5615,-29.9068,-15.6586,-16.7089,-15.371,-18.2911,-11.7973,-18.5514,-25.9401,-14.6563,-7.5079,-6.6249,-9.9483,-15.0821,-13.7301,11.5438,160.0252,-15.0096,-34.8903,-11.5909,-16.7929,-46.5637,-33.1861,,,,,
book-value-per-share,3.994,5.3585,-1.8471,0.6442,3.2309,4.9578,-2.0636,0.6509,4.4485,6.7611,9.6049,12.6886,16.7377,16.8858,19.8558,24.6873,27.9482,29.9367,17.436,10.7817,12.2426,13.69,-7.8573,4.2501,4.7128,6.1067,3.6552,3.9881,,,,,,
