,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
current-ratio,2.2543,2.1712,2.1149,2.3231,1.9103,2.0126,1.642,2.6001,1.8141,1.7494,1.7396,1.9642,2.0942,2.9206,2.586,2.5158,3.3878,3.1028,2.4449,4.2573,4.4139,4.6022,5.2708,4.2871,4.2844,4.1563,3.9221,3.7547,3.184,2.3528,2.6957,3.8246,4.068,3.8843,3.971,4.1189,3.1923,2.711,2.2185,1.8346,2.1749,2.3675,2.2706,2.1569,,,
long-term-debt-capital,0.8736,0.7855,0.775,0.7486,0.7451,0.7405,0.9283,1.3683,0.6144,0.5933,0.5858,0.5659,0.4733,0.2885,0.2867,0.2855,0.2896,0.2956,0.3083,,,,,,,,,,,,,,,,,,,,,,,0.0287,0.0328,0.0362,,,
debt-equity-ratio,7.0076,3.7132,3.4908,3.0023,3.1409,2.9588,13.2389,-3.9532,1.6305,1.4926,1.4475,1.3322,0.9184,0.4055,0.402,0.3997,0.4077,0.4196,0.4667,,,,,,,,,,,,,,,,,,,,,,,0.0406,0.1232,0.1278,,,
gross-margin,14.3898,26.0104,18.6228,38.8738,41.9959,43.0886,52.5439,72.4767,53.0018,47.6132,13.4982,149.74,-72.5842,42.2875,45.4928,40.6853,42.3109,39.6163,41.3946,46.3536,53.4421,58.3518,48.5369,33.9484,36.4457,45.4266,38.9733,45.4723,53.5948,46.7518,48.6536,48.8159,52.2775,47.4353,53.8762,50.9021,52.9195,54.9967,75.3888,49.627,56.8026,53.2936,55.4428,42.743,39.3702,73.6831,53.1785
operating-margin,-29.6799,-4.674,-21.1513,4.6791,15.6468,-43.7573,23.0947,51.8609,30.9159,17.1635,-28.0928,131.3445,-119.6214,2.55,16.8291,10.9198,12.4646,8.4288,-4.7856,0.8749,16.14,28.6709,6.9332,-16.1126,-0.1462,4.4495,2.8763,3.4712,20.2346,18.1245,14.3628,22.4068,21.1792,14.3064,19.0463,9.7808,40.58,32.2011,65.2513,29.5962,15.6484,6.8252,7.0188,-22.2083,-49.2957,39.1842,2.3032
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,6.9461,-13.8955,-29.853,-2.9759,4.7376,-63.4399,18.9019,51.6571,10.3575,15.2383,-36.6209,132.6133,-124.5532,-2.2887,-7.7576,4.7109,27.7396,-2.1234,-7.481,1.2575,16.3634,28.9309,7.2693,-15.7185,0.0151,6.9698,103.5228,3.5945,20.3809,17.9827,14.4935,21.2552,21.4161,14.095,19.3298,9.8979,40.6708,32.2951,65.2569,29.9431,15.6315,6.9176,6.8661,29.5984,-49.981,38.3008,2.0589
net-profit-margin,-70.055,-4.177,-10.7328,-1.7388,1.459,-4.6169,-0.0425,,0.0,0.0,-53.3782,49.0661,-78.688,-1.565,-4.6154,4.0508,16.1715,-0.8647,-4.4257,0.0915,9.9602,18.6428,5.412,-9.5512,-0.1357,4.3346,71.01,3.4017,13.7629,11.2171,9.6175,13.7879,14.3681,9.9714,12.7592,12.5346,24.7253,20.4779,40.6655,21.6562,10.2932,5.1578,3.7666,20.0671,-28.6344,21.7206,0.9213
asset-turnover,0.1021,0.0949,0.1017,0.1143,0.104,0.0911,0.2254,0.2494,0.1545,0.1528,0.1087,0.2151,0.1075,0.0933,0.1196,0.1467,0.1108,0.1054,0.0803,0.1216,0.1447,0.1777,0.1209,0.1011,0.1307,0.1284,0.1472,0.1633,0.1615,0.1737,0.1423,0.1997,0.1593,0.1693,0.1514,0.1429,0.4313,0.1805,0.3826,0.2666,0.1226,0.1132,0.115,0.0869,,,
inventory-turnover,0.8059,0.7221,0.8098,0.6652,0.5632,0.4595,0.8235,0.3243,0.6929,0.6793,0.8157,-1.1133,2.3475,0.6727,0.9203,1.3324,0.9791,1.0478,0.6924,0.8737,0.8539,0.924,0.8022,0.9491,1.0418,0.8249,1.1039,0.857,0.8587,1.4049,1.1394,1.498,1.141,1.437,1.0261,1.0922,3.4047,1.6181,1.5299,1.8059,0.721,0.8266,0.8821,0.7922,,,
receiveable-turnover,0.7271,0.6351,0.6956,1.0315,0.7422,0.6597,0.9339,0.9104,1.0525,1.1827,0.8616,1.5034,0.9512,0.7268,1.0516,0.8694,0.9676,0.8861,0.7936,0.8957,1.0375,1.1478,0.9933,0.8916,0.9935,1.2527,0.6885,1.5293,1.4891,1.1604,1.0787,1.0311,1.1306,1.0396,1.1524,1.2078,3.1809,1.1255,0.9958,0.9477,1.0553,1.0913,0.9531,1.0321,,,
days-sales-in-receivables,123.7757,141.711,129.3892,87.2499,121.2538,136.4243,96.3702,98.8562,85.5084,76.0999,104.4539,59.8629,94.6128,123.8244,85.586,103.5144,93.0135,101.5716,113.4057,100.4801,86.7463,78.4104,90.6088,100.9457,90.5869,71.8439,130.7097,58.8502,60.4401,77.5576,83.4303,87.2834,79.6024,86.5748,78.0959,74.5178,28.2936,79.966,90.3783,94.9667,85.2842,82.4723,94.4303,87.203,,,
roe,-91.8297,-6.7426,-15.5983,-2.2681,1.9081,-26.6199,86.66,-54.0191,5.6278,7.1841,-18.1985,64.4052,-19.8412,-0.2516,-0.9732,1.0756,3.4759,-0.1875,-0.7081,0.0135,1.7712,4.037,0.7786,-1.1876,-0.022,0.6918,13.2057,0.6944,2.9395,2.8751,1.9742,3.6372,2.9788,2.2522,2.6005,2.4408,15.4722,7.6904,36.3536,17.1478,3.6831,1.7505,1.356,5.5885,,,
return-on-tangible-equity,24.8942,4.128,10.2844,1.7159,-1.4219,20.2417,-13.0198,-45.4265,-11.5185,-16.9618,43.8782,-197.1691,91.6168,-0.9537,-3.9381,4.5667,18.8041,-2.0586,81.7258,0.0144,1.8901,4.2853,0.8309,-1.2779,-0.0233,0.7492,14.4427,0.7796,3.3401,3.3329,2.241,3.8264,3.1284,2.3697,2.7424,2.5809,16.4036,8.2492,39.3531,19.5769,4.3461,2.0864,1.6323,6.7552,,,
roa,-9.811,-1.1855,-2.8452,-0.4671,0.3812,-5.503,4.2307,15.1194,1.6446,2.219,-5.8039,22.0443,-8.4607,-0.146,-0.5518,0.5944,1.7914,-0.0911,-0.3553,0.0111,1.4409,3.3131,0.6541,-0.9652,-0.0177,0.5565,10.4525,0.5555,2.2234,1.9483,1.3689,2.7625,2.2836,1.6846,1.931,1.7889,10.6592,3.6915,15.5631,5.7672,1.2563,0.581,0.4313,1.7348,,,
roi,-11.6081,-1.4462,-3.5103,-0.5701,0.4864,-6.9085,6.217,19.8971,2.17,2.9219,-7.537,27.9559,-10.4494,-0.179,-0.6942,0.7685,2.4691,-0.1321,-0.4898,0.0135,1.7712,4.037,0.7786,-1.1876,-0.022,0.6918,13.2057,0.6944,2.9395,2.8751,1.9742,3.6372,2.9788,2.2522,2.6005,2.4408,15.4722,7.6904,36.3536,17.1478,3.6831,1.7002,1.3115,5.3864,,,
book-value-per-share,1.2707,2.5054,2.6763,3.0015,3.0657,3.1479,0.8072,,6.4983,7.067,7.3285,8.4658,12.2259,14.5322,14.6304,14.6172,14.1091,13.7584,12.4857,12.4655,12.5605,12.2858,11.7788,11.6268,11.8729,11.7941,11.6578,10.1226,10.082,9.6613,9.3471,9.0331,8.758,8.4747,8.1884,7.8811,7.6406,6.4196,5.79,3.5863,2.9347,2.7856,2.6904,2.6656,,,
operating-cash-flow-per-share,0.4023,-0.6821,-0.849,1.9664,-0.0735,-0.5629,,,,,0.556,,1.4588,0.4021,1.1166,1.2836,0.482,-0.4699,0.343,0.4653,0.7628,0.1766,-0.2442,2.184,2.3156,2.4769,0.8572,1.5471,1.4658,0.64,0.3494,0.091,0.1561,-0.2253,0.0151,3.7723,3.9695,3.4806,0.5889,-0.131,-0.0386,-0.034,-0.3003,1.0622,0.3463,0.4526,-0.0641
free-cash-flow-per-share,0.076,-0.9135,-0.9899,1.5126,-0.5653,-0.8508,,,,,0.4348,,1.031,0.1325,0.9626,0.9337,0.2799,-0.5923,0.2818,0.0412,0.4238,-0.0832,-0.384,1.7064,1.9544,2.1829,0.7199,0.5691,0.6084,0.2725,0.2292,-0.3624,-0.1191,-0.4407,-0.115,3.5266,3.8085,3.3633,0.5401,-0.3504,-0.1759,-0.1226,-0.3647,0.6367,-0.0065,0.2417,-0.1335
