,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,5.4569,7.5203,6.5858,8.2852,10.0509,12.3619,15.3932,15.9829,11.2786,13.0737,8.3061,7.731,6.5401,6.4178,8.3116,9.1425,9.7759,13.9397,3.5666,7.1369,,,,
long-term-debt-capital,0.1497,0.1352,0.2151,0.0299,0.0265,0.0243,0.0243,0.0229,0.0242,0.0098,0.0196,0.0198,0.049,0.0486,0.0475,0.0491,0.0505,0.0524,0.2189,0.1786,,,,
debt-equity-ratio,0.1888,0.167,0.2894,0.0349,0.0313,0.0292,0.0298,0.0286,0.0352,0.0198,0.0344,0.0349,0.086,0.0832,0.0796,0.0784,0.0757,0.0737,0.3663,0.2655,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
operating-margin,-1071.901,-2033.542,-12338.77,-8048.602,-6895.707,-71.1094,-6175.157,-3076.965,-478.5573,-580.8829,-485.1027,-277.8963,-274.0747,-267.4593,-224.9854,-332.7077,-364.1856,-461.3323,-1740.798,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1031.568,-1950.704,-11973.56,-7775.611,-6641.369,-65.2719,-5927.568,-3011.486,-467.3153,-567.2666,-479.0582,-276.466,-273.2792,-267.431,-226.1377,-336.0304,-369.0017,-483.0666,-1774.847,,,,,
net-profit-margin,-1031.568,-1950.704,-11973.56,-7775.609,-6641.37,-65.2719,-5927.568,-3011.485,-467.3153,-567.2665,-479.0582,-276.4661,-273.2792,-267.431,-226.1377,-336.0302,-369.0017,-515.9285,-2123.006,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.8004,0.9707,,4.8046,,,,,2.3488,1.9154,2.0665,2.1501,1.7829,2.1083,1.62,1.3576,1.387,1.3973,1.3471,,,,,
days-sales-in-receivables,49.988,92.7123,,18.7319,,,,,38.3181,46.9864,43.5514,41.858,50.4789,42.6879,55.5543,66.2913,64.8862,64.4101,66.8098,,,,,
roe,-18.2582,-16.8145,-25.3933,-19.1695,-14.8628,-4.8917,-9.9057,-7.8573,-11.0488,-8.9316,-14.8638,-9.979,-17.2285,-16.7854,-11.9575,-10.8176,-7.9941,-7.6538,12.8457,18.2409,,,,
return-on-tangible-equity,-18.2582,-16.8145,-25.3933,-19.1695,-14.8628,-4.8917,-9.9057,-7.8573,-11.0488,-8.9316,-14.8638,-9.979,-17.2285,-16.7854,-11.9575,-10.8176,-7.9941,-7.6538,-46.8066,-40.8705,,,,
roa,-12.7757,-12.3493,-16.0479,-14.871,-11.9983,-4.0667,-8.5104,-6.8499,-8.9744,-7.513,-11.0735,-7.5189,-10.0293,-10.1297,-7.5258,-8.7061,-6.4735,-6.3563,-20.6976,-29.0035,,,,
roi,-15.5245,-14.5419,-19.9316,-18.5969,-14.4686,-4.773,-9.6655,-7.6774,-10.7814,-8.8442,-14.5732,-9.7811,-16.3847,-15.9692,-11.389,-10.2859,-7.5905,-7.2531,-36.5613,-33.5714,,,,
book-value-per-share,10.5001,12.0837,7.7927,9.5149,11.1343,12.5999,13.0274,14.3185,8.7098,9.5724,5.661,6.4329,3.5799,4.1342,4.7771,5.3196,5.8798,6.3536,14.2825,21.7757,,,,
operating-cash-flow-per-share,-4.7652,-3.3048,-1.8184,-3.9895,-2.4462,-1.1953,-1.1342,-3.1716,-2.1752,-1.5112,-0.9364,-0.8916,-0.2098,0.4755,1.1352,-1.737,-0.6942,-0.3607,2.909,-24.912,-16.3937,-11.1262,-5.144,
free-cash-flow-per-share,-4.9721,-3.3855,-1.8586,-4.2785,-2.7252,-1.415,-1.2786,-3.5821,-2.3012,-1.523,-0.9428,-0.9773,-0.2955,0.4087,1.0886,-2.0048,-0.7363,-0.3786,2.8977,-25.4047,-16.6008,-11.2079,-5.2171,
