,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
current-ratio,,,,,,,,,,
gross-margin,,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,
operating-margin,,20.1633,-288.1977,31.6104,34.8901,14.4067,4.6467,,-388.7566,
ebit-margin,,,,,,,,,,
pre-tax-profit-margin,,23.7167,-265.252,35.8763,35.9998,13.8369,2.7077,,-471.2302,
net-profit-margin,,23.7167,-265.252,,,,,,-471.2302,
asset-turnover,,,,,,,,,,
roe,-14.6036,4.1687,-8.6087,5.5204,4.2009,,,,,
return-on-tangible-equity,-14.6036,4.1687,-8.6087,5.5204,4.2009,,,,,
roa,-12.8074,3.6992,-7.6622,4.7959,3.332,,,,,
roi,-14.6036,4.1687,-8.6087,5.5204,4.2009,,,,,
book-value-per-share,6.3274,7.1217,6.6615,7.1175,6.6672,,,,,
operating-cash-flow-per-share,-0.8688,-0.0963,-0.6874,-2.4543,-2.506,-15.3723,-9.415,,-10.9725,
free-cash-flow-per-share,-0.9585,-0.1705,-0.7451,-2.578,-2.5801,-15.6327,-9.5457,,-11.043,
