,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-09-30
current-ratio,1.0691,0.7829,1.4537,1.5123,2.2092,2.2677,2.098,2.1756,1.378,1.0567,1.3967,,,1.6775,1.7318,1.8298,,2.0292,2.8606,2.6993,2.2889,2.5842,2.6096,2.543,2.3074,2.3809,,,2.2165,,
long-term-debt-capital,0.6211,0.6106,0.6558,0.6776,0.4832,0.4946,0.5012,0.4961,0.519,0.5116,0.5271,,,0.5466,0.557,0.5524,,0.5016,0.4334,0.4373,0.4435,0.6237,0.6223,0.4122,0.4224,0.4423,,,0.0047,,
debt-equity-ratio,1.8714,1.8018,1.9115,2.1098,0.9375,0.9819,1.0545,1.0326,1.1413,1.1495,1.1624,,,1.2096,1.2615,1.2386,,1.0109,0.7691,0.7818,0.8013,1.6679,1.6556,0.7022,0.7326,0.7944,,,0.0054,,
gross-margin,43.6063,47.2367,42.3855,43.5142,45.8057,47.7287,46.0082,48.2648,55.378,53.2745,53.5893,,60.429,56.4043,52.1084,53.7495,,57.4262,56.5202,52.6946,53.9112,43.5309,47.0778,47.3158,46.2399,46.6316,46.7282,46.3294,100.0,47.1044,
operating-margin,1.116,-3.6317,1.9479,-463.4326,8.6886,6.384,3.4556,18.6803,13.9194,8.3486,15.4107,,8.8388,20.2054,16.2295,100.0,,14.4876,11.4652,15.8292,-20.9589,-0.6737,0.6633,13.532,10.1064,-0.1053,9.1406,100.0,100.0,11.5049,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-3.8322,-3.0123,-6.2611,-472.4637,-1.0876,-4.9909,-7.6129,12.8962,-0.7826,-5.8657,-15.5179,,8.1977,9.0699,4.2535,9.1605,,6.2008,5.0183,10.0365,-26.0502,-4.0882,-1.5418,11.6624,8.0521,-1.386,9.1406,7.3214,100.0,11.5243,
net-profit-margin,-0.1479,0.8259,19.5927,-445.3706,14.2268,1.8898,-2.3832,110.117,10.6061,10.4649,71.2857,,26.0232,22.9979,14.5011,23.0761,,6.6112,12.0635,12.0672,-52.3082,-3.6901,2.0796,8.4413,6.1445,-4.8947,5.809,3.8095,5.1062,6.4304,
asset-turnover,0.0718,0.0805,0.0749,0.0768,0.0537,0.0549,0.0487,0.0956,0.0411,0.041,0.0379,,,0.0547,0.0513,0.057,,0.059,0.0639,0.0601,0.0524,0.1204,0.1022,0.1513,0.1533,0.1721,,,0.1785,,
inventory-turnover,1.2885,1.2875,1.4248,1.4632,3.023,2.34,1.911,2.2203,0.7852,0.8262,0.7244,,,1.0562,1.0361,1.4851,,0.9886,1.0212,0.984,0.7829,0.9259,0.6638,0.6636,0.7271,0.719,,,,,
receiveable-turnover,1.3803,1.5581,1.3728,1.3395,2.288,2.4452,2.3493,3.277,1.2936,1.2448,1.1516,,,1.7332,1.6203,1.8827,,1.4046,1.4728,1.5107,1.2348,1.4918,1.6691,1.3614,1.3603,1.7576,,,1.7626,,
days-sales-in-receivables,65.2037,57.7627,65.5591,67.1901,39.3349,36.8068,38.3093,27.4639,69.5754,72.303,78.1554,,,51.9271,55.5467,47.8039,,64.0761,61.1099,59.5743,72.887,60.3307,53.9226,66.1089,66.1629,51.2053,,,51.0602,,
roe,-0.0292,-0.0163,5.082,-128.7847,1.7294,0.0494,-0.3235,26.7495,1.0385,0.3611,-0.8779,,,3.3923,1.9322,2.232,,1.0494,1.45,1.7233,-3.4994,-1.8293,0.8742,3.5439,2.4849,-2.3921,,,1.443,,
return-on-tangible-equity,0.0204,0.0108,-3.1001,68.9167,-2.0187,-0.0536,0.3389,-32.6967,-0.7704,-0.2646,0.6314,,,-2.2962,-1.2355,-1.4589,,-0.8403,-1.8347,-2.02,3.8081,2.0434,-0.9508,12.7473,10.3483,-14.1979,,,2.6796,,
roa,-0.0087,-0.0049,1.4703,-34.185,0.766,0.0213,-0.1347,11.4169,0.3634,0.1258,-0.3039,,,1.116,0.6194,0.7226,,0.3737,0.5868,0.6842,-1.3486,-0.4481,0.2145,1.2999,0.8772,-0.8363,,,0.9497,,
roi,-0.0111,-0.0063,1.7494,-41.5162,0.8938,0.025,-0.1614,13.4792,0.4995,0.1763,-0.4152,,,1.5382,0.856,0.9989,,0.523,0.8216,0.9696,-1.9474,-0.6884,0.3302,2.0832,1.4352,-1.334,,,1.4362,,
book-value-per-share,36.6374,36.6449,36.5575,34.6515,79.3282,77.9128,77.1646,75.5421,53.4486,52.4609,51.4492,,,48.3806,46.6426,46.1339,,45.1767,44.3784,43.6385,42.7672,22.684,22.901,22.5504,21.7559,20.0711,,,,,
operating-cash-flow-per-share,6.3583,5.5776,1.9444,7.9226,5.66,3.1353,0.2067,7.4442,4.6237,2.2543,-0.9402,,7.8314,6.2431,2.0411,2.6776,,4.747,3.1186,1.8641,,2.8735,2.3892,0.3784,,0.1075,-0.1352,-1.0225,4.4333,3.539,
free-cash-flow-per-share,5.0643,4.6516,1.474,6.4107,4.5624,2.3317,-0.1916,5.5394,3.0639,1.2249,-1.4479,,6.6305,5.4707,1.6625,2.2562,,3.9618,2.6485,1.6724,,1.5043,1.5313,0.0068,,-1.8076,-1.4645,-1.7643,1.9341,1.766,
