,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
current-ratio,2.2194,1.9668,1.798,0.836,0.4898,0.3595,0.449,1.2767,0.7315,1.2352,1.1624,1.4228,0.2614,,,,,
long-term-debt-capital,0.5695,0.568,0.567,0.2452,0.2157,0.0965,0.0077,0.0063,0.3216,0.0137,0.0167,0.0187,-1.4541,,,,,
debt-equity-ratio,1.3476,1.34,1.3361,0.3316,0.2855,0.1203,0.0179,0.0138,0.4863,0.0262,0.0296,0.0311,-1.6116,,,,,
gross-margin,37.47,40.7829,31.6459,32.757,35.5765,33.31,27.9447,31.779,28.3096,28.7699,29.7459,36.0281,28.9195,28.0846,30.8776,,31.6121,
operating-margin,-10.4538,-6.2422,-20.2218,-16.3025,18.0271,-71.6593,-35.0014,20.2492,-2.3617,-4.8952,-8.6571,1.7153,7.0572,6.5974,8.0071,,8.5394,
ebit-margin,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-16.4333,-11.8917,-24.6395,-17.1593,17.6008,-71.9063,-35.1447,19.4162,-2.8933,-5.1568,-8.9288,-17.0173,-1.2658,-0.6557,1.2155,,-17.9813,
net-profit-margin,-10.9115,-8.5621,-18.0105,-18.4348,19.1407,-59.7267,-41.1751,25.1546,18.8354,-5.7173,-9.2683,-10.2097,-0.5874,-1.2758,1.0369,,-18.1818,
asset-turnover,0.1489,0.1502,0.1194,0.2115,0.232,0.2434,0.2396,0.2307,0.1942,0.401,0.3813,0.3855,0.3272,,,,,
inventory-turnover,12.1765,12.2607,11.2282,10.7226,9.7033,9.5661,11.8547,10.5785,8.4376,6.5484,6.5061,6.1625,6.586,,,,,
receiveable-turnover,2.397,2.3143,1.8203,2.0504,2.1541,2.2315,2.1209,2.5364,1.9284,3.318,3.1421,4.0302,3.0041,,,,,
days-sales-in-receivables,37.5463,38.8893,49.4418,43.8929,41.7799,40.3313,42.4358,35.4829,46.6704,27.1251,28.6435,22.3315,29.9591,,,,,
roe,-4.3861,-3.5495,-5.9958,-7.6002,10.6725,-36.201,-17.1064,8.7999,8.1147,-3.017,-4.7038,-9.45,0.4915,,,,,
return-on-tangible-equity,4.9888,3.8605,6.2184,22.7645,-16.8003,47.4809,62.3523,-80.9895,-12.2082,-15.7334,-28.5165,-58.1169,0.1848,,,,,
roa,-1.6249,-1.286,-2.1507,-3.8991,4.4411,-14.5347,-9.865,5.8041,3.6579,-2.2924,-3.5338,-7.2891,-0.1922,,,,,
roi,-1.8881,-1.5333,-2.5961,-5.7368,8.3705,-32.709,-16.9749,8.7445,5.5049,-2.9757,-4.6254,-9.2728,1.2062,,,,,
book-value-per-share,8.3258,8.33,8.3317,6.7618,4.7943,3.9642,5.2926,6.4201,4.2605,3.2269,3.2243,3.3742,-5.175,,,,,
operating-cash-flow-per-share,-0.3292,-0.7746,-1.3071,0.8289,0.4147,0.1984,0.0111,0.9752,0.6275,0.4129,0.1217,0.5844,0.2397,1.4223,0.3649,,0.6354,
free-cash-flow-per-share,-1.0777,-1.269,-1.4861,0.2767,0.0985,-0.0505,-0.105,0.6227,0.3679,0.2031,0.0192,0.0955,-0.1617,0.7071,0.1509,,0.4518,
