,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31
current-ratio,2.3266,2.2007,1.7419,2.1812,1.9364,1.7014,1.561,1.5952,1.6408,1.6141,1.6673,1.727,2.0094,2.2398,1.9791,3.0937,2.9654,3.0877,3.7463,1.4849,1.3064,0.9672,2.3417,2.5575,1.8877,1.9893,2.5503,3.1655,4.3894,2.7189,4.286,1.0444,2.5131,0.2143,,,,,,
long-term-debt-capital,0.4641,0.4733,0.4745,0.6145,0.6734,0.6867,0.6843,0.6538,0.6539,0.6468,0.6094,0.5875,0.4563,0.4599,0.4679,0.4631,0.4747,0.4746,0.4518,0.3549,0.3796,,-0.9683,1.7958,0.298,0.3123,0.2903,0.2581,0.2346,0.4489,0.381,0.2564,0.1215,0.1763,,,,,,
debt-equity-ratio,0.8662,0.8987,1.0692,1.5937,2.0623,2.1916,2.2123,1.8992,1.8979,1.8394,1.567,1.4302,0.8423,0.8546,0.8825,0.8657,0.9068,0.9066,0.8574,0.6396,0.8524,1.4229,-0.4919,-2.2567,0.6522,0.6805,0.5984,0.4605,0.3685,0.8833,0.6155,0.4234,0.1572,0.4154,,,,,,
gross-margin,73.1869,72.1928,68.5624,63.5445,72.0031,69.8394,50.7381,48.0156,53.7939,55.0443,37.0114,52.1569,59.1949,68.4798,62.2683,72.3671,72.9633,64.2254,74.4982,68.5288,81.8385,62.4444,85.3272,82.5299,86.6996,78.4925,56.6433,47.2562,41.5734,25.6704,18.0737,41.1514,-357.5092,-57.603,-2.5655,,-6.9666,-28.6663,,
operating-margin,14.493,7.8317,-0.6402,13.2054,19.114,3.4867,-52.393,-24.2971,-9.4796,-64.1321,-47.7151,-41.5135,-10.2165,12.226,-13.2903,15.5596,20.1868,-19.195,4.2107,8.6507,-15.9213,-10.7475,3.0563,-19.1556,-11.3802,-141.9818,-213.321,-369.6256,-286.9805,-477.61,-784.3043,-2531.14,-5734.433,-655.2809,-389.8494,,-1684.18,-721.726,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-3.6755,-3.1171,-12.4061,4.6633,9.8721,-6.6472,-65.9775,-35.7809,-20.9059,-72.9872,-62.539,-51.0959,-16.1077,4.751,-22.8878,-4.6872,11.1484,-74.5662,-15.5912,-33.1892,-1.3031,-40.7027,-399.3279,-342.6031,-21.678,-168.8258,-265.1789,-413.9788,-329.1673,-597.2664,-946.8886,-2576.971,-6376.557,-885.6179,-437.981,,-1810.015,416.2342,,
net-profit-margin,5.4354,-1.5968,-11.7213,18.5179,10.2613,-8.1731,-66.3996,-13.6781,-23.5494,-72.3768,-41.0081,-41.6533,-2.8126,5.8218,-22.1828,9.812,1.4465,18.4086,-17.282,-30.4764,2.7461,-42.0348,-397.1999,-342.0911,-22.777,-165.6725,-255.0443,-408.3404,-259.9755,-593.1268,-940.3884,-2176.007,-6311.722,-871.6854,-427.8304,,-1812.337,415.4496,,
asset-turnover,0.0901,0.0865,0.0712,0.0902,0.0809,0.0759,0.0559,0.0653,0.0652,0.0694,0.0505,0.0723,0.0623,0.0797,0.0639,0.08,0.0755,0.0587,0.0741,0.0932,0.0668,0.2012,0.1736,0.1191,0.1524,0.0702,0.0512,0.0307,0.0307,0.0258,0.0149,0.0349,0.0014,0.0077,,,,,,
inventory-turnover,1.5375,1.7476,1.7082,2.5539,1.7142,1.8229,2.3285,2.3121,1.4506,1.2729,1.0093,0.8495,0.5252,0.4714,0.4286,3.6772,3.4548,3.0458,2.1237,1.9377,0.5721,2.6959,0.8078,0.604,0.4651,0.4137,0.8631,0.5992,1.0393,0.9043,0.8385,1.7364,1.1053,3.9623,,,,,,
