,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
current-ratio,4.4066,5.6548,3.9187,2.2171,3.978,5.4022,6.7029,6.1527,5.9097,5.5153,8.7023,13.7005,26.1602,27.3855,32.8807,38.1145,32.0511,32.1117,40.3266,19.4316,9.6926,11.2388,18.2807,14.423,21.8262,2.9181,,,,,
long-term-debt-capital,0.0118,0.0058,0.0045,,,,,,,0.0009,0.003,0.0045,0.0057,0.0069,0.0082,0.0093,0.0103,0.0112,0.0121,0.0307,0.0852,0.0771,,,,,,,,,
debt-equity-ratio,0.0159,0.0074,0.0056,,,0.0009,0.0028,0.0043,0.0053,0.0124,0.0121,0.0119,0.0123,0.0132,0.0141,0.0149,0.0157,0.016,0.0155,0.0365,0.0981,0.0836,,,,,,,,,
gross-margin,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-margin,-6704.179,-5631.161,59.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-6970.132,-5521.487,60.0878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-6970.132,-5521.487,60.0877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-99.803,-41.9233,49.928,-75.8855,-37.8846,-25.9952,-21.542,-15.4852,-16.2602,-28.1214,-21.0688,-12.6666,-6.8463,-5.2377,-5.2509,-4.568,-4.3176,-4.0579,-3.6466,-7.081,-19.5249,-15.6818,-11.7461,-13.0785,-6.2932,13.2236,,,,,
return-on-tangible-equity,-99.8846,-41.9414,49.944,-75.9392,-37.9007,-26.0035,-21.5476,-15.4888,-16.2635,-28.1316,-21.0749,-12.6697,-6.8478,-5.2388,-5.252,-4.5689,-4.3184,-4.0586,-3.6473,-7.084,-19.5467,-15.6967,-11.7559,-13.0884,-6.2974,-53.9272,,,,,
roa,-26.7862,-17.5578,36.9495,-41.8533,-28.6795,-21.6852,-18.8912,-13.638,-14.4427,-23.3948,-18.8904,-11.8085,-6.5969,-5.0583,-5.099,-4.4395,-4.178,-3.923,-3.5256,-6.6005,-16.2002,-13.333,-11.2129,-12.3764,-6.0502,-35.4303,,,,,
roi,-98.6226,-41.6787,49.7031,-75.8854,-37.8846,-25.9952,-21.542,-15.4852,-16.2602,-28.0959,-21.0049,-12.6102,-6.8075,-5.2014,-5.2081,-4.5257,-4.2732,-4.0122,-3.6025,-6.8636,-17.8619,-14.4726,-11.7461,-13.0785,-6.2932,-53.694,,,,,
book-value-per-share,2.5209,4.7836,6.504,2.9494,4.9151,6.5636,8.0046,9.3021,10.6192,6.821,8.5184,10.1353,11.2698,11.8856,12.323,12.7563,13.1682,13.5843,14.0069,6.5651,3.2519,3.8173,4.3589,4.8296,5.4276,34.6497,,,,,
operating-cash-flow-per-share,-0.7488,1.3972,3.2229,-5.5557,-4.4749,-3.0768,-1.6245,-5.4862,-3.9663,-2.68,-1.5209,-2.1172,-1.3931,-0.7591,-0.4351,-1.7328,-1.3207,-0.7958,-0.4499,-1.9556,-1.543,-0.9859,-0.5924,-2.297,-0.6938,-16.6361,-7.5925,,-25.9654,-17.3436,
free-cash-flow-per-share,-0.7776,1.3815,3.2162,-5.5614,-4.4766,-3.0768,-1.6245,-5.487,-3.9671,-2.6808,-1.5215,-2.1214,-1.3933,-0.7593,-0.4351,-1.7465,-1.3246,-0.7964,-0.4502,-2.0082,-1.5975,-1.0266,-0.6101,-2.2754,-0.6824,-16.5272,-7.5896,,-25.9765,-17.3629,
