,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
current-ratio,8.7824,11.999,13.0599,15.1057,2.7803,,,,,
long-term-debt-capital,0.3622,0.3346,0.3205,0.3017,-0.3869,,,,,
debt-equity-ratio,0.5678,0.5028,0.4716,0.432,-0.279,,,,,
gross-margin,89.9271,90.2678,89.8206,91.1547,90.8751,91.3489,91.7558,,88.6331,
operating-margin,-65.3875,-49.8744,-58.6952,-27.5666,-22.7487,-12.4204,-22.9468,,-43.1311,
ebit-margin,,,,,,,,,,
pre-tax-profit-margin,-69.8678,-53.0367,-62.3374,-34.0054,-35.812,-23.033,-33.0475,,-48.6433,
net-profit-margin,-69.8678,-53.0367,-62.3374,-34.0054,-35.812,-23.033,-33.0475,,-48.6433,
asset-turnover,0.1334,0.1284,0.1135,0.1128,0.4712,,,,,
inventory-turnover,0.3291,0.358,0.434,0.4134,0.4032,,,,,
receiveable-turnover,1.6316,1.7351,1.7823,1.8412,1.8868,,,,,
days-sales-in-receivables,55.1613,51.8698,50.4963,48.8825,47.7005,,,,,
roe,-16.3948,-11.131,-11.2924,-5.8908,3.4369,,,,,
return-on-tangible-equity,-16.3948,-11.131,-11.2924,-5.8908,3.4369,,,,,
roa,-9.3195,-6.8076,-7.0767,-3.8355,-16.8762,,,,,
roi,-10.457,-7.4067,-7.6735,-4.1137,4.7667,,,,,
book-value-per-share,2.7622,3.1399,3.378,3.6887,-35.6323,,,,,
operating-cash-flow-per-share,-0.9109,-0.6296,-0.2902,-1.8263,-2.209,-1.5723,-1.2273,,-3.882,
free-cash-flow-per-share,-0.977,-0.6659,-0.3071,-1.9448,-2.4183,-1.7705,-1.288,,-3.9885,
