,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
current-ratio,6.2506,7.5026,10.3033,10.4073,6.3425,9.7835,20.397,7.747,10.992,3.5534,,,,,
long-term-debt-capital,0.6223,0.5365,0.461,0.4008,0.2305,0.21,0.1974,0.1179,0.1212,0.4056,,,,,
debt-equity-ratio,1.6772,1.1843,0.8751,0.6734,0.3621,0.2933,0.2497,0.2124,0.1997,0.885,,,,,
gross-margin,53.9628,82.8877,82.6118,,,,,,,,,,,,
operating-margin,-1486.354,-1089.451,-1735.209,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1597.243,-1158.24,-1831.746,,,,,,,,,,,,
net-profit-margin,-1597.243,-1158.24,-1831.746,,,,,,,,,,,,
asset-turnover,0.009,0.0115,0.007,,,,,,,,,,,,
inventory-turnover,0.1202,0.0428,0.0445,,,,,,,,,,,,
receiveable-turnover,0.2023,0.3642,0.2965,,,,,,,,,,,,
days-sales-in-receivables,444.7898,247.1172,303.5065,,,,,,,,,,,,
roe,-53.8275,-39.0152,-30.823,-24.0222,-28.4032,-21.4706,-14.0736,-12.5905,-10.292,10.2272,,,,,
return-on-tangible-equity,-53.8276,-39.0152,-30.823,-24.0222,-28.4032,-21.4706,-14.0736,-12.5905,-10.292,-100.1276,,,,,
roa,-14.3939,-13.3238,-12.8863,-11.4126,-18.5584,-15.2945,-10.7602,-9.688,-8.2261,-38.4247,,,,,
roi,-20.3314,-18.0824,-16.6126,-14.3935,-21.856,-16.9619,-11.2951,-11.106,-9.0451,-59.5125,,,,,
book-value-per-share,1.2464,1.8023,2.4309,3.1001,2.2289,2.7689,3.2689,3.6547,4.0606,9.2904,,,,,
operating-cash-flow-per-share,-2.1806,-1.5228,-0.9201,-2.0229,-1.5501,-0.8922,-0.5181,-2.9976,-1.5268,-15.4141,-7.9229,,-16.9526,-10.0559,
free-cash-flow-per-share,-2.2142,-1.5506,-0.9332,-2.0819,-1.5772,-0.9142,-0.5332,-3.0398,-1.5377,-15.5064,-7.9839,,-17.033,-10.0948,
