,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.5,1.5073,1.4591,1.9028,1.9382,1.8633,1.7545,1.4566,,,,,3.9359,4.0093,2.2798,3.2189,3.6719,3.9648,3.346,3.9748,4.1215,4.176,3.6433,3.536,3.54,3.5979,2.8093,3.7033,3.9796,4.2388,3.3251,3.9219,4.354,4.6525,3.7142,4.1207,4.0844,4.4587,3.3922,3.8716,4.0832,4.2591,3.715,3.6584,3.332,4.0421,3.0558,3.2345,2.9858,4.0556
long-term-debt-capital,1.0252,1.0395,1.0563,1.0457,1.0536,1.0753,1.1186,1.0671,,,,,0.46,0.4782,0.4888,0.4509,0.4793,0.4958,0.5032,0.5104,0.5198,0.5311,0.5384,0.5499,0.5605,0.5775,0.5792,0.5344,0.5418,0.5524,0.5597,0.5712,0.591,0.6028,0.6106,0.6155,0.6136,0.6256,0.6298,0.6383,0.6436,0.6498,0.653,0.6595,0.6642,0.6286,0.6221,0.636,0.6428,0.6604
debt-equity-ratio,-43.5306,-28.1241,-20.1493,-23.2929,-19.9966,-14.5762,-9.6229,-16.0516,,,,,0.8908,0.9516,0.9923,0.8456,0.9464,1.0055,1.0349,1.0588,1.0956,1.1506,1.1854,1.2412,1.2924,1.3868,1.3958,1.1656,1.2091,1.2606,1.2994,1.36,1.4742,1.5331,1.5825,1.6143,1.6067,1.6939,1.725,1.7906,1.8305,1.8808,1.9069,1.9625,2.0486,1.7123,1.6657,1.7666,1.8204,1.9663
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,70.3387,71.4161,209.1623,70.7065,70.3336,70.4648,200.7412,69.8564,71.0436,69.4178,69.1489,70.517,70.8142,70.5092,69.5854,69.3479,69.509,69.913,70.9851,69.3769,69.5912,69.8196,52.2994,70.1184,69.4923,70.3646,55.2105,50.745,50.772,49.5662,49.1447,49.7001,50.7075,50.0054,53.2307,49.0208,52.0641,49.2887
operating-margin,6.2234,8.2188,-0.8371,7.9939,6.056,7.6148,0.2662,-12.3936,3.6982,6.2509,-4.0829,,9.5714,6.8038,6.884,14.7226,13.6835,9.9045,7.6959,14.5846,14.1908,9.9669,13.7093,13.2797,14.0072,9.6254,10.9467,8.8586,11.2474,7.9701,-5.4597,32.4661,12.4822,8.9455,11.8051,11.3225,11.804,9.0063,11.236,11.4357,11.1177,8.6173,11.9571,11.2973,10.4668,7.7717,11.6901,11.4405,10.6773,8.3519
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,2.9595,5.1402,-4.5216,4.7565,2.5895,4.8081,-12.3139,-17.5295,-2.2255,0.8311,-10.1566,,7.3234,4.2155,2.5124,12.5027,8.3238,6.5136,2.2928,11.3888,11.1387,6.401,10.3997,9.966,10.6884,5.445,0.6817,5.1652,7.6003,3.7406,9.5912,8.3569,8.6439,4.4482,6.9659,6.8439,7.3638,3.7683,5.8469,5.696,5.4276,2.1244,5.8642,4.4421,-6.758,1.0075,5.3273,5.016,4.3961,1.703
net-profit-margin,2.0351,3.5699,-2.9401,1.5668,1.6616,4.8426,-9.666,-29.5423,-1.613,0.6215,-7.589,,4.5745,2.5454,-2.2725,7.9907,5.2573,4.1378,2.2061,7.1511,6.9059,3.9598,7.1129,6.551,6.5733,3.3686,0.0918,3.349,4.7433,2.2443,5.8019,5.0141,5.1859,2.6693,4.2232,4.1065,1.5183,1.9974,3.8445,3.0756,2.9158,0.951,2.8944,0.9885,-6.0849,-0.524,4.5257,1.9345,1.5776,-0.0632
asset-turnover,0.3489,0.36,0.3144,0.4052,0.3892,0.4018,0.3632,0.4462,,,,,0.2022,0.172,0.1708,0.2172,0.216,0.1866,0.1706,0.2043,0.2179,0.1936,0.2106,0.2161,0.2208,0.1906,0.2134,0.2288,0.2332,0.2078,0.2344,0.2299,0.2329,0.2092,0.228,0.2257,0.2383,0.2119,0.2248,0.2201,0.221,0.2013,0.214,0.2121,0.2126,0.1994,0.2118,0.2079,0.2121,0.1896
inventory-turnover,,,,,,,,,,,,,0.5147,0.4374,,0.55,0.5775,0.5113,,0.5759,0.5841,0.5536,0.652,0.6272,0.6673,0.5924,0.7009,0.6427,0.6603,0.576,0.6519,0.6638,0.6774,0.5846,1.0296,0.6241,0.6616,0.5583,0.9303,1.0385,1.0515,0.9606,1.0326,0.9715,0.9608,0.8959,0.9094,1.0486,0.9981,0.9807
receiveable-turnover,1.9235,1.8741,1.7178,1.9731,1.9598,1.9707,1.8305,1.7923,,,,,1.3435,1.2836,1.3414,1.5343,1.5697,1.4626,1.2745,1.6832,1.7661,1.636,1.7096,1.8491,1.9284,1.8198,1.9095,1.9764,1.9356,1.7965,1.9445,2.0076,1.9817,1.7605,1.8581,1.8657,1.8533,1.6952,1.7231,1.6474,1.6675,1.5416,1.5484,1.5532,1.5666,1.4698,1.4457,1.4192,1.4309,1.2941
days-sales-in-receivables,46.7891,48.0237,52.3911,45.6125,45.9228,45.6692,49.168,50.2151,,,,,66.9892,70.1145,67.0937,58.6589,57.3346,61.5355,70.6172,53.471,50.9608,55.0125,52.6425,48.6727,46.6698,49.4571,47.1333,45.5378,46.4978,50.0962,46.2846,44.8301,45.416,51.1206,48.4378,48.2386,48.5626,53.0903,52.231,54.6304,53.9739,58.3827,58.124,57.9466,57.4486,61.2317,62.2545,63.4168,62.8961,69.5477
roe,-40.0605,-45.9689,22.712,-20.3567,-17.0638,-36.6232,42.2175,300.9268,,,,,2.0822,1.0156,0.1325,3.8878,2.6412,1.8405,0.9726,3.6079,3.7761,1.9635,3.939,3.7678,3.9404,1.8069,0.0571,1.9911,2.8847,1.2342,3.7671,3.2005,3.4693,1.6367,2.9363,2.8027,4.0015,1.8328,3.6644,2.9749,2.8952,1.0489,2.905,2.1283,-3.6476,0.5024,5.0102,2.7341,2.4624,0.8766
return-on-tangible-equity,-2.2012,-3.7964,2.5401,-1.8899,-1.8312,-5.1756,8.3805,34.2677,,,,,-7.3311,-3.4601,-0.263,-12.0493,-6.8878,-4.2855,-2.0736,-8.5758,-8.2772,-3.8336,-7.1596,-6.2094,-5.9131,-2.4268,-0.0736,-4.4794,-6.0768,-2.3858,-6.7596,-5.3548,-5.2232,-2.1994,-3.7562,-3.4908,-3.7242,-1.5826,-3.0898,-2.3188,-2.257,-0.7702,-2.0818,-1.4454,2.3556,-0.3751,-3.7199,-1.8713,-1.6196,-0.5563
roa,0.7101,1.2852,-0.9243,0.6348,0.6467,1.9459,-3.5106,-13.1808,,,,,0.9248,0.4378,0.0536,1.7355,1.1357,0.7722,0.3954,1.4609,1.505,0.7667,1.4983,1.4157,1.4517,0.6421,0.0196,0.7663,1.1061,0.4664,1.3599,1.1527,1.2078,0.5584,0.9629,0.9267,1.0526,0.4791,0.9191,0.7334,0.7017,0.2497,0.6774,0.484,-0.7962,0.1177,1.1752,0.6139,0.5409,0.1903
roi,1.0106,1.815,-1.2784,0.9295,0.9152,2.7573,-5.0078,-20.2004,,,,,1.1244,0.53,0.0677,2.135,1.3753,0.928,0.4832,1.7663,1.8134,0.9207,1.8181,1.696,1.7319,0.7633,0.024,0.9271,1.3218,0.5524,1.6585,1.3724,1.419,0.6501,1.1433,1.0776,1.2229,0.5511,1.0852,0.8527,0.812,0.2869,0.7849,0.5603,-0.9314,0.1347,1.3772,0.7202,0.6373,0.2161
book-value-per-share,-0.3802,-0.5847,-0.8211,-0.5915,-0.6945,-0.9579,-1.458,-0.7712,,,,,16.6614,16.2462,14.0307,15.522,14.8523,14.4047,14.1809,13.5769,13.0198,12.4083,12.2501,11.7586,11.263,10.9001,10.6523,10.3801,10.1057,9.7055,9.5745,9.1411,8.7798,8.42,8.208,8.1914,10.2813,9.8882,9.7488,10.1357,9.5413,9.6675,9.6229,9.3983,9.2527,10.2604,10.2206,9.844,9.6588,9.4883
operating-cash-flow-per-share,0.525,-0.0934,-0.8864,2.1359,0.9894,0.452,-0.2321,0.83,-0.0277,-0.1733,-0.3232,,-0.2103,-0.2813,2.1879,1.9357,0.7829,0.0625,2.0369,1.6858,0.7777,0.0373,1.8061,1.0234,0.3096,-0.3607,1.648,1.1375,0.1907,-0.3667,2.2397,1.4326,0.6483,-0.1163,1.6601,1.0895,0.5192,-0.2432,1.6825,0.9965,0.6691,0.0922,1.0935,0.2764,-0.3223,-0.5848,1.1578,0.6005,0.1742,-0.9187
free-cash-flow-per-share,0.0491,-0.5384,-1.085,1.7348,0.6472,0.0921,-0.3851,0.5144,-0.324,-0.2978,-0.3453,,-0.7893,-0.5168,1.593,1.2895,0.2972,-0.0888,1.345,0.975,0.3177,-0.1162,0.987,0.3928,-0.132,-0.5199,0.7291,0.539,-0.2278,-0.607,1.5961,1.0485,0.4674,-0.1953,1.0594,0.7147,0.1962,-0.3438,1.0392,0.5668,0.3717,-0.0775,0.524,0.0087,-0.5556,-0.7021,0.7775,0.3237,-0.0048,-0.9906
