,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
current-ratio,2.4594,2.5311,2.426,2.8344,2.7783,3.0193,2.6159,1.7779,1.9038,2.112,2.7361,2.9258,2.0387,3.3579,4.1318,4.0341,4.9697,6.7113,7.4134,5.0155,6.4544,8.6614,9.7719,10.2054,1.6902,2.6723,,,,,
long-term-debt-capital,0.0837,0.1025,0.0812,,,0.7478,0.8657,1.615,1.5869,1.3241,1.026,1.0812,0.8958,0.5806,0.4898,0.3157,0.2928,0.2515,0.2237,0.3504,0.3036,0.2602,0.2324,0.2028,1.1059,0.7619,,,,,
debt-equity-ratio,0.127,0.151,0.1189,,,2.9648,6.4488,-2.6259,-2.7039,-4.0854,-39.4877,-13.3221,8.5975,1.3843,0.96,0.4613,0.4141,0.3359,0.2881,0.5395,0.4359,0.3518,0.3027,0.2544,-10.4435,3.2008,,,,,
gross-margin,53.5439,53.5135,50.5387,54.5086,47.1122,44.2097,41.8081,43.3489,43.9655,37.5205,35.5852,34.8125,-12.8284,35.571,34.5398,46.2157,35.0789,30.5679,22.8144,36.5385,32.5366,33.6324,10.7378,11.5948,32.5722,7.3426,37.381,,,,
operating-margin,-6.3429,-1.9999,-16.6634,0.7349,-33.9551,-41.0157,-56.7694,-23.7827,-48.7612,-88.9389,-111.8512,-46.1607,-231.1397,-74.1919,-95.9118,-38.5303,-119.0061,-118.8781,-165.8271,-97.8421,-140.6393,-178.6251,-258.3757,-160.6991,-155.9579,-247.4281,-131.2864,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-2.9887,-1.6214,-34.839,4.9043,-74.0208,-173.9407,-119.8556,-28.2871,-59.3823,-102.2178,-125.3728,-51.3247,-242.5283,-79.7259,-102.1238,-41.4904,-124.6182,-124.3665,-172.3107,-102.8343,-147.2473,-187.1965,-272.3125,-230.493,-167.9666,-276.8015,-204.5189,,,,
net-profit-margin,-3.0647,-1.6214,-34.839,4.8373,-74.0208,-173.9407,-119.8556,-28.3069,-59.3823,-102.2178,-125.3728,-51.2728,-242.5282,-79.7259,-102.1238,-41.5247,-124.6182,-124.3665,-172.3107,-103.2312,-147.2473,-187.1965,-272.3125,-230.4959,-167.9627,-276.8015,-204.5189,,,,
asset-turnover,0.3235,0.3656,0.3074,0.3694,0.2547,0.216,0.1885,0.4226,0.3069,0.2164,0.1684,0.2572,0.1361,0.2105,0.1663,0.2335,0.1223,0.1111,0.0793,0.168,0.1159,0.0789,0.0566,0.0632,0.1601,0.0933,,,,,
inventory-turnover,1.0796,1.5856,1.43,1.7423,1.0042,0.7643,0.5993,0.8457,0.5046,0.516,0.5147,0.8892,0.6058,0.6827,0.6501,0.8928,0.5813,0.7434,0.6995,0.9529,0.7667,0.612,0.7082,0.8768,0.4855,0.5232,,,,,
receiveable-turnover,2.0884,1.9252,1.9982,2.1652,2.1331,2.4526,2.0913,1.9379,2.5518,2.3621,2.4687,2.5879,1.4995,2.4385,2.2059,2.0719,2.2432,2.1017,2.3551,2.3377,2.3129,2.3509,2.3561,1.9333,1.8662,2.0226,,,,,
days-sales-in-receivables,43.0951,46.7473,45.0402,41.5671,42.1929,36.6952,43.0352,46.4429,35.2694,38.1024,36.4562,34.7773,60.0195,36.9084,40.8002,43.4392,40.1209,42.8225,38.2142,38.4996,38.912,38.2839,38.1987,46.5519,48.2273,44.4969,,,,,
roe,-1.7372,-1.0403,-19.0076,2.8078,-29.6676,-228.2603,-275.937,39.1313,57.3539,119.2624,1273.654,250.1098,-573.6758,-57.1353,-44.5847,-19.0521,-27.4939,-22.2593,-20.7417,-33.8379,-29.4873,-22.9774,-22.5806,-20.4379,9.1059,11.6369,,,,,
return-on-tangible-equity,-1.7464,-1.0472,-19.1737,2.8322,-29.9824,-240.2128,-312.1644,37.2684,54.3615,109.5532,666.0688,192.2448,-894.7783,-60.8279,-46.6447,-19.7073,-28.3668,-22.8515,-21.2307,-35.4223,-30.6025,-23.6974,-23.2052,-20.9264,233.7644,-243.0441,,,,,
roa,-0.9913,-0.5928,-10.709,1.7868,-18.8568,-37.5704,-22.5938,-11.9628,-18.2264,-22.1223,-21.1083,-13.1896,-33.0042,-16.7827,-16.9792,-9.6949,-15.2391,-13.8205,-13.6716,-17.3448,-17.0712,-14.765,-15.424,-14.5568,-26.8903,-25.8345,,,,,
roi,-1.5918,-0.9336,-17.4649,2.8079,-29.6676,-57.5714,-37.0446,-24.0669,-33.6601,-38.6539,-33.0927,-20.2977,-59.7739,-23.9633,-22.7474,-13.0382,-19.4425,-16.662,-16.1024,-21.9802,-20.5359,-16.9976,-17.3331,-16.2925,-49.2173,-39.8015,,,,,
book-value-per-share,2.829,2.4808,2.0862,2.2809,2.0122,0.4889,0.2541,-2.8805,-5.0953,-3.6391,-0.3748,-1.9058,1.696,10.4769,15.1391,20.9777,23.6886,29.2438,34.3345,23.07,28.7261,35.6203,42.3277,50.3956,-122.3712,239.7938,,,,,
