,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30
current-ratio,5.1594,5.6342,4.9223,4.7584,5.9301,7.0426,6.6452,6.0892,6.2462,7.2458,5.8062,5.6313,5.6561,6.1584,5.8778,5.6119,6.1108,5.4453,5.6983,4.839,3.9293,5.8813,4.6314,4.0827,4.2031,5.2086,4.9185,4.6618,5.1484,5.8633,6.3026,6.0693,4.3497,4.9768,4.9982,4.1304,5.6523,6.1465,6.3925,6.04,5.5972,5.793,6.4523,5.3535,5.546,4.4245,4.5565,4.1579,6.0979,8.7659,8.7204,,
long-term-debt-capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.0028,0.0031,0.0039,0.0039,0.0015,0.0018,0.0017,0.0009,0.0009,0.0009,0.0009,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.0028,0.0031,0.0039,0.0039,0.0015,0.0018,0.0017,0.0009,0.0009,0.0009,0.0063,,,0.0001,,
gross-margin,69.299,68.9041,68.3451,67.6953,71.4049,70.2887,71.0703,69.7893,70.8122,68.0115,71.8878,69.538,73.3072,68.6364,70.8658,70.3169,71.0434,65.9899,69.23,68.6687,68.5847,68.146,66.993,66.7336,70.0392,70.447,72.8514,70.5223,73.3969,73.428,70.8645,71.0089,69.919,68.621,69.5369,71.6998,76.1424,75.2649,74.6869,74.8896,73.0032,72.2249,72.841,69.5648,67.3958,69.7543,71.6553,73.3069,74.7338,73.7761,74.5725,,100.0
operating-margin,20.2921,20.0624,15.5729,25.3373,19.0896,42.7128,18.7043,24.1731,20.3569,21.4927,17.3702,16.7855,23.0186,16.8967,16.2899,15.0808,17.456,14.0423,12.1866,14.662,10.5822,10.9025,-1.3788,6.5417,5.0719,9.0715,7.3007,6.2834,7.336,10.1316,6.1315,6.2039,13.6707,5.9357,-0.2055,-8.9737,14.8799,14.1828,9.1929,9.0474,9.6883,7.8622,-13.7998,2.9313,1.414,-6.8216,-21.8283,-8.7896,-15.1913,-4.2172,-9.6833,,100.0
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,20.2406,20.6492,15.8468,25.5416,19.5738,42.735,18.9121,24.1999,20.4375,21.2208,17.5608,16.4634,22.8592,17.1334,16.1171,15.3054,16.4993,14.1931,12.2764,14.4211,10.8508,11.0126,-1.6295,6.1286,5.1307,8.6201,6.9562,5.7766,7.7318,9.8879,4.7602,5.8459,13.3617,5.982,0.8083,-9.0222,15.1216,13.865,9.4028,9.6584,10.9621,8.8203,-14.7515,2.1716,-0.4907,-5.8953,-19.1947,-9.6362,-9.4736,-0.6786,-6.071,,100.0
net-profit-margin,17.8144,15.6836,12.3354,21.223,17.8523,32.3871,14.8227,16.3805,20.3126,17.9863,13.3353,11.1517,13.9085,11.6039,10.6921,12.3517,10.9961,8.8807,7.2254,10.2564,5.3368,7.004,-1.2355,4.1639,4.7124,5.5733,5.4999,4.7159,4.8589,5.7378,2.7714,2.58,8.3356,3.4344,0.4384,13.6096,11.1087,10.6724,7.3905,9.3419,9.6284,7.3238,-16.5756,2.5762,-1.1312,-7.269,-21.6426,-10.6088,-13.3478,2.2007,-6.3645,,-12.4315
asset-turnover,0.1712,0.1813,0.1777,0.1854,0.1674,0.1971,0.2009,0.207,0.2047,0.2298,0.2266,0.2285,0.2292,0.2344,0.2169,0.2258,0.2197,0.239,0.2381,0.2292,0.2096,0.2255,0.2438,0.2542,0.2297,0.2505,0.2432,0.2347,0.223,0.2394,0.2345,0.2247,0.2311,0.245,0.2391,0.2281,0.2223,0.2439,0.2426,0.2387,0.237,0.2352,0.223,0.2226,0.2244,0.2274,0.2086,0.1825,0.1777,0.1835,0.1766,,
inventory-turnover,0.2435,0.2843,0.3065,0.3349,0.2894,0.3705,0.3444,0.3754,0.3434,0.4026,0.3295,0.3623,0.3555,0.414,0.3298,0.3999,0.346,0.4288,0.3543,0.3502,0.3248,0.3858,0.3898,0.4496,0.3504,0.4045,0.3707,0.4018,0.3583,0.4181,0.4891,0.4858,0.6043,0.6071,0.4877,0.4876,0.4715,0.5704,0.5593,0.5249,0.5547,0.5011,0.4301,0.5297,0.4838,0.3993,0.3273,0.3087,0.3149,0.3683,0.3535,,
receiveable-turnover,1.9559,1.8963,1.8421,1.8058,1.8567,1.7741,1.7915,1.7435,1.8315,1.7651,1.7132,1.7654,1.9067,1.744,1.5563,1.7111,1.6778,1.6253,1.5953,1.7292,1.6526,1.5969,1.5965,1.6918,1.65,1.6421,1.6439,1.6358,1.6102,1.6317,1.6028,1.5702,1.6451,1.6669,1.5578,1.7028,1.6723,1.801,1.7153,1.7465,1.7027,1.6261,1.584,1.6719,1.7712,1.7842,1.6546,1.5818,1.6309,1.6965,1.74,,
days-sales-in-receivables,46.0144,47.4619,48.8571,49.8394,48.473,50.7291,50.2385,51.6193,49.1407,50.9882,52.5333,50.9786,47.2019,51.6066,57.8305,52.5992,53.6405,55.3742,56.4168,52.0459,54.4598,56.3609,56.3722,53.1983,54.5471,54.8091,54.7478,55.0179,55.893,55.1556,56.1531,57.3179,54.7082,53.9929,57.7744,52.855,53.8181,49.971,52.4691,51.5327,52.8563,55.3468,56.8171,53.832,50.8126,50.4435,54.3935,56.8984,55.1853,53.049,51.7252,,
roe,3.6426,3.362,2.6396,4.6263,3.4416,7.2476,3.3956,3.9027,4.7515,4.7116,3.5135,2.968,3.7248,3.1358,2.6865,3.2484,2.8199,2.5086,2.0154,2.8091,1.3916,1.8766,-0.3681,1.3189,1.3016,1.6423,1.5861,1.3198,1.2773,1.5854,0.7417,0.6643,2.306,0.9829,0.1223,3.7512,2.9571,3.0726,2.1018,2.6321,2.7137,2.0267,-4.2755,0.682,-0.3007,-2.0267,-5.4927,-2.4246,-2.7354,0.4496,-1.2535,,
return-on-tangible-equity,5.5474,4.8651,3.9021,6.9513,5.2576,9.7467,4.7072,5.5141,6.8511,7.0628,5.5059,4.7935,5.1572,4.4419,3.8837,4.7062,4.1997,3.8752,3.099,4.3775,2.2215,2.6778,-0.584,2.1081,2.1061,2.5013,2.4434,2.0561,1.7645,2.198,1.034,0.9305,3.2386,1.3895,0.1733,5.3438,4.0409,4.2699,2.9636,3.7461,3.9142,2.985,-6.4295,0.9798,-0.4357,-2.95,-7.9553,-3.4895,-3.7497,0.5751,-1.5932,,
roa,3.0492,2.8427,2.1922,3.9356,2.989,6.3829,2.9774,3.3913,4.1577,4.1337,3.0219,2.548,3.1874,2.7196,2.3195,2.7893,2.4154,2.1229,1.7204,2.3512,1.1186,1.5794,-0.3012,1.0583,1.0826,1.3962,1.3376,1.1069,1.0835,1.3734,0.65,0.5797,1.9263,0.8413,0.1048,3.104,2.4692,2.603,1.7928,2.23,2.2816,1.7224,-3.6962,0.5735,-0.2539,-1.653,-4.5157,-1.9357,-2.3717,0.4038,-1.124,,
roi,3.6426,3.362,2.6396,4.6263,3.4416,7.2476,3.3956,3.9027,4.7515,4.7116,3.5135,2.968,3.7248,3.1358,2.6865,3.2484,2.8199,2.5086,2.0154,2.8091,1.3916,1.8766,-0.3681,1.3189,1.3016,1.6423,1.5861,1.3198,1.2773,1.5854,0.7417,0.6643,2.306,0.9829,0.1223,3.7512,2.9482,3.064,2.0953,2.6218,2.703,2.0237,-4.2678,0.6808,-0.3004,-2.0249,-5.488,-2.4225,-2.7354,0.4496,-1.2532,,
book-value-per-share,7.1229,6.9646,6.7657,6.6416,6.4011,6.2377,5.8793,5.6979,5.5089,5.2,4.8988,4.7073,4.6655,4.4888,4.3961,4.252,4.1057,3.9857,3.8791,3.9319,3.8639,3.9226,3.6044,3.6307,3.5925,3.5486,3.4985,3.4758,3.4366,3.4308,3.4189,3.3984,3.4085,3.4118,3.3855,3.3824,3.2807,3.1574,3.1064,3.0707,3.0153,2.9123,2.8085,2.9226,2.8997,,,3.1366,,,,,
operating-cash-flow-per-share,0.4213,0.2033,-0.0108,0.9636,0.6374,0.4258,0.1859,1.1415,0.799,0.3955,0.1256,0.8781,0.6599,0.3347,0.0667,0.6245,0.4062,0.1828,-0.0337,0.3241,0.1598,-0.004,-0.1084,0.3418,0.2555,0.1045,-0.0221,0.302,0.2752,0.1555,0.0245,0.1983,0.2167,0.0683,-0.1505,0.4376,0.3765,0.2156,0.0511,0.3418,0.2178,0.0194,-0.1472,0.0373,-0.1209,-0.2057,-0.2615,-0.1177,-0.088,-0.1168,-0.1213,,
free-cash-flow-per-share,0.3054,0.1217,-0.0505,0.8128,0.5505,0.3651,0.1647,0.8212,0.5618,0.2731,0.0398,0.7305,0.5648,0.2681,0.0285,0.5012,0.3228,0.1397,-0.0519,0.2551,0.1161,-0.0372,-0.1361,0.1684,0.101,-0.0266,-0.0653,0.2246,0.2247,0.1181,0.0073,0.0719,0.1291,0.0214,-0.1826,0.2843,0.3053,0.1776,0.0343,0.3055,0.1882,0.007,-0.1522,-0.0028,-0.1583,-0.2413,-0.2807,-0.1895,-0.1416,-0.1497,-0.1363,,
