,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
current-ratio,8.9216,8.2717,6.6648,5.8628,5.5148,3.7878,6.4131,3.178,2.171,1.9639,1.554,1.3328,1.0016,2.1013,2.769,2.2491,2.2956,8.2921,21.0947,9.3204,6.1536,11.2143,10.723,10.4418,1.2466,,,,,
long-term-debt-capital,0.0147,0.0156,0.0165,,,,,,,,,,,,,,,,,,,,,0.0,0.0015,,,,,
debt-equity-ratio,0.0185,0.0195,0.02,,,,,,,,,,,,,,,,,,0.0,0.0001,0.0001,0.0001,0.0031,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,
operating-margin,-65.6066,-100.4465,69.8988,-182.3071,2.2418,,,17.665,,-68.08,-467.4,41.0594,-118.3353,73.5619,-92.8434,34.1914,-294.3762,-886.1933,-434.4735,-23.8347,-741.3915,-613.2281,-172.4817,-212.7293,-58.2859,-25.6567,-294.4981,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-48.5938,-82.0323,72.3117,-157.359,10.8475,,,20.8292,,-59.56,-437.2857,43.9334,-110.9193,74.1043,-88.2239,35.6578,-286.5258,-874.5562,-432.1931,-23.8171,-740.3302,-612.1359,-171.7491,-212.3281,-58.0329,-1277.965,-342.8996,,,
net-profit-margin,-46.9853,-82.2889,71.5077,-157.359,10.8475,,,24.4312,,-61.8,-442.1429,44.5061,-103.2732,71.4545,-88.2239,35.6578,-286.5258,-874.5562,-432.1931,-23.8171,-740.3302,-612.1359,-171.7491,-212.3281,-132.3213,2473.986,-342.8996,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,4.5801,1.8501,0.806,1.0521,9.0071,,,26.4011,,0.8403,0.5045,3.2428,2.5319,0.439,11.1741,494.4091,3.283,0.9021,3.6277,1.9096,42.4,13.7333,4.274,29.5593,,,,,,
days-sales-in-receivables,19.6503,48.6467,111.6624,85.5405,9.9921,,,3.409,,107.1072,178.4057,27.7538,35.5466,205.0064,8.0543,0.182,27.4136,99.7633,24.8089,47.1292,2.1226,6.5534,21.0577,3.0447,,,,,,
roe,-1.6754,-2.6368,13.1315,-3.4881,0.5918,-4.9827,-5.4854,2.3276,-7.7965,-2.5633,-5.0947,3.9608,-3.9902,22.6106,-4.0286,4.7755,-6.5467,-5.4718,-3.8062,-2.2753,-10.5143,-7.6989,-5.3536,-5.0358,2.4457,,,,,
return-on-tangible-equity,-1.7148,-2.6967,13.4117,-3.5701,0.6051,-5.0959,-5.6033,2.4126,-8.1046,-2.6592,-5.2841,4.096,-4.21,23.7914,-4.3034,5.0879,-6.9848,-5.8198,-4.0327,-2.6886,-12.37,-8.9341,-6.1325,-5.7217,41.3195,,,,,
roa,-1.4898,-2.3416,11.4842,-3.1552,0.5379,-4.3738,-4.817,1.8877,-5.6878,-1.8562,-3.6995,2.9016,-2.5074,14.1094,-3.2986,3.749,-4.7461,-5.139,-3.6073,-1.989,-8.859,-6.6049,-4.5469,-4.241,-9.0815,,,,,
roi,-1.6508,-2.5956,12.9149,-3.4881,0.5918,-4.9827,-5.4854,2.3276,-7.7965,-2.5633,-5.0947,3.9608,-3.9902,22.6106,-4.0286,4.7755,-6.5467,-5.4718,-3.8062,-2.2753,-10.5143,-7.6989,-5.3536,-5.0358,-40.0743,,,,,
book-value-per-share,10.7597,10.7572,10.8177,9.2694,9.469,9.3008,9.6673,6.733,6.1876,6.4319,6.5058,6.7418,4.9204,5.0947,3.898,4.0056,3.7877,4.0056,4.195,1.8862,1.9018,2.0869,2.2341,2.3453,63.5,,,,,
operating-cash-flow-per-share,1.4821,1.6034,-0.3228,-1.4786,-1.0799,-0.9459,-0.5077,-0.7176,-0.5739,-0.5008,-0.2263,2.2468,2.6906,-0.5671,-0.352,0.6835,0.7538,-0.2231,-0.061,-0.6802,-0.4933,-0.3432,-0.1592,-0.3485,-18.125,0.2175,22.8611,,,
free-cash-flow-per-share,1.4037,1.5703,-0.33,-1.6121,-1.1558,-1.0072,-0.5568,-0.831,-0.6555,-0.5277,-0.2369,2.2112,2.6605,-0.5789,-0.3598,0.6342,0.7115,-0.2504,-0.0778,-0.7049,-0.5111,-0.3539,-0.1613,-0.3562,-19.7917,0.2157,22.4861,,,
