,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-01-31
current-ratio,22.9804,15.5948,13.5847,20.9103,19.9023,17.7081,12.9525,12.9793,18.5137,21.2657,12.7886,17.8285,19.4427,22.2981,11.8163,15.0826,23.3145,25.1296,14.1229,18.7568,4.7374,,,,,
long-term-debt-capital,0.0339,0.0641,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.039,0.0756,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,67.4648,66.3431,58.6523,64.9933,65.5368,63.4527,52.3628,59.39,62.9441,60.8813,51.7559,59.7145,64.6237,62.8928,51.3598,57.8479,60.9464,59.9866,50.3116,55.951,56.3353,56.6408,,54.9449,55.6868,
operating-margin,28.7037,31.7948,21.8813,26.9324,30.3418,29.3832,13.9553,23.8814,29.0002,28.7382,13.2033,20.8543,28.8311,30.1047,12.1468,20.631,24.5884,26.7404,8.1219,19.6414,24.2736,27.1267,,22.2718,24.1156,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,27.4015,58.905,21.5897,24.7266,30.2363,29.3817,11.1324,23.1858,28.9334,28.5758,12.8658,20.2639,28.7473,28.6484,11.9713,21.027,22.811,26.3886,7.7279,18.9781,24.0869,23.0389,,21.3667,23.8486,
net-profit-margin,22.3567,48.0426,17.3126,22.2512,31.6842,32.2972,9.7707,18.4578,29.7931,25.3135,8.6769,13.8567,18.633,18.3423,8.7165,13.3754,14.4979,16.6734,14.5712,13.8139,7.4913,19.0253,,3.9809,4.5989,
asset-turnover,0.0789,0.1459,0.1486,0.1476,0.1563,0.1672,0.1637,0.1595,0.1719,0.183,0.1677,0.1639,0.1763,0.1895,0.1633,0.1442,0.1503,0.1806,0.1566,0.1431,0.3176,,,,,
inventory-turnover,,,,150.4756,150.2577,144.339,,136.4615,62.1741,40.983,38.1503,18.5032,22.3619,27.311,28.1532,15.8037,20.1848,17.9071,19.7728,12.7381,24.7209,,,,,
receiveable-turnover,3.1664,3.2215,2.9522,2.8815,2.8534,3.0364,2.7977,2.6465,2.721,2.9187,2.7536,3.0829,2.6488,2.8023,2.5081,3.0796,2.8092,2.8486,2.747,3.6112,3.3229,,,,,
days-sales-in-receivables,28.4235,27.9371,30.4858,31.2341,31.5412,29.6404,32.1692,34.0069,33.0765,30.8352,32.6845,29.1932,33.9774,32.1164,35.8836,29.2244,32.0375,31.595,32.7635,24.9227,27.0849,,,,,
roe,1.9042,7.9014,2.7499,3.4339,5.2048,5.6873,1.7053,3.1344,5.3638,4.8235,1.5507,2.3786,3.4382,3.6245,1.5374,2.0608,2.3127,3.2199,0.9515,2.17,118.5127,,,,,
return-on-tangible-equity,2.0968,9.4361,3.3402,4.2233,6.5136,7.2788,2.2889,4.2904,7.1365,6.3333,2.1127,3.2966,4.8678,5.3241,2.3703,3.0813,2.7646,4.0365,1.2143,2.7819,-15.1241,,,,,
roa,1.7632,7.0096,2.5723,3.2837,4.9531,5.4008,1.5996,2.9434,5.1205,4.6323,1.4552,2.2717,3.2855,3.4761,1.4231,1.9282,2.1787,3.0112,0.8635,1.9962,4.604,,,,,
roi,1.8397,7.395,2.7499,3.4339,5.2048,5.6873,1.7053,3.1344,5.3638,4.8235,1.5507,2.3786,3.4382,3.6245,1.5374,2.0608,2.3127,3.2199,0.9515,2.17,28.3415,,,,,
book-value-per-share,14.4049,8.4393,7.6399,7.3229,6.9496,6.4248,5.693,5.5136,5.2308,4.8552,4.3995,4.2591,4.0938,3.8439,3.5245,3.4695,3.3442,2.7947,2.6294,2.5661,0.9099,,,,,
operating-cash-flow-per-share,0.8666,0.3965,1.7898,1.2638,0.8303,0.3621,1.3209,1.0002,0.6437,0.2537,0.7612,0.5165,0.2605,0.0356,0.4509,0.3168,0.1237,0.0307,0.2901,0.1838,0.1276,0.0335,,0.433,0.19,
free-cash-flow-per-share,0.8133,0.3789,1.7288,1.2095,0.7879,0.3443,1.2326,0.9456,0.6088,0.2303,0.7003,0.4715,0.2395,0.0302,0.4105,0.285,0.1024,0.0164,0.2571,0.1581,0.1025,0.0225,,0.3903,0.1693,
