,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
current-ratio,5.5113,5.8778,4.755,5.7173,18.432,17.4895,,,,,
long-term-debt-capital,0.0355,0.0348,0.0481,,0.0003,,,,,,
debt-equity-ratio,0.0457,0.0443,0.0639,0.004,0.0061,0.0065,,,,,
gross-margin,100.0,100.0,100.0,,,,,,,,
operating-margin,-358.3159,-265.6479,-376.7869,,,,,,,,
ebit-margin,,,,,,,,,,,
pre-tax-profit-margin,-338.2279,-248.5612,-346.2653,,,,,,,,
net-profit-margin,-338.2279,-248.5612,-346.2653,,,,,,,,
asset-turnover,,,,,,,,,,,
roe,-13.2581,-9.7127,-11.0282,-14.0354,-10.5156,-13.1769,,,,,
return-on-tangible-equity,-13.2581,-9.7127,-11.0282,-14.0354,-10.5156,-13.1769,,,,,
roa,-8.5641,-6.3607,-6.2901,-8.2526,-9.8718,-12.3611,,,,,
roi,-12.7873,-9.3743,-10.4975,-14.0354,-10.5127,-13.1769,,,,,
book-value-per-share,4.1037,4.4117,3.7198,4.0668,4.0545,4.4213,,,,,
operating-cash-flow-per-share,-1.6095,-1.232,-0.6068,1.5695,-1.2555,-2.0304,-3.5363,,-9.781,-6.1971,
free-cash-flow-per-share,-1.6655,-1.2813,-0.6334,1.4742,-1.2881,-2.0485,-3.5993,,-9.9351,-6.3275,
