,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
current-ratio,7.5805,12.2138,22.8263,28.0856,6.4292,,,,,
long-term-debt-capital,0.1657,0.1534,0.1401,0.137,0.3397,,,,,
debt-equity-ratio,0.2747,0.2205,0.1799,0.1641,0.5474,,,,,
gross-margin,51.7189,48.1183,49.1179,50.4049,47.2637,58.3333,,,7.8125,
operating-margin,-1913.445,-1295.027,-1264.531,-1913.158,-3752.239,-71816.67,,,-3588.281,
ebit-margin,,,,,,,,,,
pre-tax-profit-margin,-1910.313,-1280.914,-1217.92,-1956.477,-3764.179,-72058.34,,,-3532.812,
net-profit-margin,-1910.313,-1280.981,-1217.92,-1956.478,-3764.179,-72066.66,,,-3532.812,
asset-turnover,0.0104,0.0102,0.0068,0.0029,0.0047,,,,,
inventory-turnover,0.0498,0.0968,0.1082,0.0667,0.0493,,,,,
receiveable-turnover,1.3721,1.1571,1.3396,1.1569,0.9178,,,,,
days-sales-in-receivables,65.5921,77.7823,67.1866,77.7935,98.0597,,,,,
roe,-27.125,-16.6598,-9.9875,-6.7458,13.0873,,,,,
return-on-tangible-equity,-27.2254,-16.7136,-10.0178,-6.7659,-31.7113,,,,,
roa,-19.8391,-13.0152,-8.2276,-5.6223,-17.8785,,,,,
roi,-22.6297,-14.1034,-8.5882,-5.8216,-20.5469,,,,,
book-value-per-share,3.2195,4.0172,4.6571,5.1525,8.5885,,,,,
operating-cash-flow-per-share,-1.9687,-1.1241,-0.4691,-4.4829,-7.7984,-4.9559,-2.3614,,-4.7491,
free-cash-flow-per-share,-2.0029,-1.1502,-0.4817,-4.6583,-8.1538,-5.0619,-2.4188,,-4.931,
