,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
current-ratio,1.34,1.7046,1.7138,1.7625,2.2409,2.4779,2.8859,2.5396,2.2063,1.8304,1.911,2.5932,6.318,9.1975,16.3718,11.8821,11.2102,26.2514,11.6158,16.0465,18.3747,26.4274,21.8413,8.5677,,,,
long-term-debt-capital,0.058,0.0547,0.0524,,,,,,,,,,,,,,,,,,,0.0001,0.0001,,,,,
debt-equity-ratio,0.0616,0.0579,0.0553,0.0236,,,,,,,,,,,,,,,,,,0.0001,0.0001,,,,,
gross-margin,58.3994,62.6311,56.9854,87.0209,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,
operating-margin,-60.7815,-59.0488,-104.5454,-150.6399,-52.367,-73.0884,-53.3377,16.1331,-58.5616,-77.6157,-215.538,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-60.7348,-58.5449,-103.4569,-147.6892,-48.9891,-69.8235,-50.9863,17.1424,-56.0376,-75.4488,-213.4819,,,,,,,,,,,,,,,,,
net-profit-margin,-59.3464,-57.7066,-99.6628,-100.3409,-48.9891,-69.8235,-50.9863,17.1424,-56.0376,-75.4488,-213.4819,,,,,,,,,,,,,,,,,
asset-turnover,0.1157,0.1224,0.0816,0.0601,0.1317,0.1179,0.1037,0.2486,0.1219,0.0847,0.0805,,,,,,,,,,,,,,,,,
inventory-turnover,0.3299,0.3084,0.2713,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.7559,3.4894,1.5003,0.2561,77.2805,369.6439,1.2811,2.6467,146.9146,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,51.2551,25.7921,59.9889,351.3715,1.1646,0.2435,70.2521,34.0048,0.6126,,,,,,,,,,,,,,,,,,,
roe,-11.6744,-11.2004,-12.7867,-9.4435,-18.2733,-20.5329,-11.8815,12.665,-23.163,-37.7522,-145.4844,-55.5813,-36.052,-26.8434,-15.3777,-15.1583,-13.393,-7.1378,-11.3044,-9.9646,-8.2279,-6.2673,-7.5836,4.6824,,,,
return-on-tangible-equity,-48.6511,-37.5557,-37.5602,-23.7629,-18.2733,-20.5329,-11.8815,12.665,-23.163,-37.7522,-145.4845,-55.5813,-36.052,-26.8434,-15.3777,-15.1583,-13.393,-7.1378,-11.3044,-9.9646,-8.2279,-6.2673,-7.5836,-19.3465,,,,
roa,-6.8641,-7.0635,-8.1299,-6.0263,-6.4501,-8.2336,-5.2897,4.2619,-6.8325,-6.3885,-17.1811,-12.6116,-21.469,-18.2887,-11.6501,-13.8918,-12.2033,-6.8667,-10.3374,-9.3437,-7.779,-6.0289,-7.235,-17.1643,,,,
roi,-10.9968,-10.5874,-12.117,-9.4435,-18.2733,-20.5329,-11.8815,12.665,-23.163,-37.7522,-145.4845,-55.5813,-36.052,-26.8434,-15.3777,-15.1583,-13.393,-7.1378,-11.3044,-9.9646,-8.2279,-6.267,-7.5832,-19.3465,,,,
book-value-per-share,3.9336,4.3722,4.8358,5.4405,2.4987,2.9153,3.4665,2.5744,2.1143,1.3414,0.7885,1.764,2.6327,3.5067,4.4211,4.2723,4.8121,5.1848,4.621,5.1091,5.5967,5.9987,6.3104,22.2379,,,,
operating-cash-flow-per-share,-1.3907,-1.4906,-1.1782,-1.6798,-0.4173,-0.1992,-0.4182,-1.291,-0.8475,0.3634,-0.2458,1.5353,-0.9965,-0.2518,0.4728,-1.9799,-1.0247,-0.7689,-0.4167,-1.7839,-0.9283,-0.6451,-2.6977,-20.8272,-11.7502,-6.9057,-3.214,
free-cash-flow-per-share,-1.4449,-1.5237,-1.1947,-1.7075,-0.4309,-0.2075,-0.4243,-1.3283,-0.8725,0.3494,-0.2568,1.4647,-1.0654,-0.2877,0.4698,-1.9956,-1.0366,-0.7774,-0.4267,-1.7988,-0.9389,-0.6538,-2.7615,-20.8456,-11.7612,-6.9057,-3.214,
