,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
current-ratio,4.2126,3.1067,3.3996,4.157,4.8881,3.978,11.4637,11.1754,14.5732,16.1064,3.2793,5.3278,11.2847,10.9137,16.3367,20.6784,34.2857,13.594,14.3149,15.6416,9.7505,11.5818,11.8592,2.6796,2.5219,,,,,
long-term-debt-capital,0.0167,0.0372,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0215,0.0479,0.0436,,0.1956,,,,,,,,,,,,,,,,,,,,0.0229,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,,,,,100.0,,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
operating-margin,-595.2118,-463.5561,-527.9324,-397.1986,-404.3461,-619.7982,,,,,-2450.604,,,-16868.35,-156942.9,,-205.2869,-655.8352,-964.8262,-474.3982,-586.9333,-386.6667,-1921.91,-216.3411,-347.8389,69.3773,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-573.4141,-445.3725,-503.0808,-375.5106,-384.5516,-603.5491,,,,,-2440.725,,,-16650.63,-154814.3,,-204.3852,-654.3478,-961.9632,-471.9911,-584.6223,-380.8333,-1909.551,-215.4161,-449.4106,53.314,,,,
net-profit-margin,-567.7096,-440.8602,-501.141,-373.2514,-383.2477,-598.2603,,,,,-2437.322,,,-16550.63,-152742.9,,-196.1885,-650.3432,-958.8958,-456.4552,-581.7778,-379.6875,-1900.562,182.5281,-449.4106,14.7197,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,3.1838,3.2775,2.4785,3.4799,6.9153,4.8795,,,,,0.5908,0.0,,0.0805,0.0107,0.0,0.941,3.496,2.2744,4.57,12.6405,1.7877,3.8696,15.9508,17.5517,,,,,
days-sales-in-receivables,28.2679,27.4597,36.3122,25.863,13.0146,18.4447,,,,,152.3381,,,1117.595,8447.143,,95.6434,25.7437,39.5706,19.6937,7.12,50.3438,23.2584,5.6423,5.1277,,,,,
roe,-15.4993,-23.0649,-19.1754,-15.4546,-12.974,-23.5289,-23.2542,-16.3367,-12.5603,-8.5149,-75.8618,-43.314,-16.0748,-15.8316,-11.2634,-9.0724,-4.2042,-13.3836,-9.8874,-8.0756,-11.828,-5.9203,-5.2265,3.8706,8.7989,,,,,
return-on-tangible-equity,-15.4993,-23.0649,-19.1754,-15.4546,-12.974,-23.5289,-23.2542,-16.3367,-12.5603,-8.5149,-75.8618,-43.314,-16.0748,-15.8316,-11.2634,-9.0724,-4.2042,-13.3836,-9.8874,-8.0756,-11.828,-5.9203,-5.2265,-18.1826,-33.662,,,,,
roa,-12.4498,-15.3434,-12.8732,-10.8226,-9.1207,-12.2908,-20.7937,-14.6149,-11.5172,-7.8832,-51.2806,-34.4222,-14.4001,-14.205,-10.481,-8.5936,-4.0603,-12.2392,-9.0777,-7.4588,-10.4935,-5.345,-4.7278,-11.5744,-20.7314,,,,,
roi,-15.2402,-22.2063,-18.5146,-15.4546,-12.974,-23.5289,-23.2542,-16.3367,-12.5603,-8.5149,-75.8618,-43.314,-16.0748,-15.8316,-11.2634,-9.0724,-4.2042,-13.3836,-9.8874,-8.0756,-11.828,-5.9203,-5.2265,-18.1826,-33.662,,,,,
book-value-per-share,4.5399,2.4869,2.8938,3.3789,3.7961,2.1456,2.205,2.6569,3.0383,3.3537,1.0712,1.8583,2.6317,3.0271,3.4793,3.8541,4.1812,1.8597,2.0777,2.2657,2.4292,2.7197,2.8651,2.6845,3.1695,,,,,
operating-cash-flow-per-share,-1.7535,-1.3165,-0.6959,-0.6213,0.0542,0.6769,-0.5651,-1.7571,-1.332,-1.041,-0.7925,-1.7369,-1.2533,-0.7804,-0.3607,-0.8724,-0.6776,-0.4159,-0.2298,-0.8415,-0.5203,-0.3242,-0.1975,0.6845,1.8407,0.7096,-0.4971,,,
free-cash-flow-per-share,-1.7539,-1.317,-0.6962,-0.6234,0.0529,0.6763,-0.5651,-1.7577,-1.3326,-1.0416,-0.7928,-1.7632,-1.277,-0.7862,-0.361,-0.8732,-0.6781,-0.4164,-0.2301,-0.8435,-0.5215,-0.3245,-0.1975,0.6833,1.8398,0.7096,-0.4971,,,
