,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
current-ratio,7.4814,4.959,8.0787,9.4658,11.8781,4.3249,,,,,
long-term-debt-capital,0.0077,,,,,,,,,,
debt-equity-ratio,0.0078,,,,,,,,,,
gross-margin,100.0,,,,,,,,,,
operating-margin,-104.4329,,,,,,,,,,
ebit-margin,,,,,,,,,,,
pre-tax-profit-margin,-96.7151,,,,,,,,,,
net-profit-margin,-96.7151,,,,,,,,,,
asset-turnover,,,,,,,,,,,
roe,-9.5768,-25.3662,-20.3864,-12.9214,-14.5134,17.3952,,,,,
return-on-tangible-equity,-9.5768,-25.3662,-20.3864,-12.9214,-14.5134,17.3952,,,,,
roa,-8.2595,-20.0394,-17.6624,-11.5192,-13.264,-24.5569,,,,,
roi,-9.5031,-25.3662,-20.3864,-12.9214,-14.5134,17.3952,,,,,
book-value-per-share,3.7456,2.9105,3.6071,4.2865,4.804,-3.0962,,,,,
operating-cash-flow-per-share,-1.4044,-1.3608,-0.8761,-3.5173,-1.6732,-4.2319,-1.3964,,-4.1525,-2.4417,
free-cash-flow-per-share,-1.4126,-1.3631,-0.8761,-3.5388,-1.6767,-4.2319,-1.3964,,-4.163,-2.4484,
