,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
current-ratio,1.8758,2.3338,2.3888,1.5555,1.8535,6.1139,7.2378,8.2727,11.4954,12.9363,9.4371,12.5043,15.067,21.2722,40.8488,42.2693,19.5702,,,,,
long-term-debt-capital,0.2081,0.162,0.1344,0.112,0.0671,0.0421,0.0343,0.0205,0.0119,0.011,0.0085,0.0009,0.0002,0.0003,0.0004,0.0005,0.0014,,,,,
debt-equity-ratio,0.2901,0.2123,0.1695,0.1261,0.0719,0.044,0.0355,0.0211,0.0122,0.0114,0.0091,0.0014,0.0006,0.0006,0.0008,0.0009,0.0023,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,,,
operating-margin,-1849.744,-598.0204,-1585.856,-1352.017,-850.9236,-749.6003,-2515.823,-2837.705,-2004.03,-2249.134,-5275.979,-6677.383,-4396.173,-2790.887,,,,-2880.159,-13326.92,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1731.854,-549.8427,-1460.674,-1049.448,-837.5473,-735.6835,-2466.174,-2822.041,-1970.494,-2210.939,-5218.277,-6592.932,-4375.255,-2761.871,,,,-2897.619,-13134.61,,,
net-profit-margin,-1731.854,-549.8427,-1460.674,-1046.603,-837.5473,-735.6835,-2478.27,-2804.464,-1938.707,-2242.206,-5508.094,-6612.367,-4473.214,-2773.381,,,,-2936.508,-13326.92,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.1465,0.3814,0.3026,0.362,0.4493,0.3253,,1.098,,,,,0.1568,,,,,,,,,
days-sales-in-receivables,614.5443,235.9727,297.4223,248.6188,200.3116,276.696,,81.9672,,,,,573.9796,,,,,,,,,
roe,-44.1968,-26.1771,-22.453,-51.6538,-35.2991,-25.7682,-32.023,-22.0565,-15.3712,-13.0204,-18.0174,-13.8756,-11.6023,-6.9552,-5.3555,-4.625,158.2051,,,,,
return-on-tangible-equity,-44.1968,-26.1771,-21.5894,-51.6538,-32.8713,-24.3895,-29.8848,-20.8789,-14.6745,-12.4994,-16.8821,-13.1101,-11.0278,-6.6408,-5.0824,-4.3993,-7.3238,,,,,
roa,-14.6095,-10.8786,-10.2645,-12.8023,-11.5939,-10.1469,-23.4283,-16.9338,-12.6154,-10.8629,-13.9241,-11.3542,-9.7431,-6.076,-4.9501,-4.2914,-6.9525,,,,,
roi,-34.9984,-21.9352,-18.6883,-45.8708,-30.6669,-23.3618,-28.8605,-20.4499,-14.4998,-12.3614,-16.7381,-13.098,-11.0256,-6.639,-5.0804,-4.3972,-7.3136,,,,,
book-value-per-share,3.3477,4.6759,5.9766,2.4887,3.8904,5.0241,4.2126,5.2997,6.2565,7.0962,5.306,6.0734,6.7738,7.4319,7.1642,7.4876,7.3075,,,,,
operating-cash-flow-per-share,-3.7044,-2.4317,-1.5456,-0.7892,0.3395,1.3371,-1.1614,-3.1558,-2.1945,-1.3943,-0.7402,-1.4002,-0.7924,-0.2971,-0.3311,-1.1929,-0.6353,-0.3265,-0.1957,,-0.7492,
free-cash-flow-per-share,-3.7794,-2.4932,-1.5612,-1.1322,0.1187,1.2312,-1.2031,-3.8682,-2.728,-1.7364,-0.8947,-1.6441,-0.9132,-0.3657,-0.3629,-1.3698,-0.7314,-0.3675,-0.1977,,-0.8811,
