,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,17.0032,20.8853,19.0404,33.1948,28.0736,33.7906,5.481,2.7024,,,,
long-term-debt-capital,0.0281,0.0059,0.0059,,,,,,,,,
debt-equity-ratio,0.0318,0.008,0.0078,,,,,,,,,
gross-margin,90.6335,,,,,,,,,,,
operating-margin,23.4199,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,25.9676,,,,,,,,,,,
net-profit-margin,25.9676,,,,,,,,,,,
asset-turnover,,,,,,,,,,,,
receiveable-turnover,321.5783,,,,,,,,,,,
days-sales-in-receivables,0.2799,,,,,,,,,,,
roe,4.2274,-10.6587,-8.1309,-1.5599,-6.4791,-6.5542,34.3685,38.8072,,,,
return-on-tangible-equity,4.2274,-10.6587,-8.1309,-1.5599,-6.4791,-6.5542,-42.7203,-133.6378,,,,
roa,3.8744,-10.0897,-7.6588,-1.5102,-6.2352,-6.3459,-30.7949,-80.7347,,,,
roi,4.1087,-10.5958,-8.0831,-1.5599,-6.4791,-6.5542,-42.7203,-133.6378,,,,
book-value-per-share,4.3725,3.5759,3.718,4.2166,4.4623,4.7248,3.8959,0.7458,,,,
operating-cash-flow-per-share,-0.4015,-0.7197,-0.2794,-1.551,-0.6591,-1.8247,-1.3413,-2.6995,-1.6408,-0.9494,-0.5612,
free-cash-flow-per-share,-0.4054,-0.7207,-0.2794,-1.5581,-0.6631,-1.8406,-1.3673,-2.7134,-1.6424,-0.9502,-0.5622,
