,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,4.8135,3.9361,5.5391,6.0458,7.0559,2.4154,1.9895,0.6857,,,,
long-term-debt-capital,0.5217,0.309,0.2754,0.2431,0.2182,0.8972,1.7858,,,,,
debt-equity-ratio,1.0905,0.4472,0.38,0.3212,0.2791,10.8604,-2.8427,-4.8051,,,,
gross-margin,62.2998,60.0074,54.1534,60.2122,62.0963,59.9387,53.422,55.5414,49.2081,47.815,49.2846,
operating-margin,-38.3522,-43.2715,-40.3696,-52.5767,-37.1239,-46.0792,-19.4384,-38.9383,-81.5265,-63.5447,-56.9736,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-54.5506,-41.5283,-51.6652,-63.1945,7.4113,-37.9896,-44.0065,-59.8764,-145.3168,-140.153,-72.1781,
net-profit-margin,-55.8983,-41.6897,-51.877,-64.1215,8.0192,-39.0984,-44.074,-60.4267,-145.74,-140.153,-72.2503,
asset-turnover,0.1933,0.2069,0.1907,0.1407,0.1341,0.2165,0.2511,0.2069,,,,
inventory-turnover,0.3265,0.3268,0.4011,0.2626,0.4018,0.4153,0.5454,0.3985,,,,
receiveable-turnover,1.0378,1.0175,1.033,0.9291,0.8925,0.846,0.8035,0.9011,,,,
days-sales-in-receivables,86.7236,88.456,87.1282,96.8665,100.8424,106.3798,112.014,99.8832,,,,
roe,-29.164,-16.807,-17.6618,-15.1313,1.6964,-226.065,74.5434,142.3698,,,,
return-on-tangible-equity,-31.5853,-17.9933,-18.8059,-16.0336,1.7756,438.2674,52.2609,80.3807,,,,
roa,-10.8028,-8.6259,-9.893,-9.0192,1.0751,-8.4645,-11.0648,-12.5002,,,,
roi,-13.9505,-11.6136,-12.7986,-11.4523,1.3263,-23.2508,-58.5755,142.3698,,,,
book-value-per-share,2.129,2.6271,2.9923,3.429,3.7483,0.1507,-0.5931,-0.3452,,,,
operating-cash-flow-per-share,-1.2588,-0.7365,-0.3902,-1.9529,-1.2625,-0.9712,-0.4045,,-2.7001,-1.892,-0.9955,
free-cash-flow-per-share,-1.5687,-1.0128,-0.4611,-2.2808,-1.325,-1.0167,-0.4313,,-2.8574,-2.0219,-1.12,
