,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
operating-margin,-87.1483,19.9384,-563.652,-1153.436,-1009.885,-997.8253,-2239.172,-194.5635,-2034.408,-1583.602,-1196.858,-586.0709,-313.5127,-258.5484,-154.5963,-150.6989,-81.4057,-81.2244,-187.4224,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-73.44,24.1999,-522.8016,-1122.112,-968.9111,-991.8835,-2134.395,-185.8966,-2033.624,-1587.171,-1152.596,-606.2234,-281.1064,-250.9408,-148.8199,-147.5188,-79.3397,-79.7502,-565.8773,,,,,
net-profit-margin,-73.44,24.1999,-522.8016,-1122.112,-968.9111,-991.8835,-2115.287,-186.3851,-2033.624,-1603.738,-1137.158,-621.2531,-271.9468,-250.9408,-148.8199,-178.5903,-140.0446,-138.1245,-613.8587,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.4561,4.5798,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,61.8103,19.6513,,,,,,,,,,,,,,,,,,,,,,
roe,-13.8744,9.4194,-26.9827,-48.5122,-30.934,-31.1582,-20.272,-8.8235,-27.3995,-17.9275,-13.5684,-10.7959,-6.0326,-5.9954,-4.3937,-4.3076,8.3095,,,24.9496,,,,
return-on-tangible-equity,-13.8744,9.4194,-26.9827,-48.5122,-30.934,-31.1582,-20.2721,-8.8235,-27.3995,-17.9275,-13.5684,-10.7959,-6.0326,-5.9954,-4.3937,-4.3076,-3.8508,,,-452.3063,,,,
roa,-3.9886,2.8701,-6.6051,-12.7279,-10.2956,-11.8982,-8.4782,-6.4116,-16.5674,-11.9156,-9.5083,-7.7408,-4.4538,-4.4492,-3.2676,-3.174,-2.3535,,,-45.2031,,,,
roi,-13.8744,9.4194,-26.9827,-48.5123,-30.934,-31.1582,-20.2721,-8.8235,-27.3995,-17.9275,-13.5684,-10.7959,-6.0326,-5.9954,-4.3937,-4.3076,-3.8508,,,-452.3063,,,,
book-value-per-share,2.9368,3.2282,2.753,1.4351,2.03,2.5565,3.0823,4.2459,3.2459,4.0492,4.7461,5.3099,5.8666,6.1602,6.5118,6.7817,74.2474,,,1.4101,,,,
operating-cash-flow-per-share,1.9603,2.4671,3.7526,-0.4954,0.2628,0.8165,1.5305,-2.2888,-1.7778,-1.1805,-0.5542,-1.679,-1.1583,-0.7611,-0.3783,9.8537,38.615,50.7542,64.5235,-15.076,-10.4181,,,
free-cash-flow-per-share,1.8467,2.3881,3.7232,-0.6297,0.1454,0.7247,1.4799,-2.4375,-1.9239,-1.312,-0.6684,-1.8778,-1.204,-0.7871,-0.3967,9.608,37.9248,50.1815,64.3736,-18.8481,-13.3114,,,
