,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.9518,0.9456,0.9361,0.9291,0.9397,0.9396,0.946,0.9062,0.9195,0.9202,0.9035,0.9039,0.8942,0.9284,0.8475,0.9424,0.9425,0.9669,0.9683,0.9739,0.9726,0.9552,0.9621,0.9679,0.9757,0.9736,0.9638,0.9816,1.02,1.0631,1.0579,1.046,1.1113,1.1011,1.0817,1.085,1.0897,1.0786,1.0728,1.05,1.0642,1.0622,1.0588,1.0615,1.0732,1.0697,1.0634,1.1365,1.167,1.2056,1.1983,1.2348,1.2506,1.2906,1.2899,1.3198,1.2762,1.2584
long-term-debt-capital,0.5828,0.5893,0.588,0.5966,0.5825,0.5797,0.6163,0.6469,0.5969,0.6029,0.6465,0.644,0.6687,0.666,0.7717,0.8585,0.7037,0.6729,0.5302,0.5049,0.5011,0.3943,0.3832,0.3758,0.3661,0.3731,0.374,0.3625,0.3362,0.3358,0.3378,0.2534,0.2983,0.3,0.303,0.3125,0.3169,0.3242,0.3341,0.3023,0.2995,0.2959,0.3038,0.3047,0.3113,0.2934,0.3023,0.2836,0.2451,0.2265,0.2351,0.209,0.2037,0.1944,0.1958,0.1819,0.1698,0.1706
debt-equity-ratio,1.4502,1.5281,1.4765,1.5287,1.4547,1.4547,1.6132,1.8376,1.4826,1.7615,2.1164,2.0957,2.3451,2.0483,3.4628,6.0664,2.3801,2.0909,1.1287,1.0198,1.0046,0.6511,0.8096,0.6021,0.5775,0.5951,0.5973,0.5686,0.6403,0.6388,0.6641,0.4761,0.4252,0.4286,0.4736,0.4548,0.464,0.4799,0.502,0.4337,0.4277,0.4205,0.4369,0.4388,0.4527,0.4157,0.4339,0.396,0.3248,0.2931,0.3077,0.2645,0.2564,0.2419,0.2437,0.2226,0.2049,0.2301
gross-margin,2.7216,3.2889,2.8586,2.385,2.8078,3.0601,2.7496,2.996,2.7899,3.3823,2.7186,2.9939,3.0038,3.0123,2.6284,2.7448,2.6041,2.7915,2.2397,2.7622,2.2802,2.5639,2.3588,2.3195,2.5675,3.4935,3.1379,3.7535,3.4556,3.449,2.8748,2.8478,3.2418,3.4784,2.9174,2.8726,3.0016,3.1712,2.9136,2.8774,2.8228,3.1913,2.8252,3.0741,2.7674,3.026,2.8023,2.7792,3.4924,3.6726,3.5553,3.1162,3.552,3.6842,3.6059,3.7488,3.6298,3.804
operating-margin,0.899,0.1098,1.0527,0.3559,0.9021,1.1732,1.0354,-0.3451,0.4402,1.6824,1.0479,0.5985,1.4333,2.6625,-0.4853,1.5289,0.9715,-1.115,-0.2632,0.6661,0.3653,1.0582,0.5471,0.4666,0.6146,1.7059,1.4219,1.7122,1.6784,1.9132,1.3855,1.2197,1.5731,1.8484,1.3916,1.2103,1.4379,1.6125,1.357,1.2001,1.1579,1.4341,1.1413,1.1814,1.0976,1.3235,1.1149,0.9703,1.2412,1.3377,1.2487,0.9147,1.2039,1.3004,1.137,1.1136,1.219,1.359
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,0.8203,0.0434,0.9529,0.2584,0.8001,0.8806,0.8872,-0.4385,0.3446,1.5961,0.9514,0.51,1.3438,2.5639,-0.5763,1.3259,0.8889,-1.2201,-0.3187,0.5847,0.1922,1.0031,0.4846,0.3953,0.5292,1.6121,1.334,1.5951,1.5802,1.7953,1.2743,1.1325,1.4805,1.7527,1.3037,1.1065,1.3441,1.5112,1.2662,1.1189,1.0773,1.3473,1.057,1.0943,1.0046,1.2238,1.0156,0.9272,1.181,1.2756,1.1997,0.9163,1.207,1.2904,1.0872,0.2487,1.1354,1.2518
net-profit-margin,0.6675,0.0626,0.8672,0.5388,0.6393,0.7005,2.1298,-0.8808,0.1301,1.1077,0.6478,0.3879,0.9467,1.6904,0.898,1.0178,0.6256,-1.5715,-0.5953,0.2075,-0.0421,0.6328,0.1418,0.2085,0.7689,0.2223,0.8006,0.8727,0.9379,1.0762,0.7981,0.7801,0.9147,1.0849,0.807,0.7228,0.8326,0.9378,0.7825,0.6954,0.6459,0.8283,0.6405,0.6697,-0.6002,0.7538,0.6356,0.5443,0.7948,0.7842,0.7305,0.7997,0.7616,0.8475,0.6638,0.1401,0.6852,0.7538
asset-turnover,1.1757,1.1162,1.156,1.1494,1.1261,1.0687,1.1129,1.1077,1.117,1.08,1.1253,1.1166,1.1557,1.0986,1.1936,1.2685,1.2524,1.2097,1.3487,1.467,1.471,1.3976,1.4738,1.2934,1.3213,1.2739,1.3591,1.2131,1.2273,1.2597,1.2712,1.2605,1.3571,1.346,1.4073,1.3535,1.3998,1.3963,1.4263,1.3789,1.4443,1.3794,1.3803,1.4043,1.5012,1.4122,1.3701,1.3071,1.2678,1.2153,1.2823,1.1931,1.2191,1.1908,1.1652,1.2229,1.2126,1.1339
inventory-turnover,3.9126,3.6835,3.7368,3.5461,3.4727,3.0914,3.2738,3.3109,3.2244,3.1662,3.2529,3.3976,3.4094,3.2526,3.2902,3.5363,3.4587,3.3368,3.0895,3.5742,3.5213,3.2645,3.3115,3.4236,3.6207,3.4978,3.4195,3.295,3.4255,3.5539,3.3872,3.3709,3.7821,3.6707,3.5488,3.6423,3.7307,3.752,3.5011,3.6554,4.0402,3.66,3.3943,3.9485,4.2511,3.8026,3.4828,3.8174,3.8201,3.4562,3.4851,3.3417,3.3837,3.3671,2.8407,3.3461,2.9402,2.7443
