,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
current-ratio,15.8333,16.8528,19.7277,22.1135,1.1866,2.106,1.2662,3.403,4.3575,6.4348,3.1084,4.5609,4.3995,0.1639,0.183,0.2373,0.1852,0.0455,0.1499,0.1798,0.4952,0.0137,0.0195,0.0087,0.0286,0.0374,0.0268,0.0143,0.009,0.0165,0.0256,0.0895,0.0357,0.0379,0.0205,0.0292,0.1124,0.5258,0.1206,0.3619,0.1622,0.0148,0.0108,0.0142,0.0255,0.0388,0.0419,0.1343,,,
long-term-debt-capital,0.0069,0.0074,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3533,-0.3946,-0.235,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0111,0.0113,0.0112,,0.0072,0.0012,0.0081,,0.0008,0.0006,0.0012,0.0008,0.0007,-0.0014,-0.0011,-0.0025,-0.0019,-0.0008,-0.0061,-0.0517,-0.0807,-0.1728,-0.0945,-0.3971,-0.5167,-0.5321,-0.3712,-0.2572,-0.316,-0.3342,-0.3204,-0.3196,-0.3103,-0.343,-0.2148,-0.2012,-0.3205,-0.3337,-0.4438,-0.5371,-0.2288,-0.1318,-0.3061,-0.2712,-0.2683,-0.3326,-0.3081,-0.2965,,,
gross-margin,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-margin,,,,,,-2268.899,,,-2179.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,,-2336.377,,,-2177.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,,,,,,-2336.377,,,-2177.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-11.402,-10.8365,-9.5645,-228.4437,-635.5769,-116.1245,-518.9509,-73.3546,-67.1389,-22.1041,-58.4369,-25.496,-28.062,-30.9065,18.478,7.7372,-104.0623,88.4207,8.0473,35.3162,238.9296,-29.4029,539.5824,37.1116,18.9385,18.2542,8.0248,34.0115,17.5864,72.0547,16.6017,-14.084,38.7982,22.6804,54.467,-11.7671,87.6579,319.2581,149.5327,651.493,104.0036,-13.7927,13.2494,16.2531,9.5718,29.7284,30.2165,66.3373,,,
return-on-tangible-equity,-11.402,-10.8365,-9.5645,-228.4438,-635.5706,-116.1242,-518.9446,-73.3546,-67.1391,-22.1041,-58.4369,-25.496,-28.062,-30.9065,18.478,7.7372,-104.0623,88.4206,8.0473,35.3162,238.9284,-29.4029,539.5826,37.1116,18.9385,18.2542,8.0248,34.0115,17.5864,72.0547,16.6017,-14.084,38.7983,22.6805,54.467,-11.7671,87.6579,319.2585,149.5326,651.493,104.0038,-13.7927,13.2494,16.2531,9.5718,29.7284,30.2165,66.3374,,,
