,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
current-ratio,3.6646,5.013,14.7962,17.8808,19.4308,12.1127,13.8085,0.3423,,,,,
long-term-debt-capital,0.8192,0.6516,0.4906,,,,,,,,,,
debt-equity-ratio,4.5998,1.895,0.9739,,,,,-2.7974,,,,,
gross-margin,71.7628,71.4409,,,,,,,,,,,
operating-margin,-190.9167,-1557.637,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,
pre-tax-profit-margin,-206.0682,-1635.396,,,,,,,,,,,
net-profit-margin,-204.9366,-1625.573,,,,,,,,,,,
asset-turnover,0.0721,0.0114,,,,,,,,,,,
inventory-turnover,0.3702,0.0573,,,,,,,,,,,
receiveable-turnover,1.8272,1.639,,,,,,,,,,,
days-sales-in-receivables,49.255,54.9113,,,,,,,,,,,
roe,-158.3288,-91.2241,-14.564,-14.7445,-12.4571,-43.3188,-11.8541,-5.8245,,,,,
return-on-tangible-equity,42.148,95.7414,236.887,-175.2394,-66.9042,41.7622,24.3538,-2.8791,,,,,
roa,-14.7723,-18.5259,-4.9677,-7.2403,-6.4512,-13.477,-4.8369,2.8903,,,,,
roi,-28.6181,-31.7853,-7.4184,-14.7445,-12.4571,-43.3188,-11.8541,-5.8245,,,,,
book-value-per-share,0.6214,1.5033,2.7618,3.0938,3.4818,1.6023,2.1989,-4.5709,,,,,
operating-cash-flow-per-share,-2.8197,-1.9102,-0.7025,-1.0518,-0.5515,-0.332,-0.1088,-0.7403,-0.7395,-0.532,-0.3375,,
free-cash-flow-per-share,-2.9445,-2.0119,-0.7326,-1.0522,-0.5519,-0.3324,-0.1088,-0.7403,-0.7395,-0.532,-0.3375,,
