,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
current-ratio,7.8876,7.9853,7.7406,8.0099,11.5311,12.6199,13.201,11.3151,8.8828,9.3254,10.4809,9.1541,12.9325,14.0123,6.0162,7.2582,,,,
long-term-debt-capital,0.0488,0.0501,0.0541,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0713,0.071,0.0738,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
operating-margin,-238.5833,-246.9869,-228.2086,-263.274,-325.3105,-307.3466,-300.308,-370.6509,-216.9605,-270.6946,-208.3347,-192.3226,-158.0817,-165.1451,-376.7023,-321.0526,-195.5569,-248.5113,-92.9238,
ebit-margin,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-222.6262,-231.0038,-210.2943,-241.9543,-306.4525,-289.4229,-285.9285,-359.3731,-209.8674,-263.5288,-203.2341,-187.7199,-153.6661,-164.0514,-376.4209,-321.0526,-195.5569,-248.5113,-92.9238,
net-profit-margin,-222.6262,-231.0038,-210.2943,-241.9543,-306.4525,-289.4229,-285.9285,-359.3731,-209.8674,-263.5288,-203.2341,-187.7199,-153.6661,-164.0514,-376.421,-307.0175,-178.8507,-220.7698,-84.9922,
asset-turnover,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.9497,0.3549,2.9053,1.0441,2.6335,0.8917,1.0004,0.6368,1.6285,2.1407,2.544,0.8719,4.3786,4.206,1.777,1.71,,,,
days-sales-in-receivables,30.5115,253.5996,30.9777,86.1967,34.1752,100.9261,89.9639,141.3302,55.2645,42.0416,35.3773,103.2273,20.5545,21.398,50.6472,52.6316,,,,
roe,-8.5739,-9.2763,-8.3,-6.8603,-8.6231,-7.9542,-7.2271,-7.9718,-8.7326,-8.3125,-6.3192,-5.0339,-3.4302,-3.0858,24.6445,24.763,,,,
return-on-tangible-equity,-8.5739,-9.2763,-8.3,-6.8602,-8.6231,-7.9542,-7.2271,-7.9718,-8.7326,-8.3125,-6.3192,-5.0339,-3.4302,-3.0858,24.6445,24.763,,,,
roa,-6.8181,-7.2872,-6.3712,-5.4895,-7.0671,-6.5393,-5.9397,-6.3692,-6.1629,-5.8847,-4.523,-3.5331,-2.4818,-2.2213,-8.8549,-6.3916,,,,
roi,-8.1554,-8.8115,-7.8506,-6.8602,-8.6231,-7.9542,-7.2271,-7.9718,-8.7326,-8.3125,-6.3192,-5.0339,-3.4302,-3.0858,24.6445,24.763,,,,
book-value-per-share,5.6397,5.8025,5.8123,6.1454,6.0705,6.4679,6.8574,7.0921,4.8731,5.2013,5.5483,5.8259,6.0598,6.212,-10.6065,-8.2849,,,,
operating-cash-flow-per-share,-1.536,-1.0724,-0.4743,-1.4223,-1.2215,-0.94,-0.4227,-1.8129,-1.2495,-0.7755,-0.3283,1.6249,1.4722,3.0401,-13.9364,-7.2428,12.6803,5.4478,3.7555,
free-cash-flow-per-share,-1.6229,-1.1264,-0.5082,-1.5669,-1.3319,-1.0042,-0.4667,-2.0932,-1.4682,-0.9311,-0.4481,1.3475,1.3917,2.9274,-15.4275,-17.7366,6.881,4.5888,3.3536,
