,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30,2005-02-28
current-ratio,1.2075,1.2057,1.1898,1.4075,1.4936,1.6249,1.6642,1.521,1.5079,1.5315,1.5677,1.3346,1.464,1.5411,1.6382,1.0272,1.3427,1.5445,1.4456,1.3378,1.289,1.4532,1.3989,1.2231,1.277,1.3703,1.2532,1.2154,1.3193,1.2759,1.3887,1.2591,1.3112,1.3008,1.0343,0.8594,0.8845,1.3507,1.4582,1.5155,1.5177,1.3076,1.3764,1.3397,1.3151,1.3372,1.3366,1.0432,0.9504,0.9889,1.112,1.2081,1.1241,1.14,,,,
long-term-debt-capital,0.8216,0.807,0.8167,0.7801,0.7883,0.7699,0.7828,0.7417,0.7704,0.7434,0.7564,0.7477,0.7137,0.727,0.7409,0.704,0.7276,0.74,0.6601,0.6655,0.6664,0.682,0.6851,0.6356,0.6484,0.658,0.6561,0.6618,0.5905,0.5994,0.616,0.6209,0.6194,0.6214,0.6096,0.6111,0.604,0.612,0.6291,0.6455,0.6908,0.8104,0.823,0.8352,0.8402,0.8417,0.8491,0.8408,0.842,0.8371,0.83,0.8371,0.8506,0.8546,,,,
debt-equity-ratio,4.8505,4.4203,4.7242,3.6218,3.7777,3.3935,3.6488,2.9266,3.424,2.9617,3.1552,3.0228,2.5236,2.6993,2.8686,2.6576,2.7188,2.8989,1.9791,2.0313,2.0398,2.1764,2.2216,1.7807,1.8712,1.9655,1.9469,1.9961,1.4687,1.5322,1.6427,1.67,1.6566,1.6818,1.75,1.7777,1.7165,1.7183,1.7875,1.8265,2.4419,4.3439,4.7267,5.1537,5.3282,5.3921,5.6757,5.3668,5.4103,5.2198,4.9523,5.1993,5.7464,5.9025,,,,
gross-margin,15.0883,15.5149,14.5353,13.5396,14.229,15.5437,14.9367,13.466,12.8072,16.533,14.8765,6.8813,13.1043,16.4578,15.259,13.1713,11.7688,16.1415,16.4656,14.9435,14.9956,16.8074,16.2362,15.8963,14.604,17.3051,16.6745,16.3015,16.0698,18.3318,17.7955,16.5333,16.1788,18.4734,19.5864,15.1143,15.2165,18.9407,19.226,18.6349,17.7631,19.038,19.5623,17.9639,14.9821,16.6015,17.5106,14.7363,14.1,18.8618,19.1081,18.1444,18.4292,22.7404,19.7076,21.0955,21.5631,
operating-margin,8.8209,9.1733,8.4343,6.9806,7.8773,9.301,8.6673,6.9776,6.6943,10.4913,8.4071,5.7017,5.3295,9.2066,7.9834,5.995,4.7217,9.5834,9.9661,7.4937,8.7086,10.6363,10.2867,9.1458,8.6324,11.6646,11.0047,10.9195,9.9232,12.4652,12.312,10.2984,9.8069,11.5959,12.6419,7.6815,7.132,12.5158,12.4226,12.1907,6.0307,11.6861,12.0509,10.5073,6.9645,8.9867,9.9118,8.0492,6.2536,11.9601,12.9223,13.2626,12.2362,16.1764,13.8514,11.6683,15.1162,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,4.0821,5.9361,5.4212,3.2318,4.4768,6.3003,4.4914,3.9553,3.6064,7.5897,3.3591,2.4916,0.4808,6.7694,7.0754,3.1981,5.0099,7.1664,7.6029,5.0955,6.1013,7.9933,7.4037,6.5029,5.6676,6.5612,7.8222,8.0408,5.7936,9.6598,9.4281,7.1677,6.5854,3.5166,8.9371,3.6923,2.4206,7.498,7.3085,6.2313,0.1072,6.3124,7.9762,4.0764,0.0189,2.2171,3.2011,1.2972,-1.1665,4.9129,6.4051,6.1607,4.7899,9.3775,6.9623,5.233,8.9423,
net-profit-margin,2.2056,3.292,3.0827,1.9509,2.5972,3.5882,2.6927,9.2115,1.7142,3.8146,1.4539,2.0632,0.6141,3.0917,5.0383,2.9157,2.8798,4.1643,4.2862,3.5512,3.4997,4.4544,4.2322,3.7884,3.1507,3.593,4.4949,5.2138,3.3213,5.6605,5.4984,5.069,3.6474,1.6593,4.8055,3.255,1.3572,4.2105,4.134,4.9813,-1.1151,2.3741,2.944,0.4866,-1.37,-0.082,0.4771,-0.2417,-1.8278,1.662,2.5088,0.9449,2.826,5.6562,5.8759,3.3359,5.6882,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.7042,1.6931,1.6819,1.7391,1.6531,1.6406,1.5139,1.5132,1.5033,1.5436,1.573,1.6679,1.7442,1.7883,1.7375,1.6755,1.7693,1.4,1.6119,1.6696,1.8235,1.7026,1.6304,1.9068,1.6913,1.722,1.7499,2.0369,1.8111,1.7531,1.5977,1.6975,1.7125,1.6112,1.5779,1.7408,1.7388,1.68,1.62,1.8021,1.683,1.6476,1.5319,1.7109,1.619,1.5656,1.6234,1.8527,1.9002,1.9382,2.0286,2.2295,1.79,1.7989,,,,
