,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,17.1789,19.0656,18.0443,21.0326,31.0194,12.4058,23.83,16.9064,,,,
long-term-debt-capital,0.0375,0.0355,0.0342,,,,,,,,,
debt-equity-ratio,0.0389,0.0368,0.0354,,,,,,,,,
gross-margin,100.0,,100.0,100.0,100.0,100.0,100.0,99.0654,100.0,100.0,100.0,
operating-margin,-3015.644,,-2736.785,-1207.554,-1472.628,-864.9924,-1250.226,-469.9065,-370.9375,-197.476,-5797.777,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-2857.426,,-2456.676,-1087.708,-1384.672,-847.4886,-1236.199,-474.2056,-372.1875,-198.0769,-5791.111,
net-profit-margin,-2857.426,,-2456.676,-1087.708,-1384.672,-847.4886,-1236.199,-474.2056,-372.1875,-198.0769,-5791.111,
asset-turnover,,,,,,,,,,,,
roe,-11.1409,-8.7452,-5.9162,-5.3019,-4.5295,22.1154,27.3528,16.8886,,,,
return-on-tangible-equity,-11.1409,-8.7452,-5.9162,-5.3019,-4.5295,-8.2126,-7.485,-17.2844,,,,
roa,-10.1257,-8.0097,-5.4065,-4.9558,-4.2947,-7.4535,-7.1585,-16.2649,,,,
roi,-10.7233,-8.435,-5.7137,-5.3019,-4.5295,-8.2126,-7.485,-17.2844,,,,
book-value-per-share,5.3482,5.8732,6.3195,6.6591,6.97,28.9241,33.3177,9.4697,,,,
operating-cash-flow-per-share,-1.3605,-0.7999,-0.2805,-1.6026,-0.672,-3.3624,-1.8219,-6.9074,-4.8727,-3.3568,-1.9416,
free-cash-flow-per-share,-1.3796,-0.8191,-0.2974,-1.6898,-0.7108,-3.5904,-1.8524,-7.1262,-4.9238,-3.3976,-1.9583,
