,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
current-ratio,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,
operating-margin,-7094.785,-7135.97,-9304.814,4934.616,-975.9675,-962.1505,-947.3872,,,,,
ebit-margin,,,,,,,,,,,,
pre-tax-profit-margin,-6718.141,-6701.531,-8834.073,4620.817,-883.146,-890.7526,-904.9603,,,,,
net-profit-margin,-6718.141,-6701.531,-8834.073,4620.816,-883.1461,-890.7527,-904.9601,,,,,
asset-turnover,,,,,,,,,,,,
roe,-11.4913,-9.2259,-13.6873,-10.4016,-6.6497,-5.4789,20.63,30.2149,,,,
return-on-tangible-equity,-11.4913,-9.2259,-13.6873,-10.4016,-6.6497,-5.4789,-11.579,-12.1262,,,,
roa,-9.3532,-7.7003,-10.2358,-7.8829,-5.2713,-4.5969,-7.9154,-8.6679,,,,
roi,-11.4913,-9.2259,-13.6873,-10.4016,-6.6497,-5.4789,-11.579,-12.1262,,,,
book-value-per-share,5.8655,6.4906,4.6549,5.2559,5.7025,6.0877,32.7168,37.2802,,,,
operating-cash-flow-per-share,-1.481,-0.9179,-0.478,-1.4907,-0.9251,-0.564,-4.4176,2.6099,-6.6223,-4.4077,-2.2715,
free-cash-flow-per-share,-1.8935,-1.2983,-0.758,-2.3641,-1.1669,-0.6775,-4.8316,1.8233,-7.3119,-4.9834,-2.6974,
