,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
current-ratio,4.3753,4.4516,4.5682,4.4884,4.5227,4.5355,2.2096,2.1418,1.8532,1.8369,1.8794,1.7046,3.0263,2.9662,3.0806,3.0412,3.3359,3.3908,3.53,3.4047,3.6419,3.9608,4.1009,4.0415,4.3239,4.3312,4.6353,4.1916,4.4176,3.325,0.9556,0.9531,,0.9836,,0.9488,,,,,
long-term-debt-capital,0.4215,0.4273,0.416,0.4043,0.4091,0.4197,,,,,,,,,,,,,,,,,,,,,,,,,0.2663,0.3365,,0.4901,,0.6256,,,,,
debt-equity-ratio,0.7287,0.7461,0.7124,0.6787,0.6922,0.7234,,,,,,,,,,,,,,,,,,,,,,,,,2.1332,2.3058,,3.1659,,2.2577,,,,,
gross-margin,62.7951,60.3588,55.7507,63.8236,65.1123,60.0923,59.3932,63.4066,63.9158,57.716,57.5056,63.802,63.5758,61.2288,62.2848,63.4268,61.382,62.1321,61.0253,63.8485,58.5323,61.1234,60.2691,64.0728,62.4429,62.4209,61.21,65.3638,65.419,62.6417,61.0796,58.675,60.0461,60.2999,62.8118,100.0,100.0,,100.0,,
operating-margin,3.1488,-8.8027,-31.3235,1.1252,2.2019,-7.2951,-11.9129,-0.1541,3.431,-14.4032,-17.7033,-8.5197,-3.7594,-8.7506,-13.6535,-10.5588,-16.3983,-20.0401,-18.3139,-28.1522,-33.5452,-30.679,-25.6687,-6.3157,-12.9858,-7.6534,-15.2813,3.5714,6.4233,5.1089,4.2952,-0.4653,-4.2547,-2.4957,3.4874,100.0,100.0,100.0,100.0,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,1.024,-11.0302,-33.3371,-1.9579,-0.2112,-9.6261,-12.072,0.1881,3.7293,-14.2493,-17.119,-8.8419,-3.401,-8.5516,-13.041,-10.171,-16.4361,-19.71,-18.4063,-28.0872,-33.7571,-30.1707,-25.5795,-6.0058,-12.3605,-7.7522,-15.3839,3.7715,6.8469,5.5752,-2.8678,-0.8431,-4.1322,-6.7425,0.644,100.0,100.0,,100.0,,
net-profit-margin,0.5868,-10.8515,-33.2352,-2.2525,-0.5207,-8.3259,-11.8533,0.8477,3.0514,-15.1596,-18.1565,-9.6996,-3.5461,-8.6864,-13.3846,-10.52,-16.8746,-20.3191,-18.8387,-28.4896,-34.1247,-30.4444,-25.8916,-6.4132,-11.9001,-7.9934,-15.6115,1.971,6.6543,0.414,-3.6161,-0.3778,-4.4115,-7.8488,,-11.7016,6.437,10.8408,6.0777,,
asset-turnover,0.1433,0.131,0.1023,0.1388,0.1406,0.1305,0.2006,0.2152,0.2485,0.2226,0.2055,0.2216,0.2032,0.1898,0.1678,0.1748,0.1714,0.1646,0.1538,0.1541,0.1445,0.1404,0.1478,0.1659,0.1556,0.1523,0.1377,0.1613,0.1636,0.2133,0.4457,0.4357,,0.4209,,0.4891,,,,,
inventory-turnover,4.3572,3.4226,2.6097,4.0651,4.5362,4.3423,4.5684,5.7353,5.2806,4.7748,4.1571,3.2052,3.0113,2.7657,2.7952,3.8238,5.3181,5.5163,3.4432,2.569,2.2669,2.027,1.836,1.8215,2.0404,2.2563,1.9045,3.3727,2.7819,3.1699,2.9073,2.6673,,2.8212,,,,,,,
