,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2010-12-31
current-ratio,6.9274,6.8657,10.408,10.4983,8.4227,12.0114,9.7907,6.104,7.2907,10.2141,10.9834,11.3607,11.5994,10.8797,9.8535,6.6561,8.3788,9.9811,11.4125,7.6335,7.2048,7.0454,8.9015,5.618,5.5239,,,,,,
long-term-debt-capital,0.207,0.1872,0.1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.2831,0.2489,0.2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,
operating-margin,-1245.643,-1072.697,-690.4058,-999.2813,-844.7064,-469.4195,-66.3178,-226.4489,-528.9092,-553.3751,-336.5663,-380.1622,-394.5509,-228.1287,-312.7761,91.8649,-410.9765,-183.5471,-259.9487,-256.0602,-117.2471,-199.0765,-244.2188,-193.7648,-210.1665,-209.1293,-246.958,,-206.3243,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1208.747,-1031.833,-661.7729,-961.3749,-818.645,-449.3404,-62.7655,-220.9866,-519.4048,-544.4004,-329.9753,-372.3433,-384.985,-221.1291,-304.5552,91.9076,-409.2011,-181.6944,-257.4294,-254.5963,-116.983,-198.0727,-243.7676,-193.3157,-207.7542,-204.9592,-236.874,,-204.682,,
net-profit-margin,-1208.747,-1031.833,-661.7729,-961.3749,-818.645,-449.3404,-62.7655,-220.9941,-519.4048,-566.1723,-329.9753,-243.3551,-290.6288,-142.3448,-200.0,81.5014,-409.2011,-181.6944,-257.4294,-254.5963,-116.983,-198.0727,-243.7676,-193.3157,-207.7542,-204.9592,-236.874,,-204.682,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.8144,1.2809,1.5899,0.791,1.1507,2.796,7.6097,1.0065,1.913,2.0412,0.9574,0.9575,1.2145,1.8823,2.5252,89.6253,3.5162,8.7953,32.2331,11.3293,66.5824,28.1412,0.1762,12.7872,9.0914,,,,,,
days-sales-in-receivables,110.5094,70.261,56.6056,113.7783,78.21,32.1887,11.8269,89.4213,47.0467,44.091,94.0049,93.9978,74.1018,47.8134,35.6411,1.0042,25.5958,10.2328,2.7922,7.944,1.3517,3.1982,510.6599,7.0383,9.8995,,,,,,
roe,-20.2142,-16.6452,-15.1008,-14.6161,-15.919,-10.1111,-5.6292,-11.0146,-15.1289,-13.6992,-9.3665,-5.1346,-4.8057,-3.0788,-3.0458,68.3573,-19.0799,-7.8633,-7.1306,-13.8795,-7.4719,-9.7774,-7.9068,-12.6099,-11.1798,,,,,,
return-on-tangible-equity,-20.2142,-16.6452,-15.1008,-14.6161,-15.919,-10.1111,-5.6292,-11.0146,-15.1289,-13.6992,-9.3665,-5.1346,-4.8057,-3.0788,-3.0458,68.3573,-19.0799,-7.8633,-7.1306,-13.8795,-7.4719,-9.7774,-7.9068,-12.6099,-11.1798,,,,,,
roa,-13.951,-11.7411,-11.2062,-12.0525,-12.8954,-8.5841,-4.669,-8.4904,-12.1097,-11.6508,-8.1752,-4.4851,-4.1739,-2.6392,-2.5606,54.0099,-12.2945,-5.3238,-4.9143,-7.5987,-5.2019,-6.7384,-5.6019,-8.946,-7.8591,,,,,,
roi,-16.0301,-13.5286,-12.5067,-14.6161,-15.919,-10.1111,-5.6292,-11.0146,-15.1289,-13.6992,-9.3665,-5.1346,-4.8057,-3.0788,-3.0458,68.3573,-19.0799,-7.8633,-7.1306,-13.8795,-7.4719,-9.7774,-7.9068,-12.6099,-11.1798,,,,,,
book-value-per-share,5.0837,5.9092,6.726,7.6308,8.5945,9.7782,10.5495,9.4113,10.1913,11.5513,12.7984,14.2344,14.2035,15.0542,15.1816,16.5871,4.5679,5.6546,6.0313,3.9301,4.4017,4.6887,5.0995,3.4453,3.8438,,,,,,
operating-cash-flow-per-share,-2.4073,-1.6136,-0.9391,-3.6059,-2.0282,-1.1338,-0.3287,-4.0145,-3.0236,-2.0403,-1.0098,-2.9587,-2.3888,-1.8261,-1.2944,10.6935,-1.7227,-0.7867,-0.4209,0.7316,-0.1598,0.3009,-0.2967,-4.5863,-5.9659,-6.8912,-0.0985,,-10.4424,,
free-cash-flow-per-share,-2.4524,-1.6605,-0.9674,-3.9394,-2.3515,-1.4458,-0.3547,-4.1908,-3.1526,-2.1322,-1.0758,-3.0685,-2.467,-1.8955,-1.3256,10.6037,-1.7814,-0.8418,-0.4383,0.6529,-0.2262,0.255,-0.3125,-4.7324,-6.2059,-7.3104,-0.3369,,-10.8575,,
