,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30
current-ratio,1.1088,1.1472,1.1486,1.2929,1.4057,1.4221,1.6316,1.6299,1.5275,1.583,1.4562,1.5754,1.551,1.6097,1.7443,1.5543,1.6705,1.7799,1.7013,1.6379,1.6373,1.6811,1.8191,1.8763,1.2282,1.1681,1.1354,1.3812,1.5016,1.5909,1.6422,1.401,1.361,1.6357,1.6208,1.9193,1.7048,1.6579,1.731,1.6348,1.5664,1.744,1.6515,1.8122,2.1573,2.0763,2.2187,2.0971,1.287,,,
long-term-debt-capital,0.6386,0.6497,0.6511,0.279,0.3003,0.3276,0.3478,0.3773,0.3711,0.3766,0.3606,0.3743,0.2707,0.3023,0.262,0.1883,0.1441,0.1099,0.0084,0.2094,0.0134,,0.4021,0.4135,0.375,0.3852,0.3853,0.3795,0.3678,0.3801,0.4011,0.3955,0.387,0.3498,0.3643,0.3793,0.3285,0.3399,0.3514,0.3641,0.2465,0.2559,0.2655,0.276,0.2866,0.2971,0.3071,0.3184,0.4856,,,
debt-equity-ratio,1.8683,1.958,1.9724,0.4038,0.4467,0.5054,0.5523,0.6258,0.6068,0.6213,0.5818,0.6159,0.3899,0.4347,0.3566,0.2334,0.1698,0.1248,0.0088,0.2653,0.014,,0.6925,0.7258,0.6215,0.6485,0.6498,0.6334,0.6033,0.6356,0.6936,0.677,0.655,0.5499,0.5862,0.6245,0.4991,0.5253,0.5524,0.5836,0.3334,0.35,0.3682,0.3881,0.4092,0.4298,0.4655,0.4902,0.9907,,,
gross-margin,14.1504,14.1737,15.1901,13.9207,12.7906,13.2522,13.8257,12.3694,11.9314,10.8745,12.3043,10.0552,10.6881,11.9942,13.0299,13.268,13.1139,14.0483,15.0416,13.4548,12.6238,15.8785,19.3471,19.2432,17.31,18.5541,17.7937,18.1112,18.7493,18.8698,18.8542,17.144,18.992,19.9951,19.7723,19.0348,17.9541,18.0591,17.7825,17.3782,16.5155,17.5249,17.1816,17.6414,16.1174,16.2481,16.1242,15.5782,13.1989,15.8942,13.2438,16.6519
operating-margin,6.4853,6.5745,6.8833,6.4055,5.6938,6.4013,6.7012,5.3604,5.4197,4.9146,1.7096,8.24,4.6815,4.8254,4.2572,6.5218,6.1489,7.0675,8.2126,7.0936,5.8637,5.4559,10.1593,10.5967,8.8497,10.5831,-4.9285,3.7776,11.373,11.4418,11.6224,9.8359,12.1805,12.944,12.9614,12.3201,11.2898,11.4557,11.4721,10.988,10.4052,10.9988,11.098,11.2661,10.173,10.0531,9.8999,9.8267,7.6144,10.3571,7.8569,11.2543
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,5.9585,5.9892,6.3194,5.8244,5.0091,5.7351,6.0581,4.7529,4.7573,4.2978,0.9954,7.8183,4.2379,4.5409,3.9608,6.3743,5.9894,6.9479,8.0492,6.9755,5.7621,2.0221,8.8223,9.2453,7.5237,9.2128,-6.3134,2.3453,9.9104,9.9402,10.2,8.3109,9.5041,11.5142,11.5009,11.0514,9.9385,10.0343,10.0367,9.6825,9.5265,10.1878,10.1324,10.4988,9.3615,9.3619,9.2688,9.2559,6.6412,9.4855,7.0638,10.6792
net-profit-margin,4.5227,4.9699,4.9839,4.9017,4.0557,4.4343,4.7003,2.2977,3.0136,2.7253,0.6429,4.2344,2.6059,2.759,2.3933,3.6451,3.8372,4.2398,4.949,4.1576,3.4143,0.8027,5.644,5.6353,4.5642,5.6192,-5.5669,0.9202,6.4318,6.1083,6.3869,5.3747,5.9069,6.9641,6.9672,6.7563,6.0048,6.09,6.0633,5.9291,5.7823,6.1917,6.0813,6.3406,5.843,5.6531,5.5669,5.4139,4.2904,5.6797,4.2224,6.9105
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.9491,1.9386,1.8828,1.9478,1.9673,1.9773,1.9037,1.8399,1.8485,1.8429,1.8189,1.7716,1.8414,1.8115,1.7647,1.7852,1.8284,1.8152,1.889,2.1289,2.162,2.0093,1.9877,2.1281,2.2383,2.0485,2.2201,2.235,2.1075,2.1142,2.1482,2.2322,2.4251,2.3981,2.3922,2.488,2.2842,2.1733,2.2224,2.3419,2.5602,2.4686,2.3683,2.5199,2.6084,2.5652,2.2598,2.1531,2.185,,,
days-sales-in-receivables,46.1749,46.4242,47.8012,46.2069,45.7475,45.5166,47.2754,48.9151,48.6875,48.8364,49.481,50.8003,48.8754,49.6839,51.0012,50.4143,49.2228,49.5814,47.6432,42.2748,41.6278,44.7911,45.2788,42.291,40.2097,43.9339,40.539,40.269,42.7038,42.5693,41.8952,40.3193,37.1123,37.5291,37.6219,36.1741,39.4009,41.4125,40.4963,38.4309,35.1539,36.4581,38.0019,35.7162,34.5036,35.0852,39.8272,41.8003,41.1896,,,
roe,3.9652,4.2706,4.2801,4.4093,3.5554,4.0572,4.4288,2.2441,2.9302,2.6287,0.645,4.5616,2.5556,2.6794,2.2648,3.3811,3.2002,3.334,3.9529,4.1877,3.4263,0.6515,3.5075,3.7365,3.1138,3.7638,-3.3962,0.8896,3.9192,3.9179,4.409,3.7317,4.3558,5.0912,5.2682,5.1147,4.5686,4.6571,4.7394,4.6348,4.2881,4.7729,4.8405,5.0371,4.5723,4.5891,4.6571,4.8035,6.932,,,
return-on-tangible-equity,4.9169,5.3059,5.2516,5.7331,4.668,5.4268,6.0112,3.1091,4.0637,3.65,0.8854,6.2013,3.6258,3.9144,3.0377,4.4832,4.293,4.278,5.0821,6.011,4.1537,0.7824,3.8992,4.1733,3.5087,4.2469,-3.8492,0.9834,4.4229,4.4502,5.0085,4.0369,4.7108,5.4595,5.6273,5.4767,4.9168,5.0345,5.0383,4.9496,4.5456,5.0761,5.1712,5.2349,4.8113,4.8435,4.8561,5.0048,7.5601,,,
roa,1.1794,1.246,1.2445,2.247,1.7795,1.983,2.1317,1.0179,1.3331,1.1994,0.3003,2.0984,1.3105,1.3526,1.2008,1.9307,1.9281,2.104,2.6318,2.1858,2.0778,0.4025,1.6904,1.7557,1.4415,1.7178,-1.5127,0.4222,1.9397,1.9165,2.0624,1.7364,2.0463,2.5529,2.5441,2.4322,2.3256,2.3419,2.3201,2.2213,2.3881,2.6007,2.5696,2.647,2.4051,2.3616,2.342,2.3296,2.1956,,,
