,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
current-ratio,3.3064,4.2418,5.187,6.1208,6.0416,3.0935,2.6233,2.7954,3.1822,1.3417,1.6744,1.4637,1.6634,1.882,1.0749,1.2703,,,,
long-term-debt-capital,9.9897,1.721,1.0615,0.8394,0.6775,-0.8802,-0.135,-0.143,-0.1762,-0.094,-0.0985,,,,,,,,,
debt-equity-ratio,-1.19,-2.3869,-17.2577,5.2259,2.101,-0.4682,-0.1378,-0.1335,-0.1498,-0.0859,-0.0897,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
operating-margin,-468.066,-429.7076,-367.4646,-294.8999,-571.2077,-352.0275,13.139,-165.8738,-95.7076,-87.4121,-56.3462,-33.8853,-7.6329,-11.5235,-2.1145,-4.7087,3.872,-9.8747,7.4561,
ebit-margin,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-481.1453,-438.657,-375.1866,-302.5794,-595.6714,-372.5399,12.6019,-167.3592,-98.0091,-90.4966,-55.7493,-33.0774,-7.1389,-11.2971,-1.9296,-4.3895,3.944,-9.8099,7.518,
net-profit-margin,-481.6064,-438.9123,-375.2123,-302.7096,-595.8453,-372.6192,12.6019,-167.3593,-98.017,-90.5123,-55.7493,-33.0854,-7.1468,-7.5691,-2.0743,-13.8867,5.064,-13.7081,10.5035,
asset-turnover,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,,,,,,0.7202,0.7444,0.3925,,,,
days-sales-in-receivables,,,,,,,,,,,,,,124.9636,120.8973,229.3168,,,,
roe,58.8731,102.7097,632.4099,-168.7579,-82.1281,16.8049,-2.8605,11.3449,9.2945,5.0328,3.2219,1.9233,0.4225,0.4412,0.0945,0.637,,,,
return-on-tangible-equity,58.8731,102.7097,632.4099,-168.7579,-82.1281,16.8049,-2.8605,11.3449,9.2945,5.0328,3.2219,1.9233,0.4225,0.4412,0.0945,0.637,,,,
roa,-15.3186,-11.4414,-8.8003,-7.4106,-8.0697,-16.1465,2.9836,-12.3204,-7.6743,-16.2521,-8.0494,-4.6423,-0.8809,-0.818,-0.3995,-2.2038,,,,
roi,-529.2533,-74.0565,-38.899,-27.1059,-26.4846,31.5973,-3.2468,12.967,10.9318,5.506,3.5392,1.9233,0.4225,0.4412,0.0945,0.637,,,,
book-value-per-share,-2.2381,-1.1121,-0.1534,0.5099,1.2642,-6.4059,-5.4543,-5.6223,-5.0707,-10.2977,-9.85,-9.624,-9.5043,-9.5021,-17.0652,-17.0744,,,,
operating-cash-flow-per-share,-3.3801,-2.0433,-0.9632,-3.0244,-1.6125,-1.8881,-0.9019,-3.4787,-2.3555,-1.7657,-0.9869,-0.9718,-0.3639,-0.6379,0.0511,-2.7931,-1.9863,-1.3283,-0.5453,
free-cash-flow-per-share,-3.4605,-2.1129,-1.0021,-3.0489,-1.6254,-1.8983,-0.9076,-3.4931,-2.3639,-1.7683,-0.9884,-0.989,-0.3764,-0.6469,0.0501,-2.81,-2.0022,-1.3433,-0.5458,
