,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
current-ratio,3.2728,3.2534,2.555,3.5462,2.5299,3.1634,5.2431,5.3404,8.03,8.3218,7.1936,7.7382,10.9096,9.149,10.7084,10.4587,10.3737,12.5762,9.0917,9.6597,1.1513,1.4167,1.585,1.7881,2.1548,2.934,0.4983,0.4873,0.8679,1.6877,2.4459,1.8913,2.9198,4.7494,4.9138,5.088,6.5041,5.4145,5.4351,5.4089,1.575,1.7824,2.1249,2.0328,2.451,3.3782,3.6828,4.0209,1.3605,1.3875,1.5399,2.0345,,,
long-term-debt-capital,0.0628,0.054,0.0622,,,,,,,,,,,,,,,,,,1.8283,1.3704,1.2778,0.9678,0.761,0.5371,,,,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0003,0.0004,0.0003,0.0005,0.0006,0.003,0.0031,0.0027,0.0035,0.004,0.0061,0.0086,0.0113,0.0374,0.0413,0.045,0.0375,,,
debt-equity-ratio,0.1296,0.1125,0.1496,,,,,,,,,,,,,,,,,,-3.6658,-5.2253,-5.7659,33.9609,3.1845,1.1602,-0.0001,-0.0002,0.0026,0.0002,0.0002,0.0005,0.0005,0.0006,0.0007,0.0009,0.0011,0.0012,0.0016,0.0021,0.0108,0.014,0.0158,0.0184,0.0171,0.0178,0.02,0.0222,0.3665,0.2884,0.1681,0.0831,,,
gross-margin,-0.1062,4.9384,6.4938,7.0258,11.8088,-26.9356,-4.8198,-8.2553,7.3225,11.3137,16.1556,14.8485,12.3286,11.0725,12.438,14.5489,17.4107,15.9465,16.6548,17.8337,16.5152,15.4902,12.959,14.7508,12.4731,12.9779,10.3838,13.0942,12.9709,14.1759,13.522,12.9794,11.4909,9.0749,12.4262,16.5854,16.2776,17.874,15.4442,16.4453,16.9988,14.2928,9.3223,1.3065,4.7333,7.9769,5.7791,6.1515,10.1132,10.5898,-0.8731,10.3994,8.0416,7.9251,12.7121
operating-margin,-51.5477,-69.8568,-56.6201,-55.9202,-29.9808,-82.4556,-38.2565,-62.1457,-34.3562,-50.7312,-33.9776,-39.3002,-37.0829,-41.5399,-33.8022,-42.9021,-17.8824,-20.4923,-27.4634,-34.7518,-22.7801,-18.2762,-54.1934,-53.9148,-94.4245,-90.6923,-124.7556,-105.266,-141.2046,-98.8221,-88.7711,-75.277,-42.72,-39.1052,-22.554,-12.7075,-5.1484,0.7033,-2.6621,-3.7287,-10.7178,-13.1202,-13.3329,-22.6884,-18.6851,-9.2733,-10.9181,-9.6549,-3.44,-4.193,-17.2198,-12.8461,-21.9696,-26.2363,-4.727
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-50.983,-69.3273,-55.7754,-55.6293,-29.8075,-82.0123,-37.1241,-60.9198,-34.5732,-53.4843,-32.4969,-37.7474,-35.6093,-39.8524,-32.4332,-40.8272,-16.7928,-19.5804,-26.6437,-44.1847,-28.8684,-24.3251,-60.2109,-59.6658,-100.8697,-91.3668,-124.6697,-105.1819,-140.8724,-98.1901,-87.8496,-75.2509,-42.0795,-38.4524,-21.9117,-11.613,-5.0413,0.754,-2.628,-3.7244,-10.746,-13.1758,-13.4053,-22.4029,-18.5536,-9.1116,-9.75,-9.7318,-3.9093,-4.5185,-17.3786,-12.516,-21.9762,-25.7112,-4.6937
net-profit-margin,-50.983,-69.3273,-55.7754,-55.6293,-29.8075,-82.0123,-37.1241,-60.9198,-34.5732,-53.4843,-32.4969,-37.7474,-35.6093,-39.8524,-35.4017,-40.8272,-16.7928,-19.5804,-26.6437,-44.1847,-28.8684,-24.3251,-60.2109,-59.6658,-100.8697,-91.3668,-124.6697,-105.1819,-140.8724,-98.1901,-87.8496,-75.2513,-42.0959,-38.4524,-21.9117,-11.613,-5.0413,0.754,-2.628,-3.7244,-10.746,-13.1758,-13.4053,-22.4029,-18.5536,-9.1116,-9.75,-9.7318,-3.9093,-4.5185,-17.3786,-12.516,-21.9762,-25.7112,-4.6936
asset-turnover,0.3204,0.2601,0.3192,0.3207,0.4378,0.3601,0.2877,0.2524,0.2223,0.1906,0.1814,0.161,0.1547,0.1544,0.1529,0.1609,0.1582,0.1416,0.1429,0.1474,0.5757,0.5036,0.4838,0.384,0.3003,0.2403,0.6866,0.7636,0.5239,0.3557,0.3051,0.3725,0.3462,0.3461,0.3809,0.3874,0.4071,0.4211,0.4222,0.4232,0.8939,0.8167,0.7965,0.714,0.6396,0.5597,0.5616,0.524,0.8969,0.8644,0.7954,0.7016,,,
inventory-turnover,4.3041,3.5525,3.6358,3.8799,3.1644,4.1883,1.8337,2.1032,0.912,0.8527,0.9116,0.9391,0.9553,1.0866,1.3021,1.5342,1.6014,1.7244,2.227,3.0282,3.8484,3.9561,3.8778,4.2522,4.0726,3.8741,3.8581,4.2638,4.1329,3.7674,4.3157,4.1342,4.7435,4.5516,4.1832,4.0679,4.8706,4.4474,4.9744,3.9937,4.3938,3.9644,4.1209,4.2259,4.0717,4.1329,4.3765,4.382,3.5626,3.343,3.5969,3.1085,,,
