,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
current-ratio,6.321,6.6022,0.0537,0.0493,,,,
long-term-debt-capital,0.3746,0.339,,,,,,
debt-equity-ratio,0.6264,0.5189,,,,,,
gross-margin,100.0,100.0,,,,,,
operating-margin,-2004.006,-2030.344,,,,,,
ebit-margin,,,,,,,,
pre-tax-profit-margin,-1954.006,-1981.204,,,,,,
net-profit-margin,-1954.006,-1981.204,,,,,,
asset-turnover,,,,,,,,
receiveable-turnover,0.9708,0.8767,,,,,,
days-sales-in-receivables,92.7039,102.6597,,,,,,
roe,-22.9175,-22.8444,,295.8545,,,,
return-on-tangible-equity,-22.9175,-22.8444,482.2111,295.8545,,,,
roa,-13.0265,-13.6958,-382.4926,-417.5382,,,,
roi,-14.3315,-15.1011,482.2111,295.8545,,,,
book-value-per-share,4.3395,5.1509,-0.2829,,,,,
operating-cash-flow-per-share,-2.918,-2.0531,,,-2.7155,-1.7913,,
free-cash-flow-per-share,-3.1591,-2.2743,,,-2.7748,-1.8082,,
