,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
current-ratio,5.0661,2.8375,2.871,3.0161,4.1879,3.0861,3.0055,2.8264,2.6835,3.3507,2.6674,2.6403,2.6372,2.9948,2.6035,2.2262,2.2179,2.258,2.2279,2.2537,1.9881,1.9225,2.0945,2.0089,2.3874,2.2827,2.2534,2.2413,2.117,2.1435,2.1976,2.0581,1.9003,2.0164,1.974,2.3106,2.1835,2.3528,2.2994,2.1693,1.6754,,,,
long-term-debt-capital,0.1325,0.1452,0.0935,0.0588,0.2697,0.3477,0.1789,0.1844,0.1899,0.196,0.1173,0.1247,0.1312,0.2132,0.1791,0.0131,0.0155,0.0178,0.0182,0.0205,0.0232,,,,,,,0.1468,0.1845,0.1988,0.2349,0.224,0.2585,0.2734,0.2435,0.3124,0.3379,0.3487,0.3534,0.3419,0.5754,,,,
debt-equity-ratio,0.1548,0.1732,0.1032,0.0627,0.3779,0.5465,0.2331,0.2437,0.2541,0.2619,0.1484,0.1585,0.1659,0.2863,0.2338,0.0211,0.0237,0.0263,0.0262,0.0286,0.0318,,,,,,,0.1743,0.2472,0.2879,0.3661,0.3647,0.4253,0.4427,0.3847,0.5129,0.5841,0.592,0.5926,0.6112,1.6336,,,,
gross-margin,27.082,27.0355,26.9824,27.0711,26.7144,27.2311,25.5152,27.6148,26.7543,27.5312,26.8852,27.8148,26.4951,25.459,26.2619,26.1833,27.8925,27.5985,26.7668,27.4057,26.7457,26.7394,26.0424,25.9037,25.5936,25.265,25.077,27.4982,25.6212,26.1532,25.5124,5.065,30.2822,29.4643,28.506,3.6332,28.8251,29.3844,29.1309,29.8218,29.4223,29.5955,29.331,,28.4887
operating-margin,4.2873,5.1526,4.4832,4.8751,4.3481,5.2667,4.1918,6.8418,5.3475,5.7175,6.851,7.6363,2.4106,4.3536,0.7052,3.5571,5.08,5.9411,4.4278,6.3435,6.0753,5.3245,5.2593,4.9741,6.3338,6.0528,5.9399,8.2493,6.3175,5.3226,5.6343,82.2608,-18.5345,3.9413,3.0011,1.7972,4.0048,4.8716,4.1669,1.204,6.0566,5.8677,5.0551,,4.6485
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,4.2402,4.7618,4.1938,4.119,3.3097,4.2382,5.4816,6.1513,4.6329,3.737,6.2733,9.825,1.9217,3.6967,0.2527,3.281,4.8867,5.7442,4.2166,6.1075,5.8549,5.1283,5.0444,4.7451,6.3694,5.8368,5.6097,7.7303,5.6526,4.6178,4.9483,88.7697,-19.3243,2.9626,1.9344,-0.5933,2.7806,3.7549,3.0555,-4.2513,4.5282,4.2515,3.2471,,2.6456
net-profit-margin,2.8663,3.6862,3.4915,3.3422,2.6366,3.2897,4.4631,2.9527,3.1384,2.6072,4.1917,7.415,1.6415,2.5761,0.1695,3.9181,3.4234,3.791,2.6393,4.7473,3.9641,3.5458,3.2839,1.2664,3.8139,3.6986,21.0499,5.8722,2.9357,2.4222,1.0681,9.7397,-9.6031,1.9531,1.2761,5.3954,2.1176,2.4626,2.102,-5.6776,1.3966,1.2145,0.3606,,0.4353
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.2301,1.1275,1.1591,1.2932,1.2913,1.3296,1.3068,1.2,1.1272,0.7506,0.8746,0.888,1.2865,0.8333,0.8755,0.9977,1.0757,1.8233,1.1015,1.2093,1.3145,1.5796,1.2141,1.139,1.2346,1.508,1.0389,0.8944,0.8573,0.8742,0.7976,0.3541,0.9924,1.3308,1.0308,0.4015,0.9213,0.8757,0.8444,0.9224,1.0687,,,,
