,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.5061,1.6937,1.7005,1.7446,1.5839,1.8463,1.7547,1.7705,1.7568,1.726,1.6698,1.6339,1.9946,2.0012,2.0051,1.9713,1.9129,1.8536,1.8924,1.7619,2.0657,1.8467,2.0361,1.9919,1.9118,1.8884,1.8359,1.8032,2.788,2.7327,3.085,2.3704,2.3513,2.4491,2.4112,2.5604,2.4705,2.3177,2.304,2.0189,1.8777,1.6814,1.6591,1.9567,2.2361,2.2503,2.8373,2.6337,2.62,2.527,2.4099,2.349,1.5453,1.5108,1.4085,1.3311,2.663,2.6087
long-term-debt-capital,0.5289,0.5246,0.5393,0.5256,0.5528,0.5729,0.5817,0.6083,0.6249,0.6352,0.6153,0.6107,0.6317,0.6393,0.6508,0.6528,0.368,0.3838,0.3799,0.311,0.2055,0.2137,0.2097,0.2082,0.2219,0.2227,0.2223,0.2262,0.0581,0.059,0.0612,0.0641,0.0621,0.0617,0.0642,0.1222,0.1273,0.1324,0.1371,0.1406,0.1423,0.1464,0.0867,0.0847,0.0854,0.1073,0.212,0.2143,0.2165,0.2221,0.2289,0.2347,0.2431,0.2505,0.2585,0.2656,0.2403,0.2364
debt-equity-ratio,1.2742,1.2441,1.2922,1.2207,1.4382,1.4876,1.5358,1.6911,1.8114,1.9175,1.7908,1.7384,1.7796,1.8496,1.9199,1.9303,0.7512,0.8009,0.7845,0.6088,0.3549,0.4268,0.3721,0.3575,0.4033,0.4038,0.4261,0.434,0.1171,0.1193,0.1289,0.2037,0.2027,0.2028,0.2172,0.2143,0.2283,0.2407,0.253,0.3314,0.3292,0.3886,0.2098,0.2058,0.1246,0.1311,0.2772,0.2797,0.2829,0.2951,0.3067,0.3162,0.3312,0.3462,0.3559,0.368,0.3225,0.3191
gross-margin,49.0644,49.3699,48.2809,49.5522,49.1109,49.3174,47.7229,49.0993,48.0482,47.7832,47.4741,49.1077,48.1233,48.0873,43.9655,44.7291,44.1517,45.1137,42.9893,44.456,47.0574,48.8081,44.9415,46.2891,44.8138,46.0653,44.6779,46.5941,42.4846,47.1694,48.5699,48.9085,48.7526,49.3907,49.3052,49.4201,49.3622,48.1098,48.0721,47.1511,45.0254,45.4788,43.3732,44.6854,43.7841,44.5896,44.5226,41.9276,44.2922,45.4328,44.3295,44.2267,43.1281,43.1598,42.5759,35.6424,44.8283,46.7945
operating-margin,9.6175,11.3834,10.3585,14.8577,11.0782,6.4884,7.7796,15.3596,5.8627,9.3681,8.7857,13.2436,8.8801,7.8723,4.3557,-1.0107,6.5964,8.0666,4.1505,7.3781,9.5573,6.694,5.4398,10.9842,8.5337,7.8694,8.6601,10.9824,8.4625,9.0099,13.015,14.6772,1.1954,12.2606,13.2817,19.6924,13.228,8.8491,9.6538,10.79,5.2584,-137.1183,6.5415,8.4138,6.3522,5.4371,6.8541,12.5236,6.2709,8.9552,16.37,18.2517,16.514,15.5166,14.2827,-64.7201,12.7682,17.0561
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,6.2878,8.499,7.2568,11.7756,7.8323,3.026,4.5991,12.2308,2.3364,6.0834,5.5381,9.7875,5.386,4.442,0.8772,-2.8751,5.9009,7.7085,3.6559,7.128,9.1298,6.092,4.9314,10.2307,7.9915,7.0472,8.24,10.4032,8.2165,8.8653,12.7001,14.0734,0.9356,11.9125,12.7205,18.709,12.8397,8.317,9.2035,10.212,8.0968,-137.563,5.9727,7.7304,5.9978,4.5043,6.034,13.3157,5.3272,7.6418,17.0116,18.4438,17.1319,17.0702,16.3351,-66.4317,12.8326,16.9962
net-profit-margin,4.4854,6.9308,6.1741,11.9073,6.3788,4.0113,13.185,9.4,0.8707,5.067,3.7339,7.3229,6.9118,3.5251,0.726,-1.6728,4.0253,5.4971,2.6022,5.1271,6.5644,-0.7946,3.3554,8.0612,5.5163,5.2384,5.6022,9.0825,5.7565,6.0949,8.6329,14.7469,0.3898,8.2318,9.4067,12.7837,8.4859,6.7768,5.5728,7.2667,6.0353,-138.0966,4.0387,5.7271,5.5344,7.0362,13.1224,9.072,10.8676,16.3881,10.7409,12.9299,10.8886,10.9968,10.1152,-46.2545,8.1545,10.7849
asset-turnover,0.1589,0.1635,0.1571,0.1741,0.1587,0.1577,0.1501,0.163,0.1537,0.1518,0.1538,0.1656,0.1547,0.1491,0.1548,0.1287,0.27,0.2783,0.2678,0.274,0.2674,0.2732,0.2576,0.276,0.2732,0.2708,0.2653,0.2652,0.3126,0.3214,0.3117,0.3315,0.2956,0.3139,0.3058,0.3184,0.2924,0.2927,0.2969,0.2947,0.2862,0.2879,0.2163,0.2511,0.2293,0.2292,0.1577,0.2504,0.1589,0.1647,0.2413,0.2666,0.2143,0.2329,0.2109,0.2228,0.2339,0.2437
inventory-turnover,1.2431,1.2308,1.1787,1.313,1.1655,1.1428,1.1729,1.3209,1.3353,1.3423,1.3632,1.4258,1.3365,1.2803,1.4886,1.1862,1.5597,1.5448,1.5476,1.5125,1.724,1.7717,1.796,1.9882,1.9064,1.7594,1.9315,1.8164,2.1912,2.0728,2.0873,2.3013,1.8075,1.7573,1.6802,1.8488,1.7113,1.7514,1.9483,2.087,1.7524,1.5287,1.564,2.347,1.8135,1.835,1.2526,1.9877,1.0627,1.1794,1.8877,2.2365,1.9933,2.2791,2.1422,2.5753,1.9869,2.2887
