,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
current-ratio,4.6379,5.7979,7.6499,8.2242,6.9903,8.2237,10.8608,7.1097,10.2937,13.4486,24.3443,21.9808,12.8793,29.5602,34.8244,38.7323,70.2539,18.2167,,,,,
long-term-debt-capital,0.2501,0.1947,0.1602,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,
roe,-42.2124,-30.6761,-21.1728,-19.0663,-20.9181,-18.2575,-15.0414,-23.1523,-15.0967,-13.7239,-9.7727,-8.7687,-13.7608,-10.1603,-8.0265,-7.7614,-4.1076,28.5118,,,,,
return-on-tangible-equity,-42.2124,-30.6761,-21.1728,-19.0663,-20.9181,-18.2575,-15.0414,-23.1523,-15.0967,-13.7239,-9.7727,-8.7687,-13.7608,-10.1603,-8.0265,-7.7614,-4.1076,-12.7254,,,,,
roa,-25.9483,-21.0452,-15.768,-16.7861,-17.9856,-16.0879,-13.6799,-19.8933,-13.6055,-12.6766,-9.3634,-8.3925,-12.7131,-9.7681,-7.7643,-7.5381,-4.0352,-11.8826,,,,,
roi,-31.6535,-24.703,-17.7804,-19.0663,-20.9181,-18.2575,-15.0414,-23.1523,-15.0967,-13.7239,-9.7727,-8.7687,-13.7608,-10.1603,-8.0265,-7.7614,-4.1076,-12.7254,,,,,
book-value-per-share,2.4202,3.2712,4.1028,4.8107,4.2141,4.9236,5.6717,3.4802,4.154,4.6986,5.2611,5.6962,3.7899,4.2201,4.5784,4.883,5.1809,10.1725,,,,,
operating-cash-flow-per-share,-2.2813,-1.4759,-0.7389,-2.9463,-2.0177,-1.318,-0.7422,-1.9763,-1.3413,-0.8631,-0.4614,-1.3243,-0.8096,-0.5579,-0.2778,-1.8744,-0.6799,-1.9039,-0.9375,,-2.2337,-1.4619,
free-cash-flow-per-share,-2.3946,-1.5539,-0.761,-3.1104,-2.1601,-1.4258,-0.7866,-2.1037,-1.4454,-0.9198,-0.4794,-1.5036,-0.9698,-0.6666,-0.3046,-1.9641,-0.7232,-2.0329,-0.9479,,-2.2511,-1.4769,
