,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
current-ratio,6.7933,9.325,11.7657,6.9906,8.5104,9.156,10.0999,3.7962,6.0831,6.698,8.5921,6.6661,8.2645,12.8532,14.3987,16.1261,18.6272,14.6051,24.6096,15.4523,18.6724,17.6916,24.9062,9.327,,,,,
long-term-debt-capital,0.0411,0.0387,0.0253,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0529,0.0488,0.0319,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,89.6008,96.828,97.5127,96.8821,97.6792,98.8979,97.8927,99.9586,100.0,,,100.0,100.0,100.0,,,,,,,,,,,,,,,
operating-margin,-457.4922,-465.7501,-545.9718,-555.5624,-762.1016,-741.754,-903.6901,-4011.351,-42279.29,,,-1410980.0,-59263.96,-341488.2,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-436.8256,-409.7851,-531.2568,-539.3273,-740.1429,-411.3335,283.7126,-4057.499,-40011.61,,,-1425040.0,-58474.77,-334841.2,,,,,,,,,,,,,,,
net-profit-margin,-437.9612,-410.6671,-532.4455,-540.1021,-742.2426,-412.1307,283.3474,-3385.709,-40013.64,,,-1425740.0,-58474.77,-334841.2,,,,,,,,,,,,,,,
asset-turnover,0.0293,0.0252,0.018,0.0226,0.0154,0.0159,0.0131,0.0049,0.0005,,,0.0,0.0002,0.0,,,,,,,,,,,,,,,
inventory-turnover,0.1898,0.0562,0.0413,0.0718,0.0491,0.0422,0.1088,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.1159,1.1554,1.1628,1.2764,1.2849,0.7342,2.9085,0.4667,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,80.6547,77.8952,77.4004,70.5123,70.0459,122.577,30.9441,192.8252,,,,,,,,,,,,,,,,,,,,,
roe,-15.5368,-12.0973,-10.9116,-14.4235,-13.177,-7.4901,4.1806,-21.3144,-21.6729,-16.973,-13.9802,-15.0403,-14.2374,-12.8235,-10.7706,-10.3975,-6.8021,-9.3295,-6.2673,-9.0503,-7.9513,-8.8743,-8.225,24.9462,,,,,
return-on-tangible-equity,-20.402,-15.3443,-13.5658,-20.177,-17.8929,-10.0093,5.5804,-41.3822,-21.6729,-16.973,-13.9802,-15.0403,-14.2374,-12.8235,-10.7706,-10.3975,-6.8021,-9.3295,-6.2673,-9.0503,-7.9513,-8.8743,-8.225,-37.2488,,,,,
roa,-12.841,-10.342,-9.6011,-12.2056,-11.4109,-6.5418,3.7014,-16.6542,-18.2111,-14.6502,-12.5114,-13.186,-12.5992,-11.811,-10.0646,-9.8683,-6.5155,-8.6842,-6.008,-8.4549,-7.5138,-8.3556,-7.892,-31.2914,,,,,
roi,-14.8976,-11.6296,-10.6359,-14.4235,-13.177,-7.4901,4.1806,-21.3144,-21.6729,-16.973,-13.9802,-15.0403,-14.2374,-12.8235,-10.7706,-10.3975,-6.8021,-9.3295,-6.2673,-9.0503,-7.9513,-8.8743,-8.225,-37.2488,,,,,
book-value-per-share,12.5933,14.2164,15.4741,11.972,13.1121,14.0468,14.5708,8.6819,8.6038,10.1219,11.5553,11.4931,11.3825,11.3843,12.5622,13.659,14.8566,8.8511,9.5788,5.7913,6.2591,5.0928,5.5146,13.3056,,,,,
operating-cash-flow-per-share,-4.7367,-3.2135,-1.8,-5.8376,-4.6644,-3.3232,-1.8232,-5.9794,-4.0502,-2.5982,-1.4628,-4.0664,-2.8645,-2.1663,-1.152,-2.8811,-1.7124,-0.972,-0.5192,-1.5522,-1.0174,-0.7037,-0.4921,-8.3333,-5.9158,-4.5058,-2.1745,,
free-cash-flow-per-share,-4.9677,-3.3578,-1.8575,-5.9195,-4.7217,-3.3603,-1.8329,-6.0452,-4.0948,-2.6186,-1.4744,-4.3237,-3.1052,-2.3334,-1.1899,-3.0159,-1.7917,-1.0014,-0.5327,-1.6269,-1.071,-0.7455,-0.5185,-8.4402,-5.9925,-4.5289,-2.2357,,
