,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
current-ratio,4.88,1.9934,1.7022,2.2291,2.2077,2.943,4.4232,4.7192,4.8699,4.27,4.5359,4.1718,4.0166,4.2434,6.3459,6.5416,7.4621,8.4858,4.4117,4.7622,5.6252,7.8259,9.6443,5.583,6.9476,7.6373,4.3973,3.3572,5.6876,3.3811,3.9452,2.5727,2.5232,2.9414,3.784,4.0213,4.7142,4.9328,5.5725,2.3291,2.3034,,,,
long-term-debt-capital,1.5621,2.4428,2.1692,2.1556,2.1428,1.1309,1.0487,0.9757,1.047,0.9876,0.9283,0.846,0.8592,0.8066,0.7932,0.7881,0.782,0.7218,0.7018,0.6448,0.6087,0.5471,0.4782,0.8231,0.6789,0.5563,0.7492,0.0021,0.002,0.0028,0.0026,0.0038,0.0042,0.0041,0.0041,0.0025,0.0025,0.0098,0.0084,-0.0032,-0.0076,,,,
debt-equity-ratio,-2.844,-1.9698,-2.1,-2.1079,-2.0746,-9.2636,-22.3626,40.6345,-22.5462,80.6893,13.1393,5.5879,6.3025,4.634,4.1736,4.0104,3.8096,2.7289,2.5646,1.9551,1.6527,1.2619,0.9457,4.6814,2.1279,1.2556,2.9919,0.0039,0.0035,0.005,0.0043,0.006,0.0063,0.0059,0.0058,0.0037,0.0039,0.0172,0.0154,-0.0068,-0.0131,,,,
gross-margin,99.6142,88.9322,98.4825,83.5774,92.9726,94.988,96.2302,90.4637,92.9974,94.6187,98.9821,97.8641,100.0,100.0,100.0,100.0,100.0,100.0,99.9585,118.7823,100.0,-53.7719,86.8264,89.4057,59.0227,64.628,62.1813,96.4233,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
operating-margin,50.2314,21.1094,-79.1096,-31.9652,-223.1389,-18.0961,-51.8661,24.1647,-22.383,-63.0192,-76.1128,-7.2034,-42.7904,-28.1785,-2.9799,-10.931,-66.1705,-151.4165,-97.0102,-87.0039,-217.1592,-805.8333,-303.9164,-928.9999,-1146.614,-619.6833,-2729.124,-162.7132,49.3792,-279.6083,-290.9536,-21.8698,-176.9193,-168.2827,-181.1273,-76.2879,-178.4413,-188.3979,-164.019,-212.9587,-54.3161,-281.0439,-354.9991,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,15.7418,12.0168,-86.2564,-48.407,-231.1345,-29.7598,-62.3874,12.828,-37.1978,-67.9564,-100.6422,-15.4415,-50.2284,-39.9301,-20.1342,-26.3324,-119.7564,-173.0825,-114.8279,-98.8811,-248.1854,-882.4122,-339.7877,-1033.314,-1252.534,-674.2109,-2884.854,-162.5464,49.4072,-279.3961,-290.6679,-21.6894,-168.8492,-167.3237,-179.7499,-69.467,-177.2602,-186.8198,-163.8493,-202.769,-54.6045,-286.1876,-351.7492,,
net-profit-margin,15.7418,12.0168,-86.2564,-11.8546,-265.431,-60.8833,-62.3874,12.828,-37.1978,-67.9564,-100.6422,-15.4415,-50.2284,-39.9301,-20.1342,-26.3324,-119.7564,-173.0825,-114.8279,-98.8811,-248.1854,-882.4122,-339.7878,-1033.314,-1252.534,-674.2109,-2884.854,-162.5464,49.4072,-279.3961,-290.6679,-21.6894,-168.8738,-167.3237,-179.7499,-69.467,-91.2904,-186.5041,-180.1765,-331.3028,-71.4557,-278.1392,-343.4908,,
asset-turnover,0.3923,0.3238,0.1891,0.3936,0.1577,0.1312,0.1211,0.1555,0.1389,0.0923,0.0744,0.1232,0.0903,0.0776,0.1095,0.0861,0.0645,0.0424,0.0947,0.1156,0.0489,0.0184,0.0349,0.018,0.0151,0.0252,0.01,0.1174,0.3911,0.07,0.0492,0.1539,0.0557,0.0451,0.0376,0.0557,0.0297,0.0285,0.0261,0.0445,0.102,,,,
inventory-turnover,0.2202,6.5205,1.7589,,60.7369,3.6988,1.529,12.2231,12.6931,,0.351,,,,,,,,0.0024,-1.4435,,0.8098,0.0822,0.0241,0.0983,0.1677,0.0625,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.3583,0.9849,0.9465,1.6145,1.0048,1.0073,0.9788,1.1467,1.0842,1.0782,1.0199,1.3486,1.2307,1.0226,1.2457,0.9778,1.0704,1.0257,0.8547,1.4735,1.152,1.5354,1.4129,1.5658,1.5982,1.8239,67.8125,18.1439,529.7418,5.9221,112.367,49.316,16.4885,4.287,2.4467,5.7934,1.7942,1.4465,1.8713,1.384,1.5382,,,,
days-sales-in-receivables,66.2613,91.3833,95.0899,55.7456,89.5739,89.3486,91.9469,78.4873,83.0115,83.4723,88.242,66.7382,73.1303,88.0079,72.2513,92.0446,84.0845,87.7455,105.2955,61.0803,78.1263,58.6184,63.6994,57.4776,56.3139,49.3449,1.3272,4.9603,0.1699,15.1972,0.8009,1.825,5.4583,20.9936,36.7842,15.5348,50.1612,62.2203,48.0957,65.0298,58.5115,,,,
roe,-13.4913,-5.5993,24.9955,32.2166,76.9523,54.9179,238.9977,122.7152,183.7262,-908.0824,-177.1462,-20.2426,-55.8445,-26.6671,-14.6225,-14.7564,-47.174,-34.2308,-48.7398,-42.514,-38.8238,-42.5556,-26.2651,-136.0002,-73.3592,-46.73,-160.4532,-30.4439,26.1576,-31.684,-21.6886,-6.3483,-18.2706,-14.4824,-12.7268,-7.3024,-7.8028,-9.8905,-7.6699,4.8612,2.9647,,,,
return-on-tangible-equity,-13.4224,-5.5793,24.913,32.0883,76.6473,12.2096,24.6163,-8.0117,17.7705,27.4354,38.3647,13.4797,26.7962,20.6287,-14.6225,-14.7564,-47.1739,-34.2308,-48.7398,-42.514,-38.8239,-42.5556,-26.2651,-136.0,-73.3592,-46.7299,-160.4532,-30.4439,26.1576,-31.684,-21.6886,-6.3483,-18.2706,-14.4824,-12.7268,-7.3024,-7.8028,-9.8905,-7.6699,4.8612,2.9647,,,,
