,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,4474.0,2670.1,3695.7,3593.2,2941.6,1862.3,1380.033,1266.686,898.573,977.062,790.107,579.745,217.511,160.711
total-depreciation-amortization-cash-flow,1016.6,1081.0,682.7,600.4,688.1,531.7,365.648,358.933,355.744,427.961,462.059,380.293,375.87,402.208
other-non-cash-items,296.9,564.5,83.6,176.2,-203.2,-136.4,30.488,286.734,366.797,21.357,135.937,138.476,351.172,186.808
total-non-cash-items,1313.5,1645.5,766.3,776.6001,484.9,395.3,396.136,645.6671,722.541,449.318,597.996,518.769,727.042,589.016
change-in-accounts-receivable,-205.2,-435.6,-241.4,29.0,-512.4,-126.7,3.571,-73.374,-99.227,-100.442,-57.565,-70.701,-37.009,-8.518
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,192.0,992.9,-90.1,-504.3,-30.4,174.0,-32.906,-85.741,-23.562,-159.326,139.691,43.554,-43.451,35.464
total-change-in-assets-liabilities,400.2,235.4,125.2,-450.4,-484.4001,87.5,103.728,-184.612,3.559,-351.482,174.342,-79.76,-103.285,139.776
cash-flow-from-operating-activities,6187.7,4551.0,4587.2,3919.4,2942.1,2345.1,1879.897,1727.741,1624.673,1074.898,1562.445,1018.754,841.268,889.503
net-change-in-property-plant-equipment,-770.6,-867.4,-616.1,-643.0,-287.8,-246.3,-254.548,-208.02,-173.055,-165.646,-275.954,-267.437,-124.096,89.754
net-change-in-intangible-assets,-3.0,-975.4,-111.6,-15.4,-28.2,-3262.7,0.0,,0.0,,,,,
net-acquisitions-divestitures,-1962.9,-1200.0,-1200.0,-1048.8,-375.0,-15.0,-72.401,-5.0,-157.428,,-25.0,-95.789,-303.451,
net-change-in-short-term-investments,,,,,,,,,,29.991,,,,
net-change-in-long-term-investments,802.2998,210.6997,-534.3003,-2801.9,-864.2002,1912.0,-584.876,-1420.275,675.8081,-259.3757,-243.137,284.863,-172.226,327.9871
net-change-in-investments-total,802.2998,210.6997,-534.3003,-2801.9,-864.2002,1912.0,-584.876,-1420.275,675.8081,-229.3847,-243.137,284.863,-172.226,327.9871
investing-activities-other,-112.1,-131.0,-22.8,-44.5,12.2,7.3,-38.517,-16.999,,,178.218,-208.209,,
cash-flow-from-investing-activities,-2046.3,-2963.1,-2484.8,-4553.6,-1543.0,-1604.7,-950.342,-1650.294,345.325,-395.031,-365.873,-286.572,-599.773,417.741
net-long-term-debt,-3.2,-560.9,-2.7,5928.4,-2.7,-452.4,-2.428,-11.459,-18.073,-10.867,-525.494,-6.563,,-746.416
net-current-debt,,,,,,,,,,12.275,-178.716,-17.441,-24.477,-9.639
debt-issuance-retirement-net-total,-3.2,-560.9,-2.7,5928.4,-2.7,-452.4,-2.428,-11.459,-18.073,1.408,-704.21,-24.004,-24.477,-756.055
net-common-equity-issued-repurchased,-4354.7,-1370.7,-1008.5,-5070.9,-831.9,-333.5,-917.222,-183.325,-1894.093,-703.36,-560.452,-2502.004,-173.309,-202.971
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-114.1,-448.4,-41.4,-74.4,78.7,69.4,42.172,-125.078,127.247,-22.199,30.037,1792.669,49.376,10.503
cash-flow-from-financial-activities,-4472.0,-2380.0,-1052.6,783.1,-755.9,-716.5,-877.478,-319.862,-1784.919,-724.151,-1234.625,-733.339,-148.41,-948.523
net-cash-flow,-349.2,-752.7,1018.5,103.1,602.3,31.9,56.179,-245.056,177.709,-40.496,-37.277,-1.715,93.209,358.721
stock-based-compensation,,,,,,,,,,,,,,
