,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,406.328,134.272,59.536,-18.76,-168.464,-170.701,-18.542,-115.344,-83.862,-85.302,-93.643,-159.997,-166.044,-143.164
total-depreciation-amortization-cash-flow,21.039,18.668,16.602,17.459,16.325,8.203,7.326,7.583,6.336,5.541,6.962,4.058,4.198,4.107
other-non-cash-items,-187.076,17.089,6.81,28.285,51.667,27.126,23.97,24.934,19.047,19.987,18.096,23.637,21.884,5.802
total-non-cash-items,-166.037,35.757,23.412,45.744,67.992,35.329,31.296,32.517,25.383,25.528,25.058,27.695,26.082,9.909
change-in-accounts-receivable,,,,,0.074,0.702,,-0.029,0.081,0.014,0.444,-0.787,0.721,2.374
change-in-inventories,,,,,-1.908,-3.1,-4.822,,,,,,,
change-in-accounts-payable,-0.59,0.473,-0.69,0.818,-7.695,1.613,-1.48,,,,,,,
change-in-assets-liabilities,-12.837,-26.764,-21.467,-17.306,-24.982,0.277,-132.136,-13.916,-19.831,7.01,-20.644,36.575,24.972,63.047
total-change-in-assets-liabilities,-16.76,-28.28,-21.964,-16.853,-30.251,5.77,-140.267,-5.511,-16.665,1.71,-31.326,27.93,35.171,74.611
cash-flow-from-operating-activities,223.531,141.749,60.984,10.131,-130.723,-129.602,-127.513,-88.338,-75.144,-58.064,-99.911,-104.372,-104.791,-58.645
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-change-in-long-term-investments,3.519,-23.236,-4.302,159.175,69.656,-131.946,-55.853,-52.766,-40.02,-0.395,-66.719,119.235,-12.431,5.687
net-change-in-investments-total,3.519,-23.236,-4.302,159.175,69.656,-131.946,-55.853,-52.766,-40.02,-0.395,-66.719,119.235,-12.431,5.687
investing-activities-other,,,,,0.973,0.1,0.16,0.575,0.557,2.875,0.281,1.175,-0.443,1.095
cash-flow-from-investing-activities,3.519,-23.236,-4.58,159.168,-65.06,-219.58,-58.283,-55.819,-40.312,1.736,-67.366,110.592,-18.582,3.339
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-230.0,-50.939,-18.398,,434.677,281.622,-0.51,-0.206,-0.184,-0.131,-0.101,-0.088,-1.25,-2.525
net-common-equity-issued-repurchased,-1.934,-99.193,-78.788,-19.588,48.925,153.021,236.377,25.808,231.429,11.723,6.493,7.913,147.224,6.207
net-total-equity-issued-repurchased,-1.934,-99.193,-78.788,-19.588,48.925,153.021,236.377,25.808,231.429,11.723,173.225,7.913,147.224,6.207
total-common-preferred-stock-dividends-paid,-0.08,-0.281,-0.96,-87.331,-56.988,,,,,,,,,
financial-activities-other,-5.955,-12.78,0.578,,-277.541,-36.8,,,,,,,,
cash-flow-from-financial-activities,-237.969,-163.193,-97.568,-106.919,149.073,397.843,235.867,25.602,231.245,11.592,173.124,7.825,145.974,3.682
net-cash-flow,-10.919,-44.68,-41.164,62.38,-46.71,48.661,50.071,-118.555,115.789,-44.736,5.847,14.045,22.601,-51.624
stock-based-compensation,3.233,9.833,8.297,6.873,27.39,25.687,23.783,24.916,19.009,20.0,18.019,22.494,21.831,5.623
common-stock-dividends-paid,-0.08,-0.281,-0.96,-87.331,-56.988,,,,,,,,,
